unit_id,institution_name,year,graduation_rate_total_cohort_,total_number_of_undergraduates_financial_aid_cohort_,state_abbreviation,fips_state_code,sector_of_institution,level_of_institution,control_of_institution,degree_granting_status,postsecondary_and_title_iv_institution_indicator,institutional_category,institution_size_category,longitude,latitude,x91,total_students_all,total_black_all,total_asian_all,total_women_all,total_men_all,total_undergrad_men,total_undergrad_women,total_undergrad_black,total_undergrad_asian,total_undergrad_hispanic,total_undergrad_white_men,total_undergrad_white_women,total_white_all,ftime_total_undergrad,ftime_total_undergrad_men,ftime_total_undergrad_women,total_students_undergrad
150136,Ball State University,2016,58,17011,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-85.409043,40.203431,NA,21998,1567,312,13742,8256,6885,10126,1299,201,749,5420,7984,17240,15110,6170,8940,17011
150136,Ball State University,2015,60,16602,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-85.408863,40.198942,NA,21196,1464,281,13100,8096,6784,9818,1245,195,696,5379,7814,16670,14716,6026,8690,16602
150136,Ball State University,2014,59,16415,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-85.408863,40.198942,NA,20655,1378,215,12538,8117,6821,9594,1193,169,620,5456,7755,16267,15018,6262,8756,16415
150136,Ball State University,2013,59,16901,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-85.408863,40.198942,NA,20503,1259,181,12293,8210,6877,9423,1094,134,563,5632,7779,16323,15128,6347,8781,16300
110422,California Polytechnic State University-San Luis Obispo,2019,82,NA,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-120.65731100000001,35.299513,NA,21426,180,2878,10351,11075,10622,9881,172,2792,3595,5664,5312,11512,19685,10105,9580,20503
110422,California Polytechnic State University-San Luis Obispo,2018,82,21098,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-120.65731100000001,35.299513,NA,22013,170,2871,10662,11351,10900,10198,166,2794,3596,5859,5564,11972,20333,10438,9895,21098
110422,California Polytechnic State University-San Luis Obispo,2017,82,21351,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-120.65731100000001,35.299513,NA,22370,168,2843,10709,11661,11153,10198,162,2750,3592,6070,5597,12254,20584,10662,9922,21351
110422,California Polytechnic State University-San Luis Obispo,2016,80,20426,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-120.65731100000001,35.299513,NA,21306,152,2631,10059,11247,10821,9605,147,2564,3278,6061,5450,12018,19703,10334,9369,20426
110422,California Polytechnic State University-San Luis Obispo,2015,76,20049,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-120.65856,35.29889,NA,20944,166,2527,9783,11161,10710,9339,161,2444,3135,6093,5395,11985,19318,10245,9073,20049
110422,California Polytechnic State University-San Luis Obispo,2014,75,19246,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-120.65856,35.29889,NA,20186,142,2344,9298,10888,10414,8832,135,2272,2909,6076,5195,11827,18578,9981,8597,19246
