Harassment,2019-0701-0001,07/01/2019 11:05 A.M.,07/01/2019 11:05 A.M.,MMC,Lakeview North,Closed,Yes
Disturbance,2019-0701-0002,07/01/2019 11:27 A.M.,07/01/2019 11:27 A.M.,MMC,PG5- Marketstation,Closed,No
"",,,,,Management & New,,
Fire Alarm,2019-0701-0003,07/01/2019 12:16 P.M.,07/01/2019 12:16 P.M.,MMC,Growth Opportunities,Closed,No
"",,,,,Bldg,,
"",,,,,Primera Casa -,,
Simple Assault- Threats,2019-0701-0004,07/01/2019 2:08 P.M.,07/01/2019 2:08 P.M.,MMC,,Open,Yes
"",,,,,Charles E. Perry Bldg,,
Theft - Dell Laptop,2019-0702-0006,07/02/2019 4:11 P.M.,07/02/2019 4:11 P.M.,MMC,Owa Ehan,Open,No
"",,,,,Academic Health,,
Theft/FedEx Package,2019-0703-0004,07/03/2019 02:31 P.M.,07/03/2019 02:31 P.M.,MMC,,Open,No
"",,,,,Center 4,,
Narcotics Investigation-,,,,,,,
"",2019-0703-0005,07/03/2019 03:01 P.M.,07/03/2019 03:01 P.M.,MMC,University Towers,Closed,Yes
Drug Paraphernalia,,,,,,,
Harassing or Obscene Calls,2019-0703-0006,07/03/2019 03:05 P.M.,07/03/2019 03:05 P.M.,MMC,Green Library,Closed,No
Disturbance,2019-0705-0001,07/05/2019 12:12 A.M.,07/05/2019 12:12 A.M.,BBC,Bayview Housing,Closed,Yes
"",,,,,Wellness & Fitness,,
Theft/Gold Chain,2019-0705-0002,07/05/2019 09:57 A.M.,07/05/2019 09:57 A.M.,MMC,,Open,Unknown
"",,,,,Center,,
Trespass (Arrest),2019-0706-0002,07/06/2019 11:02 A.M.,07/06/2019 11:02 A.M.,MMC,Green Library,Closed,No
Stolen Vehicle,2019-0708-0002,07/08/2019 10:49 A.M.,07/08/2019 10:49 A.M.,MMC,Motor Pool,Open,No
"",,,,,Ernest R. Graham,,
Arrest - Bench Warrant,2019-0710-0001,07/10/2019 7:42 A.M.,07/10/2019 7:42 A.M.,MMC,,Closed,Unknown
"",,,,,Center,,
Assault / Battery,2019-0710-0002,07/10/2019 8:34 A.M.,07/10/2019 8:34 A.M.,MMC,Owa Ehan,Open,Yes
"",,,,,College of Business,,
Theft/Computers,2019-0711-0001,07/11/2019 01:17 P.M.,07/11/2019 01:17 P.M.,MMC,,Open,No
"",,,,,Complex,,
"",,,,,Modesto A. Maidique,,
Hit & Run,2019-0711-0004,07/11/2019 06:41 P.M.,07/11/2019 06:41 P.M.,MMC,,Open,No
"",,,,,Campus,,
Arrest-Traffic Stop,2019-0711-0006,07/11/2019 08:24 P.M.,07/11/2019 08:24 P.M.,MMC,Panther Garage,Closed,Yes
Hit & Run,2019-0712-0003,07/12/2019 01:11 P.M.,07/12/2019 01:11 P.M.,MMC,Gold Garage,Open,Yes
"",,,,,Engineering &,,
Theft/Computer,2019-0712-0006,07/12/2019 03:21 P.M.,07/12/2019 03:21 P.M.,MMC,,Open,No
"",,,,,Computer Science,,
"",,,,,SW 107th Ave/SW 11th,,
Civil Citation,2019-0712-0009,07/12/2019 09:16 P.M.,07/12/2019 09:16 P.M.,MMC,,Closed,No
"",,,,,St,,
Theft - Bike,2019-0714-0002,07/14/2019 2:34 P.M.,07/14/2019 2:34 P.M.,MMC,Lakeview North,Open,Yes
Hit & Run,2019-0715-0002,07/15/2019 11:48 A.M.,07/15/2019 11:48 A.M.,MMC,Parking Lot 6 MMC,Open,Yes
Sex Offense,2019-0715-0005,07/15/2019 7:19 P.M.,07/15/2019 7:19 P.M.,MMC,University Towers,Open,Yes
"",,,,,SW 107th Ave/SW 16th,,
Civil Citation,2019-0718-0001,07/18/2019 12:47 A.M.,07/18/2019 12:47 A.M.,MMC,,Closed,No
"",,,,,St,,
Nacrotics Investigation,,,,,SW 109th Ave / SW,,
"",2019-0719-0001,07/19/2019 12:27 A.M.,07/19/2019 12:27 A.M.,MMC,,Closed,Yes
"(Arrest)",,,,,14th St,,
Theft - White Iphone,2019-0719-0004,07/19/2019 12:06 P.M.,07/19/2019 12:06 P.M.,MMC,PG1 - Gold Garage,Open,Yes
Theft - Iphone & Drivers,,,,,,,
"",2019-0719-0005,07/19/2019 12:07 P.M.,07/19/2019 12:07 P.M.,MMC,PG1 - Gold Garage,Open,Unknown
License,,,,,,,
Theft - Iphone,2019-0719-0007,07/19/2019 2:30 P.M.,07/19/2019 2:30 P.M.,MMC,Veterans Affairs,Open,No
Stolen Vehicle,2019-0720-0001,07/20/2019 6:54 A.M.,07/20/2019 6:54 A.M.,MMC,Parking Lot 9,Open,No
Burglary to a Vehicle,2019-0724-0001,07/24/2019 12:50 A.M.,07/24/2019 12:50 A.M.,CEASE,Engineering Center,Closed,Yes
"Theft - Hand Cream, Post It",,,,,Academic Health,,
"",2019-0724-0003,07/24/2019 10:46 A.M.,07/24/2019 10:46 A.M.,MMC,,Open,No
"Dispenser, Markers",,,,,Center 1,,
