Arrest/TPW,2015-00711,05/01/2015 12:46 P.M.,05/01/2015 12:46 P.M.,MMC,11212 SW 11TH ST,Closed
"",,,,,WPAC Performing Arts,
Theft/Bicycle,2015-00712,05/01/2015 02:59 P.M.,05/01/2015 02:49 P.M.,MMC,,Open
"",,,,,Center,
"",,,,,Wolfe University,
Theft/Ipad 3,2015-00713,05/01/2015 07:56 P.M.,05/01/2015 07:56 P.M.,BBC,,Open
"",,,,,Center,
Traffic Stop/Arrest-DWLS,2015-00714,05/02/2015 03:48 A.M.,05/02/2015 03:48 P.M.,MMC,Lot 6,Closed
"",,,,,US Century Bank,
Sick/Injured Person,2015-00715,05/03/2015 12:02 P.M.,05/03/2015 12:02 P.M.,MMC,,Closed
"",,,,,Arena,
"",,,,,Ryder Business,
Burglary/Laptop,2015-00716,05/03/2015 04:49 P.M.,05/03/2015 04:49 P.M.,MMC,,Open
"",,,,,Building,
"",,,,,SW 109TH AVE/SW,
Sick/Injured Person,2015-00717,05/03/2015  06:32 P.M.,05/03/2015  06:32 P.M.,MMC,,Closed
"",,,,,8TH ST,
Information Report,2015-00718,05/03/2015 06:45 P.M.,05/03/2015 06:45 P.M.,MMC,Marketplace Garage,Closed
Information Report/Unlawful Use,,,,,,
"",2015-00719,05/03/2015 07:50 P.M.,05/03/2015 07:50 P.M.,MMC,Marketplace Garage,Closed
of Handicap Permit,,,,,,
Found Property/Earrings,2015-00720,05/03/2015 08:45 P.M.,05/03/2015 08:45 P.M.,MMC,Recreation Center,Closed
Found Property/Debit Card,2015-00721,05/03/2015 10:49 P.M.,05/03/2015 10:49 P.M.,MMC,University Towers,Closed
Criminal Mischief,2015-00722,05/04/2015 12:05 A.M.,05/04/2015 12:05 A.M.,MMC,Deuxieme Maison,Closed
Information Report,2015-00723,05/04/2015 11:43 A.M.,05/04/2015 11:43 A.M.,MMC,Owa Ehan,Closed
Narcotic Investigation,2015-00724,05/04/2015 01:44 P.M.,05/04/2015 01:44 P.M.,MMC,Lakeview South,Closed
Theft/Credit Card,2015-00725,05/04/2015 02:37 P.M.,05/04/2015 02:37 P.M.,BBC,Glen Hubert Library,Open
Found Property/Drivers,,,,,SW 115TH AVE/17TH,
"",2015-00726,05/04/2015 02:54 P.M.,05/04/2015 02:54 P.M.,MMC,,Open
License,,,,,ST,
Found Property/Credit Card,2015-00727,05/05/2015 11:05 A.M.,05/05/2015 11:05 A.M.,MMC,Parkview East,Open
"",,,,,US Century Bank,
Sick/Injured Person,2015-00728,05/05/2015 02:59 P.M.,05/05/2015 02:59 P.M.,MMC,,Closed
"",,,,,Arena,
Theft/Cell Phone,2015-00729,05/05/2015 06:59 P.M.,05/05/2015 06:59 P.M.,MMC,Mango Bldg,Open
"",,,,,Wolfe University,
Assault/Battery,2015-00730,05/05/2015 07:18 P.M.,05/05/2015 07:18 P.M.,BBC,,Open
"",,,,,Center,
"",,,,,US Century Bank,
Theft/Wallet,2015-00731,05/05/2015 10:54 P.M.,05/05/2015 10:54 P.M.,MMC,,Open
"",,,,,Arena,
"",,,,,SW 108TH AVE/17TH,
Arrest/Traffic Stop/BW,2015-00732,05/06/2015 08:27 P.M.,05/06/2015 08:27 P.M.,MMC,,Closed
"",,,,,ST,
Alarm Fire,2015-00733,05/06/2015 10:46 P.M.,05/06/2015 10:46 P.M.,MMC,University Park Towers,Closed
Sick/Injured Person,2015-00734,05/07/2015 03:46 P.M.,05/07/2015 03:46 P.M.,MMC,Marketplace Garage,Closed
Traffic Accident,2015-00735,05/07/2015 03:15 P.M.,05/07/2015 03:15 P.M,MMC,Green Library,Closed
"",,,,,Wolfe University,
Theft/Windscreen,2015-00736,05/07/2015 03:16 P.M.,05/07/2015 03:16 P.M.,BBC,,Open
"",,,,,Center,
Theft/Vehicle Boots,2015-00737,05/07/2015 04:33 P.M.,05/07/2015 04:33 P.M.,MMC,Marketplace Garage,Open
"",,,,,SW 109TH AVE/17TH,
Traffic Accident,2015-00738,05/08/2015 10:43 A.M.,05/08/2015 10:43 A.M.,MMC,,Closed
"",,,,,ST,
Lost Property/Misc. Items,2015-00739,05/08/2015 01:34 P.M.,05/08/2015 01:34 P.M.,MMC,Lakeview South,Closed
Lost Property/Mercedes,,,,,,
"",2015-00740,05/08/2015 07:30 P.M.,05/08/2015 07:30 P.M.,MMC,11200 SW 8TH ST,Closed
Car Key,,,,,,
"",,,,,Academic Health,
Theft/Cell Phone,2015-00741,05/08/2015 09:04 P.M.,05/08/2015 09:04 P.M.,MMC,,Open
"",,,,,Center 1,
Sick/Injured Person,2015-00742,05/09/2015 09:43 A.M.,05/09/2015 09:43 A.M.,MMC,Tamiami Park,Closed
Sick/Injured Person,2015-00743,05/09/2015 10:08 A.M.,05/09/2015 10:08 A.M.,MMC,Tamiami Park,Closed
Sick/Injured Person,2015-00744,05/09/2015 10:46 A.M.,05/09/2015 10:46 A.M.,MMC,Tamiami Park,Closed
Criminal Mischief,2015-00745,05/09/2015 12:31 P.M.,05/09/2015 12:31 P.M.,MMC,Field House,Closed
