Theft/Research Equipment,2017-0502-0005,05/02/2017 01:04 P.M.,05/02/2017 01:04 P.M.,MMC,Marketplace Garage,Open,Unknown
Criminal Mischief,2017-0502-0007,05/02/2017 03:30 P.M.,05/02/2017 03:30 P.M.,MMC,Fiji Greek Housing 1,Closed,Yes
"",,,,,Wertheim Performing,,
Theft/Bicycle,2017-0502-0009,05/02/2017 05:20 P.M.,05/02/2017 05:20 P.M.,MMC,,Open,Yes
"",,,,,Arts Center,,
Theft/Boot,2017-0504-0001,05/04/2017 08:49 A.M.,05/04/2017 08:49 A.M.,MMC,PG5 Market Station,Open,Unknown
Theft/Boxes,2017-0504-0003,05/04/2017 11:50 A.M.,05/04/2017 11:50 A.M.,MMC,University Towers,Open,Unknown
Disturbance with Possible,,,,,,,
"",2017-0504-0004,05/04/2017 04:42 P.M.,05/04/2017 04:42 P.M.,MMC,Parkview East,Closed,Yes
Injuries,,,,,,,
Theft/Air Pistol,2017-0508-0001,05/08/2017 12:04 P.M.,05/08/2017 12:04 P.M.,MMC,West 1,Open,Unknown
Hit & Run,2017-0509-0002,05/09/2017 12:08 P.M.,05/09/2017 12:08 P.M.,MMC,Marketplace Garage,Open,Unknown
Theft/Parking Boot,2017-0509-0003,05/09/2017 03:20 P.M.,05/09/2017 03:20 P.M.,BBC,Lot 1 BBC,Open,Yes
Found Property/Drug,,,,,,,
"",2017-0509-0004,05/09/2017 05:05 P.M.,05/09/2017 05:05 P.M.,BBC,Bayview Housing,Closed,Staff
Paraphernalia,,,,,,,
"",,,,,Modesto A. Maidique,,
Criminal Mischief,2017-0510-0004,05/10/2017 02:58 P.M.,05/10/2017 02:58 P.M.,MMC,,Closed,Yes
"",,,,,Campus,,
"",,,,,Academic Health,,
Burglary,2017-0510-0006,05/10/2017 07:37 P.M.,05/10/2017 07:37 P.M.,MMC,,Open,Yes
"",,,,,Center 4,,
"",,,,,Academic Health,,
Theft/Credit Card,2017-0511-0001,05/11/2017 09:36 A.M.,05/11/2017 09:36 A.M.,MMC,,Open,Unknown
"",,,,,Center 4,,
"",,,,,Academic Health,,
Burglary/Office,2017-0511-0003,05/11/2017 02:30 P.M.,05/11/2017 02:30 P.M.,MMC,,Open,Unknown
"",,,,,Center 4,,
"",,,,,University Apartments,,
Conduct Investigation,2017-0512-0001,05/12/2017 01:28 P.M.,05/12/2017 01:28 P.M.,MMC,,Open,Yes
"",,,,,Bldg A,,
Assault/Battery,2017-0513-0001,05/13/2017 12:15 P.M.,05/13/2017 12:15 P.M.,MMC,FIU Arena,Closed,Unknown
Assist Other Agency,2017-0513-0002,05/13/2017 08:41 P.M.,05/13/2017 08:41 P.M.,MMC,11200 SW 8TH ST,Open,Yes
Information Report,2017-0515-0002,05/15/2017 09:44 A.M.,05/15/2017 09:44 A.M.,MMC,PG5 Market Station,Open,No
Stolen Vehicle,2017-0515-0005,05/15/2017 02:36 P.M.,05/15/2017 02:36 P.M.,MMC,Lot 3,Open,Yes
Criminal Mischief,2017-0515-0006,05/15/2017 04:46 P.M.,05/15/2017 04:46 P.M.,MMC,Lot 10,Closed,Yes
Hit and Run-Just Occurred,2017-0515-0007,05/15/2017 04:49 P.M.,05/15/2017 04:49 P.M.,MMC,PG5 Market Station,Open,Yes
Information Report,2017-0515-0008,05/15/2017 09:16 P.M.,05/15/2017 09:16 P.M.,MMC,11200 SW 8TH ST,Open,Yes
Civil Citation,2017-0516-0004,05/16/2017 09:17 P.M.,05/16/2017 09:17 P.M.,MMC,University Towers,Closed,Yes
Criminal Mischief,2017-0517-0001,05/17/2017 08:05 A.M.,05/17/2017 08:05 A.M.,MMC,PG5 Market Station,Open,Unknown
Disturbance,2017-0517-0004,05/17/2017 12:14 P.M.,05/17/2017 12:14 P.M.,BBC,Academic One,Closed,Yes
"",,,,,Paul Cejas,,
Theft,2017-0518-0001,05/18/2017 08:41 A.M.,05/18/2017 08:41 A.M.,MMC,,Open,Yes
"",,,,,Architecture,,
"",,,,,Student Academic,,
Theft/iPhone 7,2017-0518-0002,05/18/2017 12:51 P.M.,05/18/2017 12:51 P.M.,MMC,,Open,Unknown
"",,,,,Success Center,,
Theft/Backpack,2017-0518-0003,05/18/2017 12:56 P.M.,05/18/2017 12:56 P.M.,BBC,Glenn Hubert Library,Open,No
"",,,,,Wolfe University,,
Fraud,2017-0519-0001,05/19/2017 08:58 A.M.,05/19/2017 08:58 A.M.,BBC,,Open,Unknown
"",,,,,Center,,
"",,,,OFF,SW 147TH AVE/SW,,
Assist Other Agency,2017-0519-0003,05/19/2017 06:58 P.M.,05/19/2017 06:58 P.M.,,,Closed,Unknown
"",,,,CAMPUS,8TH ST,,
Conduct Investigation,2017-0519-0004,05/19/2017 07:04 P.M.,05/19/2017 07:04 P.M.,BBC,Bayview Housing,Open,Yes
Information Report,2017-0520-0002,05/20/2017 12:19 P.M.,05/20/2017 12:19 P.M.,MMC,Baseball Stadium,Closed,Unknown
"",,,,OFF,SW 107TH AVE/SW,,
Civil Citation,2017-0520-0003,05/20/2017 07:42 P.M.,05/20/2017 07:42 P.M.,,,Closed,No
"",,,,CAMPUS,17TH ST,,
Information Report,2017-0521-0001,05/21/2017 01:28 P.M.,05/21/2017 01:28 P.M.,MMC,Parkview East,Closed,Yes
"",,,,,Parking Garage 6-,,
Theft/Iphone,2017-0522-0004,05/22/2017 02:11 P.M.,05/22/2017 02:11 P.M.,MMC,,Open,Yes
"",,,,,Tech Station,,
"",,,,,Primera Casa-Charles,,
Sick Or Injured Person,2017-0523-0001,05/23/2017 09:35 A.M.,05/23/2017 09:35 A.M.,MMC,,Closed,Yes
"",,,,,Perry,,
Theft/Wallet,2017-0523-0002,05/23/2017 10:07 A.M.,05/23/2017 10:07 A.M.,MMC,Marketplace Garage,Open,Yes
"",,,,,School Of International,,
Fraud,2017-0523-0004,05/23/2017 04:42 P.M.,05/23/2017 04:42 P.M.,MMC,,Open,No
"",,,,,& Publ,,
Hit & Run,2017-0523-0005,05/23/2017 05:03 P.M.,05/23/2017 05:03 P.M.,MMC,Parkview Garage,Open,Unknown
Suspicious Person,2017-0524-0003,05/24/2017 11:15 A.M.,05/24/2017 11:15 A.M.,MMC,Lot 3,Closed,Unknown
