"",,,,OFF,,,
Assist Other Agency,2018-0802-0001,08/02/2018 02:23 A.M.,08/02/2018 02:23 A.M.,,1645 NW S RIVER DR.,Closed,UNKNOWN
"",,,,CAMPUS,,,
Trespass TPW,2018-0802-0002,08/02/2018 09:36 A.M.,08/02/2018 09:36 A.M.,CEAS,Engineering Center,Closed,No
Lost Property/Wallet,2018-0802-0003,08/02/2018 12:13 P.M.,08/02/2018 12:13 P.M.,MMC,University Towers,Closed,No
"",,,,,Wellness & Fitness,,
Theft/Wallet,2018-0802-0004,08/02/2018 12:14 P.M.,08/02/2018 12:14 P.M.,MMC,,Open,Yes
"",,,,,Center,,
"",,,,,GRAHAM CENTER,,
THEFT - PASSPORT,2018-0805-0001,8/5/2018 4:33PM,8/5/2018 4:33PM,MMC,,OPEN,YES
"",,,,,BALLROOMS,,
THEFT - WALLET (CASE,,,,,ENGINEERING,,
"",2018-0805-0002,8/5/18 8:09PM,8/5/18 8:09PM,EC,,CLOSED,YES
CANCELED),,,,,CENTER,,
"",,,,,UNIVERSITY,,
TRESPASS ARREST,2018-0806-0001,8/6/18 12:57AM,8/6/18 12:57AM,MMC,APARTMENTS - BLDG,CLOSED,NO
"",,,,,L,,
"",,,,,STUDENT HEALTH,,
BURGLARY,2018-0806-0002,8/6/18 11:17AM,8/6/18 11:17AM,MMC,,OPEN,NO
"",,,,,CENTER - 1ST FLR,,
"",,,,,UNIVERSITY,,
CIVIL CITATION,2018-0806-0004,8/6/18 11:29PM,8/6/18 11:29PM,MMC,APARTMENTS - BLDG,CLOSED,YES
"",,,,,E,,
Trespass TPW,2018-0809-0002,08/09/2018 09:36 A.M.,08/09/2018 09:36 A.M.,MMC,Graham Center,Closed,No
Theft - Amazon Packages,2018-0809-0003,08/09/2018 11:09 A.M.,08/09/2018 11:09 A.M.,BBC,Bayview Housing,Open,Yes
Trespass Arrest,2018-0809-0004,08/09/2018 11:50 A.M.,08/09/2018 11:50 A.M.,MMC,Graham Center,Closed,No
Theft - Ipad Scanner,2018-0810-0002,08/10/2018 11:47 A.M.,08/10/2018 11:47 A.M.,MMC,Graham Center,Open,No
Information Report -,,,,,Ocean Bank,,
"",2018-0810-0003,08/10/2018 01:55 P.M.,08/10/2018 01:55 P.M.,MMC,,Open,No
Harassing Emails,,,,,Convocation Center,,
Information Report,2018-0811-0001,08/11/2018 02:08 P.M.,08/11/2018 02:08 P.M.,BBC,Public Safety,Closed,Yes
"",2018-08-11-,,,,Parking Garage #1 -,,
Hit and Run,,08/11/2018 06:10 P.M.,08/11/2018 06:10 P.M.,MMC,,Open,Yes
"",0002,,,,Gold Garage,,
Hit and Run,2018-0812-0001,08/12/2018 11:03 A.M,08/12/2018 11:03 A.M,MMC,University Towers,Open,Yes
"",,,,,Team Ropes,,
Vehicle Burglary,2018-0812-0002,08/12/2018 02:27 P.M,08/12/2018 02:27 P.M,BBC,,Open,No
"",,,,,Adventure Challenge,,
TRESPASS WARNING,,,,,RAFAEL DIAZ BALART,,
"",2018-0815-0001,8/15/18 4:07AM,8/15/18 4:07AM,MMC,,CLOSED,NO
ISSUED,,,,,- COURTYARD,,
INFORMATION REPORT,2018-0815-0005,8/15/18 4:38PM,8/15/18 4:38PM,BBC,BAYVIEW HOUSING,CLOSED,NO
"",,,,,PARKING GARAGE #3,,
CIVIL CITATION,2018-0816-0010,8/16/18 10:21PM,8/16/18 10:21PM,MMC,,CLOSED,YES
"",,,,,(PANTHER GARGE),,
"",,,,,EVERGLADES HALL -,,
THEFT,2018-0817-0001,8/17/18 11:37AM,8/17/18 11:37AM,MMC,,CLOSED,YES
"",,,,,RM 231C,,
Hit and Run,2018-0819-0001,08/19/2018 01:59 P.M,08/19/2018 01:59 P.M,MMC,Student Health Center,Open,Yes
"",,,,,Academic Health,,
Theft,2018-0819-0002,08/19/2018 03:33 P.M,08/19/2018 03:33 P.M,MMC,,Open,Yes
"",,,,,Center #4,,
"",,,,,University Tower,,
Hit and Run,2018-0819-0003,8/19/2018  08:00:00 P.M,8/19/2018  08:00:00 P.M,MMC,,Open,Yes
"",,,,,Parking Lot,,
"",,,,,ALONZO MOURNING,,
ASSIST OTHER AGENCY,2018-0820-0006,8/20/18 2:43PM,8/20/18 2:43PM,BBC,,CLOSED,NO
"",,,,,SCHOOL,,
"",,,,,LAKEVIEW SOUTH -,,
THEFT,2018-0820-0007,8/20/18 5:59PM,8/20/18 5:59PM,MMC,,OPEN,YES
"",,,,,EXTERIOR,,
HIT AND RUN,2018-0821-0002,8/21/18 7:29AM,8/21/18 7:29AM,MMC,GOLD GARAGE (PG1),OPEN,YES
"",,,,,CHEMISTRY AND,,
CONDUCT INVESTIGATION,2018-0821-0004,8/21/18 2:54PM,8/21/18 2:54PM,MMC,,OPEN,NO
"",,,,,PHYSICS,,
"",,,,,TECH STATION (PG6) -,,
HIT AND RUN,2018-0821-0008,8/21/18 5:27PM,8/21/18 5:27PM,MMC,RAMP FROM 4TH TO,OPEN,YES
"",,,,,5TH FLR,,
"",,,,,GREEN LIBRARY - 1ST,,
THEFT,2018-0821-0009,8/21/18 5:52PM,8/21/18 5:52PM,MMC,,OPEN,UNKNOWN
"",,,,,FLR STARBUCKS,,
"",,,,,PANTHER GARAGE,,
HIT AND RUN,2018-0821-0010,8/21/18 6:41PM,8/21/18 6:41PM,MMC,,OPEN,YES
"",,,,,(PG3) - LEVEL 3B,,
