Lost/Found Property/NOI,2015-00176,02/01/2015 00:31 A.M.,02/01/2015 00:31 A.M.,MMC,Pike Greek Housing 2,Closed
Conduct Investigation,2015-00177,02/01/2015 01:07 A.M.,02/01/2015 01:07 A.M.,BBC,Bay Vista Housing,Closed
Sick/Injured Person,2015-00178,02/01/2015 09:46 A.M.,02/01/2015 09:46 A.M.,MMC,Everglades Hall,Closed
Sick/Injured Person,2015-00179,02/01/2015 12:24 P.M.,02/01/2015 12:24 P.M.,MMC,Green Library,Closed
Theft/Bicycle,2015-00180,02/01/2015 04:49 P.M.,02/01/2015 04:49 P.M.,MMC,Fiji Greek Housing,Open
"",,,,,West Of The Koven,
Information Report,2015-00181,02/01/2015 11:50 P.M.,02/01/2015 11:50 P.M.,BBC,,Closed
"",,,,,Conference Center,
"",,,,,Engineering Computer,
Found Property/Laptop,2015-00182,02/02/2015 07:53 A.M.,02/02/2015 07:53 A.M.,MMC,,Closed
"",,,,,Science,
Criminal Mischief,2015-00183,02/02/2015 11:20 A.M.,02/02/2015 11:20 A.M.,MMC,Apartments Bldg C,Closed
Information Report,2015-00184,02/02/2015 11:40 A.M.,02/02/2015 11:40 A.M.,MMC,Panther Hall,Closed
Traffic Crash,2015-00185,02/02/2015 01:15 P.M.,02/02/2015 01:15 P.M.,MMC,Lot 4,Closed
Information Report,2015-00186,02/02/2015 05:43 P.M.,02/02/2015 05:43 P.M.,BBC,Marketplace Garage,Closed
"",,,,,Lakeview Housing,
Arrest/Narcotics,2015-00187,02/02/2015 09:51 P.M.,02/02/2015 09:51 P.M.,MMC,,Closed
"",,,,,South,
"",,,,,College Of Business,
Theft/Wallet,2015-00188,02/03/2015 03:31 P.M.,02/03/2015 03:31 P.M.,MMC,,Open
"",,,,,Comp,
Hit & Run,2015-00189,02/03/2015 07:04 P.M.,02/03/2015 07:04 P.M.,MMC,Red Garage,Open
Information Report,2015-00190,02/03/2015 09:24 P.M.,02/03/2015 09:24 P.M.,MMC,Recreation Center,Closed
Traffic Citation,AOII1TP,01/28/2015 02:30 P.M.,01/28/2015 02:30 P.M.,MMC,Gold Garage,Closed
Sick/Injured Person,2015-00191,02/04/2015 00:10 A.M.,02/04/2015 00:10 A.M.,MMC,Marketplace Garage,Closed
Information Report,2015-00192,02/04/2015 06:16 A.M.,02/04/2015 06:16 A.M.,MMC,Primera Casa,Closed
Burglary,2015-00193,02/04/2015 08:59 A.M.,02/04/2015 08:59 A.M.,MMC,Lot 4,Open
ost Property/Panther ID card,2015-00194,02/04/2015 09:23 A.M.,02/04/2015 09:23 A.M.,MMC,Recreation Center,Closed
Criminal Mischief,2015-00195,02/04/2015 11:01 A.M.,02/04/2015 11:01 A.M.,MMC,Marketplace Garage,Closed
Fraud,2015-00196,02/04/2015 12:37 P.M.,02/04/2015 12:37 P.M.,MMC,Marketplace Garage,Closed
Theft/Iphone 6,2015-00197,02/04/2015 03:52 P.M.,02/04/2015 03:52 P.M.,BBC,University Center,Open
Arrest/Weapons Violation,2015-00198,02/04/2015 04:46 P.M.,02/04/2015 04:46 P.M.,MMC,Lot 4,Closed
"",,,,,Academic Health,
Information Report,2015-00199,02/04/2015 07:05 P.M.,02/04/2015 07:05 P.M.,MMC,,Closed
"",,,,,Center 4,
Case Cancelled,2015-00200,,,,,
Information Report,2015-00201,02/04/2015 11:47 P.M.,02/04/2015 11:47 P.M.,MMC,Marketplace Garage,Closed
Arrest/Narcotics,2015-00202,02/04/2015 11:36 P.M.,02/04/2015 11:36 P.M.,MMC,Lot 5,Closed
Conduct Investigation,2015-00203,02/05/2015 09:43 A.M.,02/05/2015 09:43 A.M.,MMC,Marketplace Garage,Closed
"",,,,,Engineering Computer,
Traffic Accident,2015-00204,02/05/2015 11:58 A.M.,02/05/2015 11:58 A.M.,MMC,,Closed
"",,,,,Science,
Burglary,2015-00205,02/05/2015 03:06 P.M.,02/05/2015 03:06 P.M.,MMC,Ziff Education Building,Open
Theft/Cell Phone,2015-00206,02/05/2015 04:33 P.M.,02/05/2015 04:33 P.M.,MMC,Chemistry & Physics,Open
Lost Property/Wallet,2015-00207,02/05/2015 06:54 P.M.,02/05/2015 06:54 P.M.,MMC,Graham Center,Closed
Theft/Ipad Mini,2015-00208,02/06/2015 12:34 A.M.,02/06/2015 12:34 A.M.,MMC,Primera Casa,Open
"",,,,,Hospitality,
Theft/Wallet,2015-00209,02/06/2015 10:58 A.M.,02/06/2015 10:58 A.M.,MMC,,Open
"",,,,,Management,
