"",,,,,Ernest R. Graham,,
Theft/iPhone 2019-1101-0004,,11/01/2019 02:46 P.M.,11/01/2019 02:46 P.M.,MMC,,Open,No
"",,,,,Center,,
Theft/Laptop 2019-1102-0007,,11/02/2019 03:10 P.M.,11/02/2019 03:10 P.M.,MMC,FIU Stadium,Open,No
Theft - Wallet 2019-1104-0002,,11/04/2019 11:55 A.M.,11/04/2019 11:55 A.M.,MMC,PG3 - Panther Garage,Open,Yes
Vandalism 2019-1105-0001,,11/05/2019 10:26 A.M.,11/05/2019 10:26 A.M.,BBC,Academic Two,Open,No
"",,,,,Wolfe University,,
Shoplifting 2019-1105-0002,,11/05/2019 11:32 A.M.,11/05/2019 11:32 A.M.,BBC,,Closed,No
"",,,,,Center,,
Simple Stalking 2019-1105-0006,,11/05/2019 5:21 P.M.,11/05/2019 5:21 P.M.,MMC,University Towers,Closed,Yes
"",,,,,Ernest R. Graham,,
Theft - Bag of Bread 2019-1106-0002,,11/06/2019 9:38 A.M.,11/06/2019 9:38 A.M.,MMC,,Open,Unknown
"",,,,,Center,,
Hit & Run 2019-1106-0003,,11/06/2019 4:35 P.M.,11/06/2019 4:35 P.M.,MMC,Panther Hall,Open,Yes
Found Property - Marijuana 2019-1106-0005,,11/06/2019 7:21 P.M.,11/06/2019 7:21 P.M.,MMC,Nature Preserve,Closed,Unknown
Assault (Arrest) 2019-1107-0001,,11/07/2019 12:04 A.M.,11/07/2019 12:04 A.M.,MMC,Panther Hall,Closed,Yes
"",,,,,Primera Casa -,,
Theft - Yellow Skateboard 2019-1107-0004,,11/07/2019 12:40 P.M.,11/07/2019 12:40 P.M.,MMC,,Open,Yes
"",,,,,Charles E. Perry Bldg,,
Vandalism to Vehicle 2019-1107-0005,,11/07/2019 1:18 P.M.,11/07/2019 1:18 P.M.,MMC,North East Gravel Lot,Open,Yes
Hit & Run 2019-1108-0002,,11/08/2019 11:48 A.M.,11/08/2019 11:48 A.M.,MMC,PG1 - Gold Garage,Open,Yes
Information Report 2019-1108-0003,,11/08/2019 3:41 P.M.,11/08/2019 3:41 P.M.,MMC,Rafael Diaz Balart Hall,Closed,No
"",,,,,University Apartments,,
Narcotics Investigation 2019-1108-0004,,11/08/2019 3:47 P.M.,11/08/2019 3:47 P.M.,MMC,,Closed,Unknown
"",,,,,Bldg F,,
Theft - Black & Blue Adidas,,,,,University Apartments,,
2019-1108-0009,,11/08/2019 8:28 P.M.,11/08/2019 8:28 P.M.,MMC,,Open,Yes
Book Bag,,,,,Bldg A,,
Criminal Mischief 2019-1111-0001,,11/11/2019 1:50 A.M.,11/11/2019 1:50 A.M.,MMC,University Towers,Closed,Yes
Criminal Mischief 2019-1112-0001,,11/12/2019 8:50 A.M.,11/12/2019 8:50 A.M.,MMC,Art Studio,Closed,No
"",,,,,Academic Health,,
Theft - Textbooks 2019-1112-0004,,11/12/2019 11:54 A.M.,11/12/2019 11:54 A.M.,MMC,,Open,Yes
"",,,,,Center 1,,
"",,,,,SW 109th Ave / W,,
Civil Citation 2019-1112-0006,,11/12/2019 4:51 P.M.,11/12/2019 4:51 P.M.,Off Campus,,Closed,No
"",,,,,Flagler St,,
Theft - Grey Backpack 2019-1113-0003,,11/13/2019 1:39 P.M.,11/13/2019 1:39 P.M.,MMC,PG5 - Marketstation,Open,Yes
Theft - Pink Purse 2019-1113-0004,,11/13/2019 2:26 P.M.,11/13/2019 2:26 P.M.,MMC,PG4 - Red Garage,Open,Yes
"",,,,,Sw 16th St Btwn PG1 &,,
Traffic Accident 2019-1113-0005,,11/13/2019 5:04 P.M.,11/13/2019 5:04 P.M.,MMC,,Closed,Yes
"",,,,,PG2,,
Theft - Brown Backpack and,,,,,Management & New,,
2019-1113-0006,,11/13/2019 5:46 P.M.,11/13/2019 5:46 P.M.,MMC,,Open,Yes
Debit Card,,,,,Growth Opportunties,,
Vandalism 2019-1114-0002,,11/14/2019 8:49 A.M.,11/14/2019 8:49 A.M.,MMC,PG5 - Marketstation,Closed,No
Stolen Tag 2019-1114-0004,,11/14/2019 11:58 A.M.,11/14/2019 11:58 A.M.,MMC,Parking Lot 3,Open,Yes
"",,,,,Ernest R. Graham,,
Theft - White Apple Pencil 2019-1114-0006,,11/14/2019 2:22 P.M.,11/14/2019 2:22 P.M.,MMC,,Open,Yes
"",,,,,Center,,
"",,,,,Ernest R. Graham,,
Assault / Battery 2019-1114-0007,,11/14/2019 2:42 P.M.,11/14/2019 2:42 P.M.,MMC,,Open,Yes
"",,,,,Center,,
"",,,,,Modesto A. Maidique,,
Assault / Battery 2019-1114-0010,,11/14/2019 5:00 P.M.,11/14/2019 5:00 P.M.,MMC,,Open,Yes
"",,,,,Caampus,,
heft - Green Raleigh Bicycle 2019-1114-0013,,11/14/2019 8:51 P.M.,11/14/2019 8:51 P.M.,MMC,Owa Ehan,Open,No
"",,,,,University Apartments,,
Burglary to a Vehicle 2019-1115-0003,,11/15/2019 1:15 P.M.,11/15/2019 1:15 P.M.,MMC,,Open,Yes
"",,,,,Bldg B,,
Narcotics Investigation 2019-1115-0005,,11/15/2019 8:06 P.M.,11/15/2019 8:06 P.M.,MMC,Panther Hall,Closed,Yes
Drug Violation 2019-1116-0001,,11/16/2019 1:27 A.M.,11/16/2019 1:27 A.M.,MMC,PG6 - Tech Station,Closed,No
Fire 2019-1116-0005,,11/16/2019 9:39 P.M.,11/16/2019 9:39 P.M.,MMC,Panther Hall,Closed,Yes
Sexual Assault 2019-1117-0001,,11/16/2019 11:18 p.m.,11/16/2019 11:18 p.m.,MMC,Parkview East Housing,Open,Yes
"",,,,,Academic Health,,
Theft - Iphone 2019-1117-0002,,11/17/2019 12:30 p.m.,11/17/2019 12:30 p.m.,MMC,,Open,Yes
"",,,,,Center 2,,
Theft - Iphone 2019-1117-0003,,11/17/2019 12:53 p.m.,11/17/2019 12:53 p.m.,MMC,University Towers,Open,Yes
Battery 2019-1119-0003,,11/19/2019 10:22 A.M.,11/19/2019 10:22 A.M.,BBC,Glenn Hubert Library,Closed,No
