Information Report,2015-01742,11/02/2015 09:36 A.M.,11/02/2015 09:36 A.M.,MMC,Parking Garage 6,Closed,Unknown
Arrest/Narcotics,2015-01748,11/02/2015 11:03 P.M.,11/02/2015 11:03 P.M.,MMC,Lot 6,Closed,No
Theft/Wallet,2015-01752,11/03/2015 05:29 P.M.,11/03/2015 05:29 P.M.,MMC,Marketplace Garage,Open,No
Arrest/Narcotics,2015-01753,11/03/2015 07:04 P.M.,11/03/2015 07:04 P.M.,MMC,Parkview Housing,Closed,Yes
"",,,,,University Apartments,,
Arrest/NOI,2015-01758,11/04/2015 09:47 A.M.,11/04/2015 09:47 A.M.,MMC,,Closed,Unknown
"",,,,,Bldg C,,
"",,,,,Modesto A. Maidique,,
Criminal Mischief,2015-01763,11/04/2015 02:55 P.M.,11/04/2015 02:55 P.M.,MMC,,Open,Yes
"",,,,,Campus,,
Theft/Wallet,2015-01764,11/04/2015 03:03 P.M.,11/04/2015 03:03 P.M.,MMC,Primera Casa,Open,Yes
Criminal Mischief,2015-01765,11/04/2015 07:00 P.M.,11/04/2015 07:00 P.M.,MMC,Lot 3,Open,Yes
"",,,,OFF,SW 112TH AVE/SW,,
Arrest/Narcotics,2015-01766,11/04/2015 10:33 P.M.,11/04/2015 10:33 P.M.,,,Closed,Yes
"",,,,CAMPUS,17TH ST,,
Theft/Wallet,2015-01769,11/05/2015 12:49 P.M.,11/05/2015 12:49 P.M.,MMC,Graham Center,Open,Unknown
Theft/Laptop,2015-01770,11/05/2015 03:42 P.M.,11/05/2015 03:42 P.M.,MMC,Graham Center,Open,Unknown
"",,,,,Lakeview Housing,,
Information Report,2015-01771,11/05/2015 04:29 P.M.,11/05/2015 04:29 P.M.,MMC,,Closed,Yes
"",,,,,North,,
Theft/Card Holder,2015-01775,11/06/2015 06:36 A.M.,11/06/2015 06:36 A.M.,MMC,Market Place,Open,Yes
Theft/Headlights,2015-01776,11/06/2015 08:11 A.M.,11/06/2015 08:11 A.M.,MMC,Parking Garage 6,Open,Unknown
Sick/Injured Person,2015-01778,11/06/2015 10:56 A.M.,11/06/2015 10:56 A.M.,MMC,Graham Center,Closed,Unknown
Theft/Macbook,2015-01780,11/06/2015 12:23 P.M.,11/06/2015 12:23 P.M.,MMC,Graham Center,Open,Yes
Criminal Mischief,2015-01782,11/06/2015 12:58 P.M.,11/06/2015 12:58 P.M.,MMC,Lot 6,Open,Yes
Theft/Laptop,2015-01784,11/06/2015 05:06 P.M.,11/06/2015 05:06 P.M.,MMC,Green Library,Open,Yes
Theft/NOI,2015-01791,11/07/2015 02:11 P.M.,11/07/2015 02:11 P.M.,MMC,Green Library,Open,Unknown
Information Report,2015-01793,11/08/2015 01:24 A.M.,11/08/2015 01:24 A.M.,MMC,University Towers,Closed,Yes
Arrest/TPW,2015-01798,11/08/2015 07:54 P.M.,11/08/2015 07:54 P.M.,MMC,Apartments Bldg A,Closed,Yes
Theft/Wallet,2015-01799,11/08/2015 08:10 P.M.,11/08/2015 08:10 P.M.,MMC,Recreation Center,Open,Yes
Criminal Mischief,2015-01802,11/09/2015 08:47 A.M.,11/09/2015 08:47 A.M.,MMC,Viertes Haus,Closed,Unknown
Theft/Florida Decal Sticker,2015-01803,11/09/2015 11:16 A.M.,11/09/2015 11:16 A.M.,MMC,11200 SW 8TH ST,Open,Staff
Theft/Cell Phone,2015-01806,11/09/2015 05:55 P.M.,11/09/2015 05:55 P.M.,MMC,Recreation Center,Open,Yes
Theft/Pink Sweater,2015-01807,11/09/2015 05:22 P.M.,11/09/2015 05:22 P.M.,MMC,Graham Center,Open,Unknown
Arrest/Narcotics,2015-01808,11/09/2015 05:20 P.M.,11/09/2015 05:20 P.M.,MMC,Panther Hall,Closed,Yes
"",,,,,Ryder Business,,
Theft/Textbook,2015-01810,11/09/2015 07:49 P.M.,11/09/2015 07:49 P.M.,MMC,,Open,Yes
"",,,,,Building,,
Theft/Skateboard,2015-01811,11/09/2015 08:24 P.M.,11/09/2015 08:24 P.M.,BBC,3000 NE 145TH ST,Open,Yes
Assault/Batt In Prog,2015-01812,11/09/2015 09:21 P.M.,11/09/2015 09:21 P.M.,MMC,Intramural Field,Closed,Yes
"",,,,,FIU Community,,
Arrest/Narcotics,2015-01813,11/09/2015 10:05 P.M.,11/09/2015 10:05 P.M.,MMC,,Closed,Unknown
"",,,,,Stadium,,
Theft/Laptop,2015-01814,11/10/2015 02:01 P.M.,11/10/2015 02:01 P.M.,MMC,Sch. Of Int. & Pub Aff,Open,Yes
Theft/Cell Phone,2015-01815,11/10/2015 04:14 P.M.,11/10/2015 04:14 P.M.,MMC,Green Library,Open,Yes
"",,,,,Wolfe University,,
Suspicious Person,2015-01818,11/10/2015 04:39 P.M.,11/10/2015 04:39 P.M.,BBC,,Closed,Unknown
"",,,,,Center,,
Criminal Mischief,2015-01822,11/11/2015 09:46 P.M.,11/11/2015 09:46 P.M.,MMC,Parkview Housing,Closed,Yes
"",,,,,College of Business,,
Theft/Galaxy Note 4,2015-01825,11/12/2015 09:56 A.M.,11/12/2015 09:56 A.M.,MMC,,Open,Yes
"",,,,,Complex,,
Information Report,2015-01826,11/12/2015 10:41 A.M.,11/12/2015 10:41 A.M.,MMC,Market Place,Closed,Yes
Arrest/Robbery,2015-01827,11/12/2015 10:54 A.M.,11/12/2015 10:54 A.M.,MMC,Market Place,Closed,Unknown
"",,,,,Lakeview Housing,,
Assault/Battery,2015-01828,11/12/2015 12:01 P.M.,11/12/2015 12:01 P.M.,MMC,,Closed,Yes
"",,,,,South,,
