"",,,,,Wolfe University,,
Theft/Ipad 2016-0501-0001,,05/01/2016 04:38 P.M.,05/01/2016 04:38 P.M.,BBC,,Open,No
"",,,,,Center,,
"",,,,,Academic Health,,
Conduct Investigation 2016-0502-0002,,05/02/2016 02:22 P.M.,05/02/2016 02:22 P.M.,MMC,,Closed,Yes
"",,,,,Center 3,,
Burglary 2016-0502-0003,,05/02/2016 02:39 P.M.,05/02/2016 02:39 P.M.,MMC,Lot 6,Open,Yes
Back Up Other Agency 2016-0503-0001,,05/03/2016 01:01 P.M.,05/03/2016 01:01 P.M.,BBC,Academic One,Closed,Unknown
Theft/Long Board 2016-0503-0002,,05/03/2016 02:05 P.M.,05/03/2016 02:05 P.M.,MMC,Apartments Bldg E,Open,Yes
Fraud 2016-0503-0004,,05/03/2016 12:03 P.M.,05/03/2016 12:03 P.M.,MMC,Fiji Greek House,Closed,Yes
Stolen Tag 2016-0503-0005,,05/03/2016 05:37 P.M.,05/03/2016 05:37 P.M.,MMC,Gold Garage,Open,Yes
Conduct Investigation 2016-0504-0001,,05/04/2016 09:32 A.M.,05/04/2016 09:32 A.M.,MMC,Gold Garage,Closed,Unknown
Burglary 2016-0504-0002,,05/04/2016 09:56 A.M.,05/04/2016 09:56 A.M.,BBC,Academic One,Open,Unknown
Assault/Battery 2016-0504-0005,,05/04/2016 03:47 P.M.,05/04/2016 03:47 P.M.,MMC,Recreation Center,Closed,Yes
Theft/Money 2016-0504-0006,,05/04/2016 05:58 P.M.,05/04/2016 05:58 P.M.,MMC,Lakeview South,Open,Yes
Suspicious Person/Arrest 2016-0505-0002,,05/05/2016 08:42 A.M.,05/05/2016 08:42 A.M.,MMC,Owa Ehan,Closed,Unknown
Burglary of a Vehicle 2016-0505-0004,,05/05/2016 11:43 A.M.,05/05/2016 11:43 A.M.,MMC,Marketplace Garage,Open,Unknown
Disturbance 2016-0506-0003,,05/06/2016 11:34 A.M.,05/06/2016 11:34 A.M.,MMC,FIU Stadium,Closed,Staff
Fraud 2016-0506-0007,,05/06/2016 12:20 P.M.,05/06/2016 12:20 P.M.,MMC,Lakeview North,Open,Yes
Theft/Bicycle 2016-0508-0001,,05/08/2016 11:32 A.M.,05/28/2016 11:32 A.M.,MMC,Owa Ehan,Open,Yes
"",,,,,Wolfe University,,
Information Report 2016-0509-0003,,05/09/2016 11:35 A.M.,05/09/2016 11:35 A.M.,BBC,,Closed,Unknown
"",,,,,Center,,
