Conduct Investigation,2017-0801-0001,08/01/2017 02:57 P.M.,08/01/2017 02:57 P.M.,MMC,FIU Arena,Closed,No
"",,,,,University Apartment,,
Conduct Investigation,2017-0801-0002,08/01/2017 02:48 P.M.,08/01/2017 02:48 P.M.,MMC,,Closed,Unknown
"",,,,,Bldg G,,
"",,,,,SW 117th Ave/SW 8th,,
Arrest/Bench Warrant,2017-0801-0004,08/01/2017 08:43 P.M.,08/01/2017 08:43 P.M.,MMC,,Closed,Yes
"",,,,,St,,
"",,,,,Primera Casa-Charles,,
Conduct Investigation,2017-0802-0001,08/02/2017 08:38 A.M.,08/02/2017 08:38 A.M.,MMC,,Closed,No
"",,,,,Perry,,
"",,,,,Wertheim Performing,,
Conduct Investigation,2017-0802-0003,08/02/2017 07:47 P.M.,08/02/2017 07:47 P.M.,MMC,,Closed,Yes
"",,,,,Arts Center,,
Information Report,2017-0802-0004,08/02/2017 10:51 P.M.,08/02/2017 10:51 P.M.,MMC,Green Library,Closed,No
Information Report,2017-0802-0005,08/02/2017 11:31 P.M.,08/02/2017 11:31 P.M.,MMC,FIJI Greek Housing 1,Closed,Yes
Information Report,2017-0804-0001,08/04/2017 12:20 A.M.,08/04/2017 12:20 A.M.,MMC,Parkview West,Open,Yes
Information Report,2017-0804-0003,08/04/2017 10:29 A.M.,08/04/2017 10:29 A.M.,MMC,Deuxieme Maison,Closed,No
Information Report,2017-0804-0004,08/04/2017 12:15 P.M.,08/04/2017 12:15 P.M.,BBC,3000 NE 151ST ST,Closed,No
Conduct Investigation,2017-0804-0009,08/04/2017 05:12 P.M.,08/04/2017 05:12 P.M.,MMC,Chemistry and Physics,Closed,Yes
Stolen Vehicle,2017-0805-00002,08/05/2017 04:15 P.M.,08/05/2017 04:15 P.M.,MMC,Gold Garage,Open,No
Theft/Rear Bumper,2017-0806-0001,08/06/2017 12:12 P.M.,08/06/2017 12:12 P.M.,MMC,PG5 Market Station,Open,Yes
Suspicious Vehicle,2017-0806-0002,08/06/2017 08:33 P.M.,08/06/2017 08:33 P.M.,MMC,Blue Garage,Closed,Yes
"",,,,,Academic Health,,
Theft/Bicycle,2017-0808-0002,08/08/2017 03:35 P.M.,08/08/2017 03:35 P.M.,MMC,,Open,Yes
"",,,,,Center 3,,
Fire Alarm,2017-0809-0002,08/09/2017 06:28 A.M.,08/09/2017 06:28 A.M.,MMC,University Towers,Closed,No
Narcotics Investigation,2017-0809-0006,08/09/2017 03:07 P.M.,08/09/2017 03:07 P.M.,BBC,Bayview Housing,Open,Yes
"",,,,,FIU Community,,
