"",,,,,Sanford L. Ziff,,
Theft/Vending Machine Items,2018-0101-0002,01/01/2018 04:19 P.M.,01/01/2018 04:19 P.M.,MMC,,Open,Unknown
"",,,,,Education Bldg,,
Criminal Mischief/Graffiti On Wall.,2018-0102-0002,01/02/2018 12:38 P.M.,01/02/2018 12:38 P.M.,MMC,Engineering Center,Open,Unknown
Trespass TPW,2018-0102-0004,01/02/2018 06:20 P.M.,01/02/2018 06:20 P.M.,MMC,Deuxieme Maison,Closed,No
"",,,,,University Apartments,,
Civil Citiation,2018-0102-0006,01/02/2017 07:40 P.M.,01/02/2017 07:40 P.M.,MMC,,Closed,No
"",,,,,Bldg D,,
Information Report/MDPD Case,,,,,,,
"",2018-0103-0002,01/03/2018 10:22 A.M.,01/03/2018 10:22 A.M.,MMC,11200 SW 8TH ST,Closed,Unknown
Reference Harassment outside FIU,,,,,,,
Conduct Investigation/Police Officer,,,,OFF,1200 BLK SW 107TH,,
"",2018-0103-0004,01/03/2018 09:28 P.M.,01/03/2018 09:28 P.M.,,,Closed,Unknown
Request Tow,,,,CAMPUS,AVE,,
Theft/Two Laptops,2018-0104-0002,01/04/2018 10:16 A.M.,01/04/2018 10:16 A.M.,BBC,Academic One,Open,No
Stolen Vehicle,2018-0104-0004,01/04/2018 05:28 P.M.,01/04/2018 05:28 P.M.,MMC,FIU Arena,Open,Unknown
"",,,,,Marine Sciences,,
Theft/Projector,2018-0105-0003,01/05/2018 03:10 P.M.,01/05/2018 03:10 P.M.,BBC,,Open,Unknown
"",,,,,Building,,
Information Report/Impounding,,,,,,,
"",2018-0106-0002,01/06/2018 09:16 P.M.,01/06/2018 09:16 P.M.,MMC,Lakeview North,Closed,Yes
Property,,,,,,,
Theft/Bicycle,2018-0107-0001,01/07/2018 02:50 P.M.,01/07/2018 02:50 P.M.,BBC,Public Safety,Open,Yes
Theft/Mac Pro Laptop,2018-0108-0002,01/08/2018 10:10 A.M.,01/08/2018 10:10 A.M.,BBC,Aquatic Center,Open,No
"",,,,,Student Academic,,
Theft/Wallet,2018-0108-0003,01/08/2018 04:07 P.M.,01/08/2018 04:07 P.M.,MMC,,Open,Yes
"",,,,,Success Center,,
Fraud,2018-0108-0005,01/08/2018 04:46 P.M.,01/08/2018 04:46 P.M.,MMC,11200 SW 8TH ST,Open,Yes
"",,,,,Wellness and Fitness,,
Theft/Cardholder,2018-0108-0006,01/08/2018 04:42 P.M.,01/08/2018 04:42 P.M.,MMC,,Open,Yes
"",,,,,Center,,
Burglary/Dorm,2018-0108-0009,01/08/2018 06:04 P.M.,01/08/2018 06:04 P.M.,BBC,Bayview Housing,Open,Yes
Criminal Mischief/Fire Alarm Pull,,,,,,,
"",2018-0109-0001,01/09/2018 12:49 A.M.,01/09/2018 12:49 A.M.,MMC,Parkview East,Open,Unknown
Station Pulled,,,,,,,
Theft/Bicycle,2018-0109-0002,01/09/2018 10:46 A.M.,01/09/2018 10:46 A.M.,MMC,University Towers,Open,Yes
Information Report/No Contact Order,,,,,Ernest R. Graham,,
"",2018-0109-0003,01/09/2018 12:10 P.M.,01/09/2018 12:10 P.M.,MMC,,Closed,Yes
Violation,,,,,Center,,
Hit and Run,2018-0109-0004,01/09/2018 01:38 P.M.,01/09/2018 01:38 P.M.,MMC,Lot 9,Open,Unknown
Theft/Beanie,2018-0109-0006,01/09/2018 04:01 P.M.,01/09/2018 04:01 P.M.,BBC,Academic Two,Open,Yes
Traffic Stop,2018-0109-0007,01/09/2018 08:02 P.M.,01/09/2018 08:02 P.M.,MMC,Duplicating Center,Closed,Yes
Hit and Run,2018-0109-0008,01/09/2018 09:24 P.M.,01/09/2018 09:24 P.M.,MMC,Red Garage,Open,Yes
Conduct Investigation/Unknown,,,,,,,
"",2018-0111-0005,01/11/2018 03:01 P.M.,01/11/2018 03:01 P.M.,MMC,Lakeview South,Closed,Yes
Reference.,,,,,,,
"",,,,,Univeristy Apartments,,
Fire Alarm,2018-0111-0008,01/11/2018 04:35 P.M.,01/11/2018 04:35 P.M.,MMC,,Closed,Unknown
"",,,,,Bldg L,,
"",,,,,SW 108th Ave/SW 16th,,
Civil Citation,2018-0112-0001,01/12/2018 12:29 A.M.,01/12/2018 12:29 A.M.,MMC,,Closed,Unknown
"",,,,,St,,
"",,,,,Ernest R. Graham,,
Fraud,2018-0112-0004,01/12/2018 10:13 A.M.,01/12/2018 10:13 A.M.,MMC,,Open,Unknown
"",,,,,Center,,
"",,,,,Academic Health,,
Suspicious Person,2018-0112-0005,01/12/2018 03:36 P.M.,01/12/2018 03:36 P.M.,MMC,,Closed,Yes
"",,,,,Center 5,,
"",,,,,Parking Garage 6-,,
Information Report/Vehicle Scratches,2018-0112-0006,01/12/2018 06:16 P.M.,01/12/2018 06:16 P.M.,MMC,,Closed,Yes
"",,,,,Tech Station,,
Information Report/Impounding,,,,,,,
"",2018-0112-0007,01/12/2018 11:08 P.M.,01/12/2018 11:08 P.M.,MMC,Lakeview North,Closed,Yes
Property,,,,,,,
Criminal Mischief,2018-0113-0002,01/13/2018 10:50 A.M.,01/13/2018 10:50 A.M.,MMC,Parkview East,Open,Yes
"",,,,OFF,SW 107TH ST/SW,,
Assist Other Agency,2018-0115-0001,01/15/2018 10:46 A.M.,01/15/2018 10:46 A.M.,,,Closed,Unknown
"",,,,CAMPUS,20TH AVE,,
Trespass,2018-0116-0001,01/16/2018 03:40 A.M.,01/16/2018 03:40 A.M.,BBC,Glenn Hubert Library,Closed,Unknown
Stolen Vehicle,2018-0116-0004,01/16/2018 02:17 P.M.,01/16/2018 02:17 P.M.,MMC,Gold Garage,Open,No
Theft/Laundry,2018-0116-0010,01/16/2018 10:35 P.M.,01/16/2018 10:35 P.M.,BBC,Bayview Housing,Open,Yes
Theft/Google Pixel,2018-0117-0007,01/17/2018 08:33 P.M.,01/17/2018 08:33 P.M.,BBC,3000 NE 151ST ST,Open,Yes
"",,,,,Wellness and Fitness,,
Theft/Purse,2018-0118-0002,01/18/2018 06:59 A.M.,01/18/2018 06:59 A.M.,MMC,,Open,Yes
"",,,,,Center,,
Hit and Run,2018-0118-0005,01/18/2018 05:03 P.M.,01/18/2018 05:03 P.M.,MMC,PG5 Market Station,Open,Yes
Burglary/Items Out of Place in Room,2018-0118-0006,01/18/2018 04:57 P.M.,01/18/2018 04:57 P.M.,MMC,Lakeview South,Open,Yes
Theft/Textbook,2018-0118-0007,01/18/2018 06:09 P.M.,01/18/2018 06:09 P.M.,MMC,Green Library,Open,Unknown
"",,,,,Wellness and Fitness,,
Theft/Earbuds,2018-0118-0008,01/18/2018 07:43 P.M.,01/18/2018 07:43 P.M.,MMC,,Open,Yes
"",,,,,Center,,
"",,,,,University Apartments,,
Civil Citation,2018-0119-0005,01/19/2018 11:42 P.M.,01/19/2018 11:42 P.M.,MMC,,Closed,Yes
"",,,,,Bldg F,,
Assault/Arrest,2018-0121-0001,01/20/2018 22:29 P.M.,01/20/2018 22:29  P.M.,MMC,University Towers,Closed,Yes
