Arrest/DWLS 2015-00511,,04/01/2015 01:22 A.M.,04/01/2015 01:22 A.M.,MMC,SW 117TH AVE/ SW 8TH ST,Closed
Found Property/Credit Card 2015-00512,,04/01/2015 03:32 A.M.,04/01/2015 03:32 A.M.,MMC,11212 SW 11TH ST,Closed
Sick/Injured Person 2015-00513,,04/01/2015 10:39 A.M.,04/01/2015 10:39 A.M.,MMC,Graham Center,Closed
Found/Lost Property/4,,,,,Wolfe University,
2015-00514,,04/01/2015 11:28 A.M.,04/01/2015 11:28 A.M.,BBC,,Closed
Wallets,,,,,Center,
Traffic Accident 2015-00515,,04/01/2015 04:30 P.M.,04/01/2015 04:30 P.M.,MMC,Parkview Housing,Closed
Theft/Wallet 2015-00516,,04/01/2015 04:58 P.M.,04/01/2015 04:58 P.M.,MMC,Green Library,Open
Traffic Accident 2015-00517,,04/01/2015 06:11 P.M.,04/01/2015 06:11 P.M.,MMC,Marketplace Garage,Closed
Conduct Investigation 2015-00518,,04/01/2015 05:57 P.M.,04/01/2015 05:57 P.M.,MMC,Lot 13,Closed
Arrest/Burglary To A,,,,,,
2015-00519,,04/01/2015 06:06 P.M.,04/01/2015 06:06 P.M.,BBC,Lot 4,Closed
Vehicle,,,,,,
"",,,,,SW 107TH AVE/SW,
Traffic Stop/Tow Vehicle 2015-00520,,04/02/2015 02:12 A.M.,04/02/2015 02:12 A.M.,MMC,,Closed
"",,,,,11TH ST,
Conduct Investigation,,,,,,
2015-00521,,04/02/2015 09:16 A.M.,04/02/2015 09:16 A.M.,MMC,11200 SW 8TH ST,Closed
"/Student Conduct",,,,,,
Lost/Found Property/Blk,,,,,,
2015-00522,,04/02/2015 09:41 A.M.,04/02/2015 09:41 A.M.,BBC,3000 NE 145TH ST,Closed
Male Wallet,,,,,,
Theft/FIU Decal 2015-00523,,04/02/2015 11:53 A.M.,04/02/2015 11:53 A.M.,MMC,Apartments Bldg E,Open
Traffic Accident 2015-00524,,04/02/2015 11:08 A.M.,04/02/2015 11:08 A.M.,BBC,Lot 3,Closed
Sick/Injured Person 2015-00525,,04/02/2015 12:37 P.M.,04/02/2015 12:37 P.M.,MMC,Marketplace Garage,Closed
Burglary 2015-00526,,04/02/2015 12:43 P.M.,04/02/2015 12:43 P.M.,MMC,Apartments Bldg D,Open
Traffic Accident 2015-00527,,04/02/2015 01:38 P.M.,04/02/2015 01:38 P.M.,BBC,Lot 2,Closed
Traffic Accident 2015-00528,,04/02/2015 02:00 P.M.,04/02/2015 02:00 P.M.,MMC,Parking Garage 6,Closed
Conduct Investigation 2015-00529,,04/02/2015 03:28 P.M.,04/02/2015 03:28 P.M.,BBC,Public Safety,Closed
Theft/Keys/Wells Fargo,,,,,,
2015-00530,,04/02/2015 06:23 P.M.,04/02/2015 06:23 P.M.,MMC,Graham Center,Open
Debit Card,,,,,,
"",,,,,SW 108TH AVE/SW,
Baker Act 2015-00531,,04/02/2015 07:39 P.M.,04/02/2015 07:39 P.M.,MMC,,Closed
"",,,,,16TH ST,
st/Battery To A Disabled Person2015-00532,,04/03/2015 03:23 A.M.,04/03/2015 03:23 A.M.,MMC,lakeview South,Closed
Theft/Panther ID Card 2015-00533,,04/03/2015 11:36 A.M.,04/03/2015 11:36 A.M.,MMC,Parkview Housing,Closed
Theft/Wrist Wallet 2015-00534,,04/03/2015 02:01 P.M.,04/03/2015 02:01 P.M.,MMC,Recreation Center,Open
"",,,,,SW 108TH CT/ SW,
Traffic Accident 2015-00535,,04/03/2015 04:57 P.M.,04/03/2015 04:57 P.M.,MMC,,Open
"",,,,,109TH AVE,
"",,,,OFF,SW 112TH AVE/W,
Arrest/PTA 2015-00536,,04/03/2015 09:57 P.M.,04/03/2015 09:57 P.M.,,,Closed
"",,,,CAMPUS,FLAGLER ST,
Arrest/Back Up Other,,,,OFF,SW 107TH AVE/SW,
2015-00537,,04/03/2015 11:11 P.M.,04/03/2015 11:11 P.M.,,,Closed
Agency,,,,CAMPUS,7TH ST,
Traffic Citation A1P8WLP,,03/18/2015 06:38 P.M.,03/18/2015 06:38 P.M.,BBC,3000 NE 145TH ST,Closed
"",,,,,SW 112TH AVE/SW,
Traffic Citation A1P8WKP,,03/14/2015 10:45 P.M.,03/14/2015 10:45 P.M.,MMC,,Closed
"",,,,,17TH ST,
"",,,,,SW 8TH ST/SW 107TH,
Traffic Citation AOIJ1PP,,03/16/2015 03:20 A.M.,03/16/2015 03:20 A.M.,MMC,,Closed
"",,,,,AVE,
Arrest/Hit & Run With,,,,,,
2015-00538,,04/04/2015 03:34 A.M.,04/04/2015 03:34 A.M.,NOAA,Hurricane Center,Closed
Property Damage,,,,,,
Arrest/Possession Of A,,,,,,
2015-00539,,04/04/2015 04:55 A.M.,04/04/2015 04:55 A.M.,NOAA,Hurricane Center,Closed
Suspended Driver License,,,,,,
Sex Offense 2015-00540,,04/04/2015 10:22 A.M.,04/04/2015 10:22 A.M.,MMC,Lakeview South,Open
"",,,,,Manage And Adv,
Criminal Mischief 2015-00541,,04/04/2015 12:30 P.M.,04/04/2015 12:30 P.M.,MMC,,Closed
"",,,,,Research,
Burglary 2015-00542,,04/04/2015 01:58 P.M.,04/04/2015 01:58 P.M.,MMC,Gold Garage,Open
