Arrest/Resisting With,,,,,,,
"",2016-0701-0001,07/01/2016 12:10 A.M.,07/01/2016 12:10 A.M.,MMC,Primera Casa,Closed,Unknown
Violence,,,,,,,
Sex Offense,2016-0701-0002,07/01/2016 08:45 A.M.,07/01/2016 08:45 A.M.,MMC,Green Library,Closed,No
"",,,,,Campus Support,,
Theft/Equipment,2016-0701-0004,07/01/2016 12:07 A.M.,07/01/2016 12:07 A.M.,MMC,,Open,No
"",,,,,Complex,,
Criminal Mischief,2016-0701-0005,07/01/2016 03:18 P.M.,07/01/2016 03:18 P.M.,MMC,Blue Garage,Open,No
"",,,,,Campus Support,,
Fraud,2016-0701-0006,07/01/2016 04:02 P.M.,07/01/2016 04:02 P.M.,MMC,,Open,Unknown
"",,,,,Complex,,
Information Report,2016-0702-0001,07/01/2016 11:59 P.M.,07/01/2016 11:59 P.M.,MMC,Parkview East,Closed,Unknown
Arrest/DUI,2016-0704-0002,07/04/2016 03:32 P.M.,07/04/2016 03:32 P.M.,MMC,Lot 9,Closed,No
"",,,,OFF,,,
Back Up Other Agency,2016-0705-0002,07/05/2016 00:39 A.M.,07/05/2016 00:39 A.M.,,97 AVE/W FLAGLER ST,Closed,Yes
"",,,,CAMPUS,,,
Theft/Nikon Digital Camera,2016-0705-0004,07/05/2016 03:06 P.M.,07/05/2016 03:06 P.M.,BBC,Academic One,Open,Yes
Traffic Stop/Unlawful Use,,,,,,,
"",2016-0705-0006,07/05/2016 05:39 P.M.,07/05/2016 05:39 P.M.,MMC,Gold Garage,Closed,No
Of Handicap,,,,,,,
"",,,,,Paul Cejas,,
Theft/Driver License,2016-0705-0007,07/05/2016 08:10 P.M.,07/05/2016 08:10 P.M.,MMC,,Open,Yes
"",,,,,Architecture,,
Theft/Boot,2016-0705-0008,07/05/2016 09:13 P.M.,07/05/2016 09:13 P.M.,MMC,11200 SW 8TH ST,Open,Yes
Conduct Investigation,2016-0706-0001,07/06/2016 09:45 A.M.,07/06/2016 09:45 A.M.,MMC,Primera Casa,Closed,Unknown
Arrest/Fleeing Officer,2016-0706-0006,07/06/2016 06:15 P.M.,07/06/2016 06:15 P.M.,MMC,GC Meters,Closed,No
Arrest/Narcotics,2016-0706-0008,07/06/2016 10:56 P.M.,07/06/2016 10:56 P.M.,MMC,Lot 6,Closed,No
"",,,,,University Apartments,,
Arrest,2016-0707-0001,07/07/2016 08:07 A.M.,07/07/2016 08:07 A.M.,MMC,,Closed,Unknown
"",,,,,Bldg D,,
"",,,,,Wertheim Performing,,
Assault/Battery,2016-0708-0002,07/08/2016 03:02 P.M.,07/08/2016 03:02 P.M.,MMC,,Open,Unknown
"",,,,,Arts Center,,
Conduct Investigation,2016-0710-0002,07/10/2016 04:39 P.M.,07/10/2016 04:39 P.M.,MMC,Lot 9,Closed,Unknown
Sick/Injured Person,2016-0711-0001,07/11/2016 00:53 A.M.,07/11/2016 00:53 A.M.,MMC,Lakeview North,Closed,No
Theft/Panther ID,2016-0711-0002,07/11/2016 08:52 A.M.,07/11/2016 08:52 A.M.,MMC,Gold Garage,Open,Yes
Criminal Mischief,2016-0711-0003,07/11/2016 11:13 A.M.,07/11/2016 11:13 A.M.,MMC,Marketplace Garage,Closed,Staff
Arrest/TPW,2016-0711-0006,07/11/2016 03:20 P.M.,07/11/2016 03:20 P.M.,MMC,Owa Ehan,Closed,No
Theft/Bicycle,2016-0712-0002,07/12/2016 09:14 A.M.,07/12/2016 09:14 A.M.,CEAS,Engineering Center,Closed,Yes
Conduct Investigation,2016-0712-0003,07/12/2016 03:13 P.M.,07/12/2016 03:13 P.M.,MMC,Marketplace Garage,Closed,Unknown
Conduct Investigation,2016-0712-0004,07/12/2016 03:19 P.M.,07/12/2016 03:19 P.M.,MMC,Marketplace Garage,Closed,Yes
Conduct Investigation,2016-0713-0002,07/13/2016 10:13 P.M.,07/13/2016 10:13 P.M.,MMC,Deuxieme Maison,Closed,Yes
Arrest/TPW/Resisting,2016-0713-0004,07/13/2016 11:09 P.M.,07/13/2016 11:09 P.M.,MMC,Owa Ehan,Closed,No
Narcotics Investigation,2016-0714-0001,07/13/2016 11:40 P.M.,07/13/2016 11:40 P.M.,MMC,Lakeview South,Closed,Unknown
Theft/Cash,2016-0714-0002,07/14/2016 09:35 A.M.,07/14/2016 09:35 A.M.,MMC,Lot 6,Open,Yes
Information Report,2016-0714-0004,07/14/2016 01:55 P.M.,07/14/2016 01:55 P.M.,MMC,Lot 9,Closed,Unknown
Suspicious Person,2016-0715-0002,07/15/2016 08:33 A.M.,07/15/2016 08:33 A.M.,MMC,Graham Center,Closed,Unknown
Arrest/TPW,2016-0715-0003,07/15/2016 11:52 A.M.,07/15/2016 11:52 A.M.,MMC,Graham Center,Closed,No
"",,,,,Wolfe University,,
Conduct Investigation,2016-0715-0005,07/15/2016 02:15 P.M.,07/15/2016 02:15 P.M.,BBC,,Closed,No
"",,,,,Center,,
"",,,,,Modesto A. Maidique,,
Conduct Investigation,2016-0715-0006,07/15/2016 04:33 P.M.,07/15/2016 04:33 P.M.,MMC,,Closed,Unknown
"",,,,,Campus,,
"",,,,,SW 107th Ave/SW 11th,,
Arrest/Warrant,2016-0715-0007,07/15/2016 09:39 P.M.,07/15/2016 09:39 P.M.,MMC,,Closed,No
"",,,,,St,,
Theft/Iphone 6,2016-0717-0001,07/17/2016 11:28 A.M.,07/17/2016 11:28 A.M.,MMC,Gold Garage,Open,Yes
Missing Person Recovery,2016-0717-0003,07/17/2016 09:43 P.M.,07/17/2016 09:43 P.M.,MMC,Parkview West,Closed,Unknown
Vehicle Burglary,2016-0718-0004,07/18/2016 05:16 P.M.,07/18/2016 05:16 P.M.,MMC,Gold Garage,Open,Yes
"",,,,,Modesto A. Maidique,,
Conduct Investigation,2016-0718-0006,07/18/2016 10:22 P.M.,07/18/2016 10:22 P.M.,MMC,,Open,Yes
"",,,,,Campus,,
