Information Report,2016-1101-0001,11/01/2016 00:07 A.M.,11/01/2016 00:07 A.M.,MMC,Greek Housing 2,Closed,Yes
Information Report,2016-1101-0002,11/01/2016 11:28 A.M.,11/01/2016 11:28 A.M.,BBC,Academic One,Closed,Staff
Disturbance,2016-1101-0003,11/01/2016 01:10 P.M.,11/01/2016 01:10 P.M.,MMC,University Towers,Closed,Unknown
"",,,,OFF,SW 137TH AVE/SW,,
Assist Other Agency,2016-1101-0005,11/01/2016 01:47 P.M.,11/01/2016 01:47 P.M.,,,Closed,No
"",,,,CAMPUS,8TH ST,,
"",,,,,Marine Science,,
Conduct Investigation,2016-1102-0001,11/02/2016 09:55 A.M.,11/02/2016 09:55 A.M.,BBC,,Closed,Unknown
"",,,,,Building,,
Information Report,2016-1102-0006,11/02/2016 11:49 A.M.,11/02/2016 11:49 A.M.,MMC,Panther Arena,Closed,Yes
Theft/Tablet,2016-1102-0007,11/02/2016 11:24 A.M.,11/02/2016 11:24 A.M.,MMC,Graham Center,Open,Unknown
Burglary,2016-1102-0008,11/02/2016 12:31 P.M.,11/02/2016 12:31 P.M.,MMC,Market Place Garage,Open,Unknown
Hit & Run,2016-1102-0009,11/02/2016 02:09 P.M.,11/02/2016 02:09 P.M.,MMC/BBC,Lot 1,Open,Yes
"",,,,,Lakeview Housing,,
Theft/Bicycle,2016-1102-0011,11/02/2016 02:50 P.M.,11/02/2016 02:50 P.M.,MMC,,Open,Yes
"",,,,,South,,
"",,,,,Panther Residence,,
Person Stuck in Elevator,2016-1102-0013,11/02/2016 05:19 P.M.,11/02/2016 05:19 P.M.,MMC,,Closed,Yes
"",,,,,Hall,,
Disturbance With Possible Injuries,2016-1102-0014,11/02/2016 08:47 P.M.,11/02/2016 08:47 P.M.,BBC,Bayview Housing,Closed,Unknown
Baker Act,2016-1103-0002,11/03/2016 01:06 P.M.,11/03/2016 01:06 P.M.,MMC,Student Health Center,Closed,Yes
"",,,,,W07 Property,,
Hit and Run,2016-1103-0003,11/03/2016 01:02 P.M.,11/03/2016 01:02 P.M.,MMC,,Open,No
"",,,,,Warehouse,,
"",,,,,Management and,,
Arrest,2016-1103-0005,11/03/2016 02:32 P.M.,11/03/2016 02:32 P.M.,MMC,,Closed,Yes
"",,,,,Advanced Research,,
"",,,,,Management and,,
Information Report,2016-1103-0006,11/03/2016 03:18 P.M.,11/03/2016 03:18 P.M.,MMC,,Closed,Yes
"",,,,,Advanced Research,,
"",,,,,Ernest R. Graham,,
Sick/Injured Person,2016-1103-0007,11/03/2016 03:54 P.M.,11/03/2016 03:54 P.M.,MMC,,Closed,Yes
"",,,,,Center,,
"",,,,,Academic Health,,
Information Report,2016-1103-0008,11/03/2016 03:36 P.M.,11/03/2016 03:36 P.M.,MMC,,Closed,Yes
"",,,,,Center 5,,
Burglary/Room,2016-1103-0009,11/03/2016 11:35 P.M.,11/03/2016 11:35 P.M.,MMC,Everglades Hall,Open,Yes
"",,,,,Ernest R. Graham,,
