Suspicious Person,2015-00948,07/01/2015 11:41 A.M.,07/01/2015 11:41 A.M.,MMC,Primera Casa,Closed
Information Report,2015-00949,07/01/2015 03:23 P.M.,07/01/2015 03:23 P.M.,MMC,Marc Bldg,Closed
Theft/Purse,2015-00950,07/01/2015 05:59 P.M.,07/01/2015 05:59 P.M.,MMC,AHC 2,Open
Information Report,2015-00952,07/02/2015 08:50 A.M.,07/02/2015 08:50 A.M.,BBC,Academic One,Closed
"",,,,,Lakeview Housing,
Theft/ Glasses,2015-00953,07/02/2015 02:10 P.M.,07/02/2015 02:10 P.M.,MMC,,Open
"",,,,,North,
Theft/ Cellphone,2015-00954,07/02/2015 03:04 A.M.,07/02/2015 03:04 A.M.,MMC,Market Place,Open
Burglary,2015-00955,07/02/2015 03:42 P.M.,07/02/2015 03:42 P.M.,MMC,Green Library,Open
Information Report,2015-00956,07/02/2015 09:25 P.M.,07/02/2015 09:25 P.M.,MMC,Panther Garage,Closed
Conduct Investigation,2015-00958,07/02/2015  11:47 P.M.,07/02/2015  11:47 P.M.,MMC,Parkview Housing,Closed
Theft/ Bicycle,2015-00960,07/03/2015 01:16 P.M.,07/03/2015 01:16 P.M.,MMC,Graham Center,Open
Theft/ Iphone,2015-00961,07/03/2015 01:33 P.M.,07/03/2015 01:33 P.M.,MMC,Graham Center,Open
Theft/ Florida ID,2015-00962,07/03/2015 01:34 P.M.,07/03/2015 01:34 P.M.,BBC,3000 NE 145TH ST,Open
Sex Offense,2015-00963,07/03/2015 01:49 P.M.,07/03/2015 01:49 P.M.,MMC,Market Station Garage,Open
Information Report,2015-00965,07/05/2015 02:52 A.M.,07/05/2015 02:52 A.M.,MMC,Market Station Garage,Open
Theft/Bicycle,2015-00967,07/05/2015 11:09 A.M.,07/05/2015 11:09 A.M.,MMC,ECS,Open
Information Report,2015-00968,07/05/2015 11:24 A.M.,07/05/2015 11:24 A.M.,MMC,University Towers,Closed
"",,,,,University Apartment,
Burglary,2015-00978,07/07/2015 09:41 A.M.,07/07/2015 09:41 A.M.,MMC,,Open
"",,,,,E,
Theft/Keys,2015-00979,07/07/2015 12:26 P.M.,07/07/2015 12:26 P.M.,MMC,University Towers,Open
Theft/Panther ID,2015-00980,07/07/2015 02:09 P.M.,07/07/2015 02:09 P.M.,MMC,Market Place,Open
Conduct Investigation,2015-00981,07/07/2015 02:49 P.M.,07/07/2015 02:49 P.M.,MMC,Ziff Education Building,Closed
"",,,,,Engineering &,
Information Report,2015-00983,07/07/2015 07:25 P.M.,07/07/2015 07:25 P.M.,MMC,,Closed
"",,,,,Computer Science,
Conduct Investigation,2015-00988,07/09/2015 04:10 P.M.,07/09/2015 04:10 P.M.,MMC,Graham Center,Closed
"",,,,,SW 109TH AVE/SW,
Disturbance,2015-00990,07/09/2015 06:34 P.M.,07/09/2015 06:34 P.M.,MMC,,Closed
"",,,,,10TH ST,
Conduct Investigation,2015-00991,07/09/2015 10:01 P.M.,07/09/2015 10:01 P.M.,BBC,Public Safety,Closed
Arrest,2015-00994,07/10/2015 03:23 P.M.,07/10/2015 03:23 P.M.,MMC,Green Library,Closed
Conduct Investigation,2015-00998,07/10/2015 11:33 P.M.,07/10/2015 11:33 P.M.,MMC,Primera Casa,Closed
Information Report,2015-00999,07/11/2015 04:41 P.M.,07/11/2015 04:41 P.M.,MMC,SW 112 Ave/10 ST,Closed
Intoxicated Person,2015-01003,07/11/2015 11:22 P.M.,07/11/2015 11:22 P.M.,MMC,Fiji/Greek House,Closed
Arrest,2015-01004,07/12/2015 06:40 P.M.,07/12/2015 06:40 P.M.,MMC,University Tower,Closed
Information Report,2015-01006,07/13/2015 08:16 A.M.,07/13/2015 08:16 A.M.,MMC,Ryder Bldg,Closed
Information Report,2015-01008,07/13/2015 01:46 P.M.,07/13/2015 01:46 P.M.,MMC,PG 6,Closed
Suspicious Person,2015-01011,07/13/2015 08:38 P.M.,07/13/2015 08:38 P.M.,MMC,Nature Preserve,Closed
Theft/I Phone,2015-01013,07/14/2015 03:02 P.M,07/14/2015 03:02 P.M,MMC,Gold Garage,Open
Information Report,2015-01014,07/14/2015 03:24 P.M.,07/14/2015 03:24 P.M.,MMC,Market Station Garage,Closed
Arrest,2015-01015,07/14/2015 07:33 P.M,07/14/2015 07:33 P.M,MMC,SW 109 Ave/8th ST,Closed
