"",,,,,ACADEMIC HEALTH,,
STALKING 2018-1001-0002,,10/1/18 3:29PM,10/1/18 3:29PM,MMC,CENTER 5 - 3RD,OPEN,NO
"",,,,,FLOOR,,
"",,,,,EVERGLADES HALL -,,
THEFT 2018-1001-0003,,10/1/18 3:46PM,10/1/18 3:46PM,MMC,,OPEN,YES
"",,,,,RM 205A,,
"",,,,,VIERTES HAUS - RM,,
THEFT 2018-1002-0002,,10/2/18 1:40PM,10/2/18 1:40PM,MMC,,OPEN,YES
"",,,,,117,,
"",,,,,GRAHAM CENTER -,,
TRESPASS WARNING 2018-1002-0003,,10/2/18 1:45PM,10/2/18 1:45PM,MMC,,CLOSED,YES
"",,,,,RM 219,,
BICYCLE THEFT 2018-1002-0004,,10/2/18 4:42PM,10/2/18 4:42PM,MMC,PARKVIEW GARAGE,OPEN,YES
"",,,,,ACADEMIC TWO - 2ND,,
THEFT 2018-1002-0005,,10/2/18 4:02PM,10/2/18 4:02PM,BBC,,OPEN,UNKNOWN
"",,,,,FLR,,
WARRANTS ARREST 2018-1003-0001,,10/3/18 4:01AM,10/3/18 4:01AM,MMC,LOT 9 - WEST SIDE,CLOSED,NO
THEFT 2018-1003-0003,,10/3/18 5:05PM,10/3/18 5:05PM,MMC,GREEN LIBRARY,OPEN,YES
THEFT 2018-1003-0004,,10/3/18 6:04PM,10/3/18 6:04PM,MMC,LAKEVIEW SOUTH,OPEN,YES
"",,,,,SW 117TH AVE/SW,,
CIVIL CITATION 2018-1003-0005,,10/3/18 8:10PM,10/3/18 8:10PM,MMC,,CLOSED,NO
"",,,,,8TH ST,,
ASSAULT/BATTERY 2018-1004-0001,,10/4/18 7:59AM,10/4/18 7:59AM,BBC,PUBLIC SAFETY (BBC),OPEN,UNKNOWN
"",,,,,SW 108TH AVE/SW,,
HIT & RUN 2018-1004-0002,,10/4/18 9:01AM,10/4/18 9:01AM,MMC,,OPEN,NO
"",,,,,9TH ST,,
FRAUD 2018-1004-0003,,10/4/18 11:38AM,10/4/18 11:38AM,MMC,GRAHAM CENTER,OPEN,YES
THEFT 2018-1004-0004,,10/4/18 12:54PM,10/4/18 12:54PM,MMC,UNIVERSITY TOWERS,OPEN,YES
"",,,,,SW 107TH AVE/SW,,
SEX OFFENSE 2018-1004-0005,,10/4/18 2:26PM,10/4/18 2:26PM,MMC,,OPEN,YES
"",,,,,16TH ST,,
"",,,,,BISCAYNE BAY,,
THEFT 2018-1005-0001,,10/5/18 8:44AM,10/5/18 8:44AM,BBC,,OPEN,NO
"",,,,,CAMPUS,,
"",,,,,FIU ARENA (OCEAN,,
HARRASSING OR,,,,,,,
2018-1005-0002,,10/5/18 12:15PM,10/5/18 12:15PM,MMC,BANK CONVOCATION,OPEN,YES
OBSCENE PHONECALLS,,,,,,,
"",,,,,CENTER),,
CRIMINAL MISCHIEF 2018-1005-0003,,10/5/18 2:49PM,10/5/18 2:49PM,BBC,CRIMINAL MISCHIEF,OPEN,UKNOWN
"",,,,,EVERGLADES HALL -,,
THEFT 2018-1005-0005,,10/5/18 4:10PM,10/5/18 4:10PM,MMC,,CLOSED,YES
"",,,,,RM 231,,
ASSIST OTHER AGENCY 2018-1008-0003,,10/8/18 1:04PM,10/8/18 1:04PM,BBC,BBC LOT 2,CLOSED,YES
"",,,,,ENGINEERING,,
THEFT 2018-1008-0010,,10/8/18 9:15PM,10/8/18 9:15PM,EC,,OPEN,YES
"",,,,,CENTER - RM 3863A,,
BICYCLE THEFT 2018-1008-0012,,10/8/18 10:43PM,10/8/18 10:43PM,MMC,GREEN LIBRARY,OPEN,NO
"",,,,,GREEN LIBRARY - 6TH,,
THEFT 2018-1009-0004,,10/9/18 12:55PM,10/9/18 12:55PM,MMC,,OPEN,UNKNOWN
"",,,,,FLR,,
"",,,,,SCHOOL OF,,
THEFT 2018-1009-0005,,10/9/18 1:21PM,10/9/18 1:21PM,MMC,INTERNATIONAL &,OPEN,UNKNOWN
"",,,,,PUSBCLHICO AOFLF OAFIR S,,
THEFT 2018-1009-0006,,10/9/18 1:28PM,10/9/18 1:28PM,MMC,INTERNATIONAL &,OPEN,YES
"",,,,,PUBLIC AFFAIRS,,
"",,,,,BLUE GARAGE (PG2) -,,
HIT & RUN 2018-1009-0009,,10/9/18 2:59PM,10/9/18 2:59PM,MMC,,OPEN,NO
"",,,,,4TH FLR,,
"",,,,,EVERGLADES HALL -,,
NARCOTICS INVESTIGATION 2018-1009-0011,,10/9/18 4:11PM,10/9/18 4:11PM,MMC,,CLOSED,YES
"",,,,,RM 307,,
