Criminal Mischief,2019-0808-0002,08/08/2019 10:40 A.M.,08/08/2019 10:40 A.M.,MMC,Ziff Educaiton Building,Open,No
Arrest-Disorderly,,,,,,,
"",2019-0808-0004,08/08/2019 04:40 P.M.,08/08/2019 04:40 P.M.,BBC,Glenn Hubert Library,Closed,No
Intoxication,,,,,,,
Theft - Tables & Chairs,2019-0812-0001,08/12/2019 10:13 A.M.,08/12/2019 10:13 A.M.,MMC,PG1 - Gold Garage,Open,No
Narcotics Investigation,2019-0814-0005,08/14/2019 4:24 P.M.,08/14/2019 4:24 P.M.,MMC,Lakeview South,Closed,Yes
Conduct Investigation,2019-0814-0006,08/14/2019 5:06 P.M.,08/14/2019 5:06 P.M.,BBC,Parking Lot 4,Closed,Yes
Trespass (Arrest),2019-0815-0001,08/15/2019 4:58 A.M.,08/15/2019 4:58 A.M.,MMC,Deuxieme Maison,Closed,No
Sex Offense,2019-0819-0002,08/19/2019 12:11 A.M.,08/19/2019 12:11 A.M.,MMC,University Towers,Open,Yes
"",,,,,Campus Support,,
Burglary,2019-0819-0003,08/19/2019 8:21 A.M.,08/19/2019 8:21 A.M.,MMC,,Open,Unknown
"",,,,,Complex,,
Arrest/Trespassing,2019-0819-0006,08/19/2019 5:02 P.M.,08/19/2019 5:02 P.M.,MMC,University Towers,Closed,No
Stolen Vehicle,2019-0819-0007,08/19/2019 4:29 P.M.,08/19/2019 4:29 P.M.,MMC,PG5 - Marketstation,Closed,Yes
"",,,,,Academic Health,,
Theft - Utility Carts,2019-0820-0002,08/20/2019 1:14 P.M.,08/20/2019 1:14 P.M.,MMC,,Open,Yes
"",,,,,Center 4,,
Trespass (Arrest),2019-0823-0002,08/23/2019 10:26 A.M.,08/23/2019 10:26 A.M.,MMC,Rafael Diaz Balart Hall,Closed,No
Harassment,2019-0823-0004,08/23/2019 11:48 A.M.,08/23/2019 11:48 A.M.,MMC,University Towers,Closed,Yes
Theft/Purse/Cash,2019-0824-0002,08/24/2019 10:12 A.M,08/24/2019 10:12 A.M,MMC,Lakeview South,Open,Yes
Hit & Run,2019-0826-0008,08/26/2019 6:40 P.M.,08/26/2019 6:40 P.M.,MMC,PG5 - Marketstation,Open,Yes
Theft - Truck Tailgate,2019-0826-0010,08/26/2019 7:39 P.M.,08/26/2019 7:39 P.M.,MMC,Parking Lot 7,Open,No
Arrest,2019-0827-0001,08/27/2019 7:53 A.M.,08/27/2019 7:53 A.M.,MMC,PG5 - Marketstation,Closed,No
Hit & Run,2019-0827-0003,08/27/2019 12:15 P.M.,08/27/2019 12:15 P.M.,MMC,PG5 - Marketstation,Open,Yes
Vehicle Burglary,2019-0828-0004,08/28/2019 7:01 A.M.,08/28/2019 7:01 A.M.,MMC,West 9,Closed,No
Hit & Run,2019-0828-0007,08/28/2019 11:41 A.M.,08/28/2019 11:41 A.M.,MMC,PG1 - Gold Garage,Open,Yes
Theft - Longboard,2019-0828-0010,08/28/2019 2:14 P.M.,08/28/2019 2:14 P.M.,MMC,University Towers,Open,Yes
Theft - Lab Book,2019-0828-0011,08/28/2019 2:53 P.M.,08/28/2019 2:53 P.M.,BBC,Ecology Lab,Open,Yes
Vandalism to a Vehicle,2019-0828-0015,08/28/2019 6:56 P.M.,08/28/2019 6:56 P.M.,MMC,PG5 - Marketstation,Closed,Yes
Theft - Bicycle,2019-0829-0002,08/29/2019 10:09 A.M.,08/29/2019 10:09 A.M.,MMC,Green Library,Open,Yes
"",,,,,Student Athletics,,
Hit & Run,2019-0830-0002,08/30/2019 10:33 A.M.,08/30/2019 10:33 A.M.,MMC,,Open,No
"",,,,,Academic Center,,
Information Report,2019-0831-0001,08/31/2019 6:58 A.M.,08/31/2019 6:58 A.M.,MMC,Lakeview South,Closed,Yes
Arrest,2019-0831-0002,08/31/2019 10:42 A.M.,08/31/2019 10:42 A.M.,CEAS,Engineering Center,Closed,No
