"",,,,,Kovens Conference,,
Information Report,2015-01482,10/01/2015 04:00 A.M.,10/01/2015 04:00 A.M.,BBC,,Closed,Yes
"",,,,,Center,,
Theft/Wallet,2015-01486,10/01/2015 12:53 P.M.,10/01/2015 12:53 P.M.,MMC,Green Library,Open,No
Theft/Longboard,2015-01487,10/01/2015 12:48 P.M.,10/01/2015 12:48 P.M.,MMC,Graham Center,Open,Yes
"",,,,,Kovens Conference,,
Criminal Mischief,2015-01488,10/01/2015 01:13 P.M.,10/01/2015 01:13 P.M.,BBC,,Open,Unknown
"",,,,,Center,,
"",,,,,College of Business,,
Theft/Ipad,2015-01490,10/01/2015 02:46 P.M.,10/01/2015 02:46 P.M.,MMC,,Open,Yes
"",,,,,Complex,,
Criminal Mischief,2015-01491,10/01/2015 03:13 P.M.,10/01/2015 03:13 P.M.,MMC,Market Place,Open,Yes
Criminal Mischief,2015-01492,10/01/2015 06:45 P.M.,10/01/2015 06:45 P.M.,MMC,Red Garage,Open,Yes
"",,,,,University Apartments,,
Disturbance,2015-01499,10/02/2015 01:56 P.M.,10/02/2015 01:56 P.M.,MMC,,Closed,Unknown
"",,,,,Building D,,
"",,,,,Panther Residence,,
Arrest/Battery,2015-01500,10/02/2015 03:29 P.M.,10/02/2015 03:29 P.M.,MMC,,Closed,Yes
"",,,,,Hall,,
Auto Theft,2015-01501,10/02/2015 04:04 P.M.,10/02/2015 04:04 P.M.,MMC,University Towers,Open,No
Conduct Investigation,2015-01506,10/04/2015 10:50 P.M.,10/04/2015 10:50 P.M.,MMC,Parkview Housing,Closed,Yes
Criminal Mischief,2015-01507,10/05/2015 11:03 A.M.,10/05/2015 11:03 A.M.,MMC,Deuxieme Maison,Open,No
"",,,,,Academic Health,,
Criminal Mischief,2015-01516,10/05/2015 05:45 P.M.,10/05/2015 05:45 P.M.,MMC,,Open,No
"",,,,,Center 3,,
Theft/Wallet,2015-01518,10/06/2015 12:15 A.M.,10/06/2015 12:15 A.M.,MMC,Gold Garage,Open,Yes
Suspicious Person,2015-01521,10/06/2015 10:06 A.M.,10/06/2015 10:06 A.M.,MMC,Rafael Diaz Balart Hall,Closed,Yes
"",,,,,Performing Arts,,
Conduct Investigation,2015-01523,10/06/2015 11:02 A.M.,10/06/2015 11:02 A.M.,MMC,,Closed,No
"",,,,,Center,,
"",,,,,Modesto A. Maidique,,
Theft/Wallet,2015-01528,10/06/2015 08:15 P.M.,10/06/2015 08:15 P.M.,MMC,,Open,Yes
"",,,,,Campus,,
"",,,,,Management And New,,
Theft/Samsung Galaxy,2015-01530,10/07/2015 03:53 A.M.,10/07/2015 03:53 P.M.,MMC,,Open,Yes
"",,,,,Growth Opportunities,,
Disturbance,2015-01531,10/07/2015  11:10 A.M.,10/07/2015  11:10 A.M.,CEAS,Engineering Center,Closed,No
"",,,,,Modesto A. Maidique,,
Information Report,2015-01533,10/07/2015 12:40 P.M.,10/07/2015 12:40 P.M.,MMC,,Closed,Unknown
"",,,,,Campus,,
Arrest,2015-01534,10/07/2015 01:28 P.M.,10/07/2015 01:28 P.M.,CEAS,Engineering Center,Closed,No
Theft/Watch,2015-01536,10/07/2015 06:26 P.M.,10/07/2015 06:26 P.M.,MMC,Green Library,Open,Yes
Information Report,2015-01537,10/08/2015 08:36 A.M.,10/08/2015 08:36 A.M.,CEAS,Engineering Center,Closed,No
Suspicious Person,2015-01538,10/08/2015 11:19 A.M.,10/08/2015 11:19 A.M.,MMC,Graham Center,Closed,No
"",,,,,Academic Health,,
Arrest,2015-01540,10/08/2015 08:24 P.M.,10/08/2015 08:24 P.M.,MMC,,Closed,Unknown
"",,,,,Center 1,,
Conduct Investigation,2015-01543,10/09/2015 12:40 A.M.,10/09/2015 12:40 A.M.,MMC,University University,Closed,Yes
"",,,,,Wolfe University,,
Criminal Mischief,2015-01545,10/09/2015 10:53 A.M.,10/09/2015 10:53 A.M.,BBC,,Open,Unknown
"",,,,,Center,,
Theft/Laptop,2015-01548,10/09/2015 02:15 P.M.,10/09/2015 02:15 P.M.,MMC,Graham Center,Open,Yes
Criminal Mischief,2015-01550,10/09/2015 04:21 P.M.,10/09/2015 04:21 P.M.,BBC,Biscayne Campus,Open,No
Arrest/NOI,2015-01554,10/10/2015 01:15 P.M.,10/10/2015 01:15 P.M.,MMC,Graham Center,Closed,Unknown
rrest/Trespass After Warning,2015-01557,10/10/2015 07:28 P.M.,10/10/2015 07:28 P.M.,MMC,Apartments Bldg A,Closed,Yes
Missing Person,2015-01560,10/11/2015 07:35 P.M.,10/11/2015 07:35 P.M.,MMC,Panther Hall,Closed,Unknown
Burglary,2015-01561,10/11/2015 08:50 P.M.,10/11/2015 08:50 P.M.,MMC,Pike Greek Housing 2,Open,Unknown
Burglary To A Vehicle,2015-01562,10/11/2015 10:41 P.M.,10/11/2015 10:41 P.M.,MMC,Lot 4,Open,Unknown
Burglary,2015-01563,10/12/2015 07:40 A.M.,10/12/2015 07:40 A.M.,MMC,Marketplace Garage,Open,Unknown
Theft/Wallet,2015-01565,10/12/2015 11:44 A.M.,10/12/2015 11:44 A.M.,MMC,Recreation Center,Open,Yes
Theft/Wallet,2015-01566,10/12/2015 12:41 P.M.,10/12/2015 12:41 P.M.,MMC,Marketplace Garage,Open,Yes
"",,,,,Wolfe University,,
Theft/Billboard Signs,2015-01568,10/12/2015 03:46 P.M.,10/12/2015 03:46 P.M.,BBC,,Open,Staff
"",,,,,Center,,
Disturbance,2015-01569,10/12/2015 08:34 P.M.,10/12/2015 08:34 P.M.,MMC,Engineering Center,Closed,Yes
