unit_id,institution_name,year,graduation_rate_total_cohort_,total_number_of_undergraduates_financial_aid_cohort_
214777,Pennsylvania State University-Main Campus,2015,86,40742
214777,Pennsylvania State University-Main Campus,2014,86,40541
214777,Pennsylvania State University-Main Campus,2013,85,40085
136950,Rollins College,2019,74,NA
136950,Rollins College,2018,74,2571
136950,Rollins College,2017,75,2612
136950,Rollins College,2016,72,2642
136950,Rollins College,2015,71,2687
136950,Rollins College,2014,71,2670
136950,Rollins College,2013,67,2608
186380,Rutgers University-New Brunswick,2019,84,NA
186380,Rutgers University-New Brunswick,2018,80,36039
186380,Rutgers University-New Brunswick,2017,80,35641
186380,Rutgers University-New Brunswick,2016,80,36168
186380,Rutgers University-New Brunswick,2015,80,35484
186380,Rutgers University-New Brunswick,2014,81,36016
186380,Rutgers University-New Brunswick,2013,80,34983
122409,San Diego State University,2019,73,NA
122409,San Diego State University,2018,74,30586
122409,San Diego State University,2017,74,30272
122409,San Diego State University,2016,73,29860
122409,San Diego State University,2015,68,29253
122409,San Diego State University,2014,66,28394
122409,San Diego State University,2013,66,27099
196413,Syracuse University,2019,83,NA
196413,Syracuse University,2018,83,15226
196413,Syracuse University,2017,83,15252
196413,Syracuse University,2016,82,15218
196413,Syracuse University,2015,81,15196
196413,Syracuse University,2014,80,15224
196413,Syracuse University,2013,81,15097
228459,Texas State University,2019,54,NA
228459,Texas State University,2018,55,34187
228459,Texas State University,2017,54,34180
228459,Texas State University,2016,54,34244
228459,Texas State University,2015,53,33480
228459,Texas State University,2014,55,32177
228459,Texas State University,2013,57,31005
228769,The University of Texas at Arlington,2019,51,NA
228769,The University of Texas at Arlington,2018,49,34472
228769,The University of Texas at Arlington,2017,50,33307
228769,The University of Texas at Arlington,2016,48,32775
228769,The University of Texas at Arlington,2015,46,30633
228769,The University of Texas at Arlington,2014,42,29883
228769,The University of Texas at Arlington,2013,40,25690
168148,Tufts University,2019,94,NA
168148,Tufts University,2018,93,5643
168148,Tufts University,2017,93,5541
168148,Tufts University,2016,92,5508
168148,Tufts University,2015,93,5290
168148,Tufts University,2014,92,5177
168148,Tufts University,2013,92,5180
196088,University at Buffalo,2019,75,NA
196088,University at Buffalo,2018,76,21607
196088,University at Buffalo,2017,75,21020
196088,University at Buffalo,2016,74,20412
196088,University at Buffalo,2015,74,19953
196088,University at Buffalo,2014,72,19828
196088,University at Buffalo,2013,72,20096
110635,University of California-Berkeley,2019,93,NA
110635,University of California-Berkeley,2018,91,30853
110635,University of California-Berkeley,2017,91,30574
110635,University of California-Berkeley,2016,92,29310
110635,University of California-Berkeley,2015,92,27496
110635,University of California-Berkeley,2014,91,27126
110635,University of California-Berkeley,2013,91,25951
132903,University of Central Florida,2019,72,NA
132903,University of Central Florida,2018,73,58821
132903,University of Central Florida,2017,70,56853
132903,University of Central Florida,2016,69,55723
132903,University of Central Florida,2015,70,54662
132903,University of Central Florida,2014,70,52671
132903,University of Central Florida,2013,67,51333
142285,University of Idaho,2019,56,NA
142285,University of Idaho,2018,59,9568
142285,University of Idaho,2017,55,9885
142285,University of Idaho,2016,56,9586
142285,University of Idaho,2015,57,9116
142285,University of Idaho,2014,58,8615
142285,University of Idaho,2013,54,8880
153658,University of Iowa,2019,72,NA
153658,University of Iowa,2018,73,23989
153658,University of Iowa,2017,74,24503
153658,University of Iowa,2016,72,24476
153658,University of Iowa,2015,72,23357
153658,University of Iowa,2014,70,22354
153658,University of Iowa,2013,70,21974
155317,University of Kansas,2019,67,NA
155317,University of Kansas,2018,65,19596
155317,University of Kansas,2017,63,19338
155317,University of Kansas,2016,63,19262
155317,University of Kansas,2015,61,19245
155317,University of Kansas,2014,60,19343
155317,University of Kansas,2013,62,19217
170976,University of Michigan-Ann Arbor,2019,93,NA
170976,University of Michigan-Ann Arbor,2018,92,30318
170976,University of Michigan-Ann Arbor,2017,92,29821
170976,University of Michigan-Ann Arbor,2016,91,28983
170976,University of Michigan-Ann Arbor,2015,90,28312
170976,University of Michigan-Ann Arbor,2014,91,28395
170976,University of Michigan-Ann Arbor,2013,90,28283
178396,University of Missouri-Columbia,2019,71,NA
178396,University of Missouri-Columbia,2018,69,22484
178396,University of Missouri-Columbia,2017,68,23799
178396,University of Missouri-Columbia,2016,68,25877
178396,University of Missouri-Columbia,2015,69,27791
178396,University of Missouri-Columbia,2014,69,27642
178396,University of Missouri-Columbia,2013,70,26928
187985,University of New Mexico-Main Campus,2019,54,NA
