unit_id,institution_name,year,state_abbreviation,fips_state_code,sector_of_institution,level_of_institution,control_of_institution,degree_granting_status,postsecondary_and_title_iv_institution_indicator,institutional_category,institution_size_category,longitude,latitude,x91
139658,Emory University,2018,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325512,33.790183,NA
139658,Emory University,2017,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325512,33.790183,NA
139658,Emory University,2016,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325512,33.790183,NA
139658,Emory University,2015,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325782,33.798836,NA
139658,Emory University,2014,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325782,33.798836,NA
139658,Emory University,2013,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325782,33.798836,NA
133669,Florida Atlantic University,2019,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102978,26.372421,NA
133669,Florida Atlantic University,2018,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102978,26.372421,NA
133669,Florida Atlantic University,2017,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102978,26.372421,NA
133669,Florida Atlantic University,2016,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102978,26.372421,NA
133669,Florida Atlantic University,2015,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102293,26.372536,NA
133669,Florida Atlantic University,2014,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102293,26.372536,NA
133669,Florida Atlantic University,2013,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102293,26.372536,NA
133951,Florida International University,2019,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA
133951,Florida International University,2018,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA
133951,Florida International University,2017,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA
133951,Florida International University,2016,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.377591,25.757111,NA
133951,Florida International University,2015,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.377591,25.757111,NA
133951,Florida International University,2014,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.377591,25.757111,NA
133951,Florida International University,2013,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.377591,25.757111,NA
134097,Florida State University,2019,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA
134097,Florida State University,2018,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA
134097,Florida State University,2017,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA
134097,Florida State University,2016,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA
134097,Florida State University,2015,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA
134097,Florida State University,2014,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA
134097,Florida State University,2013,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA
151351,Indiana University-Bloomington,2019,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526559,39.16609,NA
151351,Indiana University-Bloomington,2018,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526559,39.16609,NA
151351,Indiana University-Bloomington,2017,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526559,39.16609,NA
151351,Indiana University-Bloomington,2016,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526904,39.166383,NA
151351,Indiana University-Bloomington,2015,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526904,39.166383,NA
151351,Indiana University-Bloomington,2014,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526904,39.166383,NA
151351,Indiana University-Bloomington,2013,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526904,39.166383,NA
159391,Louisiana State University and Agricultural & Mechanical College,2019,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.178921,30.414986,NA
159391,Louisiana State University and Agricultural & Mechanical College,2018,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.178921,30.414986,NA
159391,Louisiana State University and Agricultural & Mechanical College,2017,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.178921,30.414986,NA
159391,Louisiana State University and Agricultural & Mechanical College,2016,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.178921,30.414986,NA
159391,Louisiana State University and Agricultural & Mechanical College,2015,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.178921,30.414983,NA
159391,Louisiana State University and Agricultural & Mechanical College,2014,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.196656,30.552111,NA
159391,Louisiana State University and Agricultural & Mechanical College,2013,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.196656,30.552111,NA
237525,Marshall University,2019,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.428964,38.422482,NA
237525,Marshall University,2018,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.428964,38.422482,NA
237525,Marshall University,2017,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.428964,38.422482,NA
237525,Marshall University,2016,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.428964,38.422482,NA
237525,Marshall University,2015,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.43065,38.42261,NA
237525,Marshall University,2014,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.43065,38.42261,NA
237525,Marshall University,2013,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.43065,38.42261,NA
204024,Miami University-Oxford,2019,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.732954,39.507757,NA
204024,Miami University-Oxford,2018,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.732954,39.507757,NA
204024,Miami University-Oxford,2017,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.732954,39.507757,NA
204024,Miami University-Oxford,2016,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.731821,39.509642,NA
204024,Miami University-Oxford,2015,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.731821,39.509642,NA
204024,Miami University-Oxford,2014,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.731821,39.509642,NA
204024,Miami University-Oxford,2013,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.731821,39.509642,NA
185572,Monmouth University,2019,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA
185572,Monmouth University,2018,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA
185572,Monmouth University,2017,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA
185572,Monmouth University,2016,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA
185572,Monmouth University,2015,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA
185572,Monmouth University,2014,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA
185572,Monmouth University,2013,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA
157401,Murray State University,2019,KY,21,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",3,-88.323629,36.612419,NA
157401,Murray State University,2018,KY,21,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",3,-88.323629,36.612419,NA
157401,Murray State University,2017,KY,21,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-88.323629,36.612419,NA
157401,Murray State University,2016,KY,21,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-88.323629,36.612419,NA
157401,Murray State University,2015,KY,21,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-88.323493,36.61241,NA
157401,Murray State University,2014,KY,21,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-88.323493,36.61241,NA
157401,Murray State University,2013,KY,21,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-88.323493,36.61241,NA
199193,North Carolina State University at Raleigh,2019,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-78.674517,35.785111,NA
199193,North Carolina State University at Raleigh,2018,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-78.674517,35.785111,NA
199193,North Carolina State University at Raleigh,2017,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-78.674517,35.785111,NA
199193,North Carolina State University at Raleigh,2016,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-78.674517,35.785111,NA
199193,North Carolina State University at Raleigh,2015,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-78.674517,35.785111,NA
199193,North Carolina State University at Raleigh,2014,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-78.674517,35.785111,NA
199193,North Carolina State University at Raleigh,2013,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-78.674517,35.785111,NA
147767,Northwestern University,2019,IL,17,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-87.679858,42.050356,NA
147767,Northwestern University,2018,IL,17,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-87.679858,42.050356,NA
147767,Northwestern University,2017,IL,17,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-87.679858,42.050356,NA
147767,Northwestern University,2016,IL,17,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-87.679858,42.050356,NA
147767,Northwestern University,2015,IL,17,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-87.673653,42.058377,NA
147767,Northwestern University,2014,IL,17,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-87.673653,42.058377,NA
147767,Northwestern University,2013,IL,17,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-87.673653,42.058377,NA
204796,Ohio State University-Main Campus,2019,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-83.014853,39.999324,NA
204796,Ohio State University-Main Campus,2018,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-83.014853,39.999324,NA
204796,Ohio State University-Main Campus,2017,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-83.014853,39.999324,NA
204796,Ohio State University-Main Campus,2016,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-83.009001,39.998389,NA
204796,Ohio State University-Main Campus,2015,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-83.009001,39.998389,NA
204796,Ohio State University-Main Campus,2014,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-83.009001,39.998389,NA
204796,Ohio State University-Main Campus,2013,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-83.009001,39.998389,NA
204857,Ohio University-Main Campus,2019,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.100985,39.326798,NA
204857,Ohio University-Main Campus,2018,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.100985,39.326798,NA
204857,Ohio University-Main Campus,2017,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.100985,39.326798,NA
204857,Ohio University-Main Campus,2016,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.100985,39.326798,NA
204857,Ohio University-Main Campus,2015,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.101064,39.326799,NA
204857,Ohio University-Main Campus,2014,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.101064,39.326799,NA
204857,Ohio University-Main Campus,2013,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.101064,39.326799,NA
214777,Pennsylvania State University-Main Campus,2019,PA,42,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.862848,40.7965,NA
214777,Pennsylvania State University-Main Campus,2018,PA,42,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.862848,40.7965,NA
214777,Pennsylvania State University-Main Campus,2017,PA,42,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.862848,40.7965,NA
214777,Pennsylvania State University-Main Campus,2016,PA,42,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.861644,40.800731999999996,NA
214777,Pennsylvania State University-Main Campus,2015,PA,42,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.861644,40.800731999999996,NA
214777,Pennsylvania State University-Main Campus,2014,PA,42,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.861644,40.800731999999996,NA
214777,Pennsylvania State University-Main Campus,2013,PA,42,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.861644,40.800731999999996,NA
136950,Rollins College,2019,FL,12,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",2,-81.349239,28.592787,NA
136950,Rollins College,2018,FL,12,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",2,-81.349239,28.592787,NA
136950,Rollins College,2017,FL,12,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",2,-81.349239,28.592787,NA
136950,Rollins College,2016,FL,12,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",2,-81.348716,28.591992,NA
136950,Rollins College,2015,FL,12,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",2,-81.348716,28.591992,NA
136950,Rollins College,2014,FL,12,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",2,-81.348716,28.591992,NA
136950,Rollins College,2013,FL,12,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",2,-81.348716,28.591992,NA
186380,Rutgers University-New Brunswick,2019,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA
186380,Rutgers University-New Brunswick,2018,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA
186380,Rutgers University-New Brunswick,2017,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA
186380,Rutgers University-New Brunswick,2016,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA
186380,Rutgers University-New Brunswick,2015,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.45051,40.503796,NA
186380,Rutgers University-New Brunswick,2014,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.45051,40.503796,NA
186380,Rutgers University-New Brunswick,2013,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.45051,40.503796,NA
122409,San Diego State University,2019,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA
122409,San Diego State University,2018,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA
122409,San Diego State University,2017,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA
122409,San Diego State University,2016,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA
122409,San Diego State University,2015,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA
122409,San Diego State University,2014,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA
122409,San Diego State University,2013,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA
196413,Syracuse University,2019,NY,36,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-76.136975,43.040176,NA
196413,Syracuse University,2018,NY,36,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-76.136975,43.040176,NA
196413,Syracuse University,2017,NY,36,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-76.136975,43.040176,NA
196413,Syracuse University,2016,NY,36,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-76.136975,43.040176,NA
196413,Syracuse University,2015,NY,36,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-76.136633,43.040005,NA
196413,Syracuse University,2014,NY,36,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-76.136738,43.040525,NA
196413,Syracuse University,2013,NY,36,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",5,-76.136738,43.040525,NA
228459,Texas State University,2019,TX,48,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-97.943029,29.888885,NA
228459,Texas State University,2018,TX,48,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-97.943029,29.888885,NA
228459,Texas State University,2017,TX,48,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-97.943029,29.888885,NA
228459,Texas State University,2016,TX,48,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-97.936392,29.889202,NA
228459,Texas State University,2015,TX,48,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-97.936392,29.889202,NA
228459,Texas State University,2014,TX,48,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-97.936392,29.889202,NA
228459,Texas State University,2013,TX,48,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-97.936392,29.889202,NA
228769,The University of Texas at Arlington,2019,TX,48,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-97.11296,32.729718,NA
228769,The University of Texas at Arlington,2018,TX,48,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-97.11296,32.729718,NA
228769,The University of Texas at Arlington,2017,TX,48,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-97.11296,32.729718,NA
228769,The University of Texas at Arlington,2016,TX,48,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-97.115087,32.728437,NA
