unit_id,institution_name,year,sat_math_75th_percentile_score_
196413,Syracuse University,2017,680
196413,Syracuse University,2016,660
196413,Syracuse University,2015,660
196413,Syracuse University,2014,660
196413,Syracuse University,2013,650
228459,Texas State University,2019,580
228459,Texas State University,2018,580
228459,Texas State University,2017,590
228459,Texas State University,2016,560
228459,Texas State University,2015,560
228459,Texas State University,2014,560
228459,Texas State University,2013,570
228769,The University of Texas at Arlington,2019,630
228769,The University of Texas at Arlington,2018,630
228769,The University of Texas at Arlington,2017,640
228769,The University of Texas at Arlington,2016,610
228769,The University of Texas at Arlington,2015,610
228769,The University of Texas at Arlington,2014,610
228769,The University of Texas at Arlington,2013,620
168148,Tufts University,2019,790
168148,Tufts University,2018,780
168148,Tufts University,2017,780
168148,Tufts University,2016,770
168148,Tufts University,2015,770
168148,Tufts University,2014,760
168148,Tufts University,2013,770
196088,University at Buffalo,2019,690
196088,University at Buffalo,2018,680
196088,University at Buffalo,2017,650
196088,University at Buffalo,2016,660
196088,University at Buffalo,2015,650
196088,University at Buffalo,2014,650
196088,University at Buffalo,2013,660
110635,University of California-Berkeley,2019,790
110635,University of California-Berkeley,2018,790
110635,University of California-Berkeley,2017,760
110635,University of California-Berkeley,2016,790
110635,University of California-Berkeley,2015,770
110635,University of California-Berkeley,2014,770
110635,University of California-Berkeley,2013,770
132903,University of Central Florida,2019,670
132903,University of Central Florida,2018,670
132903,University of Central Florida,2017,660
132903,University of Central Florida,2016,640
132903,University of Central Florida,2015,640
132903,University of Central Florida,2014,640
132903,University of Central Florida,2013,640
142285,University of Idaho,2019,610
142285,University of Idaho,2018,600
142285,University of Idaho,2017,610
142285,University of Idaho,2016,580
142285,University of Idaho,2015,580
142285,University of Idaho,2014,590
142285,University of Idaho,2013,590
153658,University of Iowa,2019,680
153658,University of Iowa,2018,670
153658,University of Iowa,2017,690
153658,University of Iowa,2016,680
153658,University of Iowa,2015,690
153658,University of Iowa,2014,700
153658,University of Iowa,2013,680
155317,University of Kansas,2019,NA
155317,University of Kansas,2018,NA
155317,University of Kansas,2017,NA
155317,University of Kansas,2016,NA
155317,University of Kansas,2015,NA
155317,University of Kansas,2014,NA
155317,University of Kansas,2013,NA
170976,University of Michigan-Ann Arbor,2019,790
170976,University of Michigan-Ann Arbor,2018,780
170976,University of Michigan-Ann Arbor,2017,770
170976,University of Michigan-Ann Arbor,2016,770
170976,University of Michigan-Ann Arbor,2015,770
170976,University of Michigan-Ann Arbor,2014,760
170976,University of Michigan-Ann Arbor,2013,760
178396,University of Missouri-Columbia,2019,680
178396,University of Missouri-Columbia,2018,650
178396,University of Missouri-Columbia,2017,670
178396,University of Missouri-Columbia,2016,650
178396,University of Missouri-Columbia,2015,650
178396,University of Missouri-Columbia,2014,660
178396,University of Missouri-Columbia,2013,650
187985,University of New Mexico-Main Campus,2019,650
187985,University of New Mexico-Main Campus,2018,630
187985,University of New Mexico-Main Campus,2017,580
187985,University of New Mexico-Main Campus,2016,600
187985,University of New Mexico-Main Campus,2015,600
187985,University of New Mexico-Main Campus,2014,620
187985,University of New Mexico-Main Campus,2013,600
136172,University of North Florida,2019,620
136172,University of North Florida,2018,630
136172,University of North Florida,2017,630
136172,University of North Florida,2016,600
136172,University of North Florida,2015,610
136172,University of North Florida,2014,610
136172,University of North Florida,2013,610
215293,University of Pittsburgh-Pittsburgh Campus,2019,740
215293,University of Pittsburgh-Pittsburgh Campus,2018,730
215293,University of Pittsburgh-Pittsburgh Campus,2017,718
