"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS17-01-06-000141","UPD-170014","01/06/17 14:45","01/06/17 14:30","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE, Athens, OH 45701","CONVERSION_LARCENY-THEFT THEFT - BICYCLES 2913","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-06-000154","UPD-170015","01/06/17 18:35","01/06/17 18:37","95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: MEN'S BASKETBALL GAME","EDC DEPLOYMENT","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-06-000157","UPD","01/06/17 19:33","","UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: UNIVERSITY TERRACE @ CLIPPINGER, Athens, OH 45701","","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-06-000161","UPD","01/06/17 20:53","","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE Location Detail: SG@ WALTER HALL, Athens, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-07-000174","UPD","01/07/17 13:40","","SHAFER STREET Common Name: SHAFER STREET Location Detail: AT OUCU, Athens, OH 45701","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-07-000182","UPD","01/07/17 20:23","","100 WEST GREEN DRIVE Common Name: BOYD Location Detail: 265, Athens, OH 45701","POSSESSION OF DRUG PARAPHERNALIA","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-07-000183","UPD","01/07/17 20:39","","45 EAST GREEN STREET Common Name: LINCOLN HALL Location Detail: 231","POSSESSION OF DRUG PARAPHERNALIA","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-07-000186","UPD-170016","01/07/17 22:11","01/07/17 22:00","71 SOUTH GREEN DRIVE Common Name: CRAWFORD Location Detail: 232 & 233","POSSESSION OF DRUG PARAPHERNALIA","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-07-000188","UPD-170017","01/07/17 22:42","01/07/17 22:42","CHURCH ST. Common Name: SEIGFRED Location Detail: UPPER SEIGFRED, Athens, OH 45701","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-08-000190","UPD","01/08/17 00:21","","45 EAST GREEN STREET Common Name: LINCOLN HALL Location Detail: 229","INTOXICATED PERSON","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-08-000191","UPD","01/08/17 00:36","","99 WEST GREEN DRIVE Common Name: TREUDLEY HALL Location Detail: ROOM 218, Athens, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-08-000193","UPD-170018","01/08/17 00:52","01/08/16 00:52","95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: MODE 309-312","POSSESSION OF  CONTROLLED SUBSTANCES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-08-000195","UPD-170019","01/08/17 01:53","01/08/17 01:53","UNION STREET Common Name: UNION STREET Location Detail: E UNION JEFF HILL","CONVERSION_TRAFFIC ONE-WAY TRAFFIC - ROTARY ISLANDS 4511.32","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-08-000196","UPD-170020","01/08/17 02:37","01/08/17 02:37","69 SOUTH GREEN DRIVE Common Name: BROWN HALL Location Detail: MEN'S RESTROOM","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-08-000199","UPD","01/08/17 02:51","","35 SOUTH CONGRESS Common Name: BROMLEY HALL Location Detail: 3RD FLOOR/SOUTH STAIRWELL, Athens, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-08-000200","UPD","01/08/17 04:18","","UNION STREET Common Name: UNION STREET Location Detail: @COURT STREET","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-08-000207","UPD","01/08/17 08:42","","OXBOW DRIVE Common Name: BIRD ARENA, Athens, OH 45701","TRESPASSING OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-08-000211","UPD-170021","01/08/17 14:33","01/08/17 14:30","95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: ROOM 328","POSSESSION OF  CONTROLLED SUBSTANCES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-08-000213","UPD","01/08/17 16:43","","SOUTH GREEN DRIVE Common Name: ADAMS HALL Location Detail: 416, Athens, OH 45701","POSSESSION OF DRUG PARAPHERNALIA","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-08-000215","UPD","01/08/17 16:51","","98 WEST GREEN DRIVE Common Name: SARGENT HALL, Athens, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-08-000216","UPD","01/08/17 17:02","","128 SOUTH GREEN DRIVE Common Name: WELD HOUSE Location Detail: 4TH FLOOR MOD B, Athens, OH 45701","POSSESSION OF DRUG PARAPHERNALIA","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-08-000220","UPD","01/08/17 22:45","","WASHINGTON STREET Common Name: WASHINGTON STREET Location Detail: WASHINGTON @ LANCASTER","CONVERSION_TRAFFIC TAIL LIGHTS AND ILLUMINATION OF REAR LICENSE PLATE 4513.05","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-09-000223","UPD-170022","01/08/17 23:58","01/08/17 23:58","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE, Athens, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-09-000235","UPD","01/09/17 13:54","","100 WEST GREEN DRIVE Common Name: BOYD Location Detail: ROOM 257, Athens, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-09-000238","UPD","01/09/17 15:53","","20 S COURT ST Common Name: ATHENA CINEMA, Athens, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-09-000239","UPD","01/09/17 16:33","","Common Name: LUCHS HALL","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-09-000243","UPD","01/09/17 17:33","","128 SOUTH GREEN DRIVE Common Name: WELD HOUSE Location Detail: 235, Athens, OH 45701","POSSESSION OF DRUG PARAPHERNALIA","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-09-000245","UPD","01/09/17 18:22","","MILL STREET Common Name: MILL STREET Location Detail: 140 MILL","CONVERSION_TRAFFIC SPEED 4511.21","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-09-000246","UPD","01/09/17 18:39","","34 SOUTH COLLEGE STREET Common Name: VOIGT HALL, Athens, OH 45701","DISORDERLY CONDUCT OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
