"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS17-04-01-003590","UPD","04/01/17 02:11","","UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE, Athens, OH 45701","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-04-01-003592","UPD-170464","04/01/17 02:31","04/01/17 02:33","98 WEST GREEN DRIVE Common Name: SARGENT HALL Location Detail: 216, Athens, OH 45701","INTOXICATED PERSON","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-04-01-003593","UPD-170463","04/01/17 02:42","04/01/17 02:42","UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: ELLIS, ATHENS, OH 45701","DISORDERLY CONDUCT OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-04-01-003603","UPD-170465","04/01/17 14:20","04/01/17 14:20","UNION STREET Common Name: UNION STREET Location Detail: AT E GREEN DR","CONVERSION_TRAFFIC OPERATING A MOTOR VEHICLE WITHOUT A VALID LICENSE 4510.12(A)(1)","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-04-01-003604","UPD","04/01/17 15:23","","RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: AT S GREEN DR, Athens, OH 45701","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-04-01-003607","UPD","04/01/17 16:14","","UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: AT S GREEN DR, Athens, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-04-01-003611","UPD-170467","04/01/17 17:53","04/01/17 17:53","RIDGES PROPERTY Common Name: RIDGES Location Detail: NEAR BUILDING 12, Athens, OH 45701","TRESPASSING OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-04-01-003613","UPD-170466","04/01/17 18:10","04/01/17 18:10","UNIVERSITY TERRACE Common Name: T.B. MEMORIAL AUDITORIUM Location Detail: EVENT, Athens, OH 45701","EDC DEPLOYMENT","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-04-01-003626","UPD-170468","04/01/17 23:14","04/01/17 23:14","132 SOUTH GREEN DRIVE Common Name: TRUE HOUSE, Athens, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-04-01-003627","UPD-170469","04/01/17 23:24","04/01/17 23:24","133 SOUTH GREEN DRIVE Common Name: DOUGAN HOUSE Location Detail: REAR OF BUILDING","POSSESSION OF  CONTROLLED SUBSTANCES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
