"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS17-07-04-006615","UPD-170734","07/04/17 02:38","07/04/17 02:38","EAST UNION STREET Common Name: PILCHER HOUSE, ATHENS, OH 45701","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-04-006635","UPD","07/04/17 21:52","","SOUTH GREEN DRIVE Common Name: ADAMS HALL Location Detail: COURTYARD, ATHENS, OH 45701","FIREWORKS OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-05-006641","UPD","07/05/17 06:18","","30 PARK PLACE Common Name: ALDEN LIBRARY, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-05-006651","UPD","07/05/17 12:44","","71 SOUTH GREEN DRIVE Common Name: CRAWFORD, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-05-006654","UPD","07/05/17 14:55","","71 SOUTH GREEN DRIVE Common Name: CRAWFORD, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-05-006665","UPD","07/05/17 18:30","","SOUTH GREEN DRIVE Common Name: PARKING LOT 87 Location Detail: PARKING SERVICES BOOT REMOVAL, ATHENS, OH 45701","PARKING COMPLAINT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-05-006666","UPD","07/05/17 21:18","","RIDGES PROPERTY Common Name: RIDGES Location Detail: BD 37, UPHOLSTERY SHOP ROOM 108, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-05-006670","UPD","07/05/17 22:42","","Common Name: ACADEMIC RESEARCH CENTER, ATHENS, OH 45701","RECOVERED PROPERTY","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-06-006675","UPD","07/06/17 05:51","","Common Name: ACADEMIC RESEARCH CENTER, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-07-006716","UPD","07/07/17 10:13","","W.STATE ST. RENT PARK Common Name: INNOVATION CENTER","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-07-006724","UPD","07/07/17 15:04","","SHAFER STREET Common Name: SHAFER STREET Location Detail: AT LOT 127, ATHENS, OH 45701","TRAFFIC DRIVING UNDER ALS SUSPENSION 4510.14","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-07-006725","UPD","07/07/17 15:10","","WEST GREEN Common Name: WEST GREEN Location Detail: GENERAL GREEN AREA","DISORDERLY CONDUCT OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-07-006730","UPD","07/07/17 17:14","","S COURT STREET Common Name: LINDLEY HALL Location Detail: 3RD FL CORRIDOR, 300A DUCT DETECTOR","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-08-006754","UPD","07/08/17 17:14","","S COURT STREET Common Name: LINDLEY HALL Location Detail: 3RD FL CORRIDOR, DUCT DETECTOR ROOM 300A","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-08-006755","UPD-170736","07/08/17 18:52","07/08/17 18:52","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE Location Detail: AT RUFUS ST, ATHENS, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-09-006767","UPD-170737","07/09/17 02:02","07/09/17 02:02","COLLEGE STREET Common Name: COLLEGE STREET Location Detail: @ WASHINGTON STREET","DISORDERLY CONDUCT OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-09-006786","UPD","07/09/17 22:12","","UNIVERSITY TERRACE Common Name: CLIPPINGER HALL, ATHENS, OH 45701","CONVERSION_TRAFFIC SPEED 4511.21","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-09-006787","UPD","07/09/17 22:37","","RICHLAND AVE","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-10-006792","UPD","07/10/17 01:33","","RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: @WEST GREEN DRIVE, ATHENS, OH 45701","CONVERSION_TRAFFIC SPEED 4511.21","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-10-006801","UPD","07/10/17 08:15","","S COURT STREET Common Name: LINDLEY HALL","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-10-006809","UPD-170738","07/10/17 12:02","07/10/17 12:00","RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: AT S GREEN DR, ATHENS, OH 45701","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-10-006817","UPD-170739","07/10/17 16:51","07/10/17 16:51","SHAFER STREET Common Name: PARKING LOT 128, ATHENS, OH 45701","TRAFFIC CRASH ","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-10-006820","UPD","07/10/17 17:34","","Common Name: LINDLEY HALL","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-11-006830","UPD","07/11/17 00:29","","UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: NEAR SOUTH GREEN DRIVE, ATHENS, OH 45701","TRAFFIC MARKED LANES 4511.33A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-11-006831","UPD-170740","07/11/17 01:30","07/11/17 01:30","RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: @SHAFER STREET, ATHENS, OH 45701","CONVERSION_TRAFFIC SPEED 4511.21","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-11-006842","UPD","07/11/17 09:30","","49 EAST GREEN STREET Common Name: WASHINGTON HALL","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-11-006851","UPD","07/11/17 15:47","","Common Name: FOSTER PLACE Location Detail: AT SMITH ST","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-11-006857","UPD-170741","07/11/17 19:25","07/11/17 10:00","WEST GREEN DRIVE Common Name: PARKING LOT 111","PROPERTY DAMAGE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-11-006863","UPD","07/11/17 21:50","","UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: AT E UNION ST, ATHENS, OH 45701","TRAFFIC FAILURE TO DISPLAY LIC. PLATE/STICKER 4503.21","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-11-006866","UPD","07/11/17 23:09","","RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: @GROVER CENTER, ATHENS, OH 45701","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-11-006867","UPD","07/11/17 23:18","","DAIRY LANE Common Name: DAIRY LANE Location Detail: BY RICHLAND AVE. PARK, ATHENS, OH 45701","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-12-006868","UPD-170742","07/11/17 23:46","07/11/17 23:46","RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: @DAIRY LANE, ATHENS, OH 45701","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-12-006870","UPD-170743","07/12/17 00:32","07/12/17 00:32","Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: W. STATE STREET @MILLER'S CHICKEN","POSSESSION OF  CONTROLLED SUBSTANCES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-12-006871","UPD-170744","07/12/17 02:11","07/12/17 02:11","RIDGES PROPERTY Common Name: RIDGES Location Detail: BEHIND BUILDING 5, ATHENS, OH 45701","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-12-006883","UPD","07/12/17 08:11","","97 WEST GREEN DRIVE Common Name: JAMES HALL Location Detail: ROOM 416, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-12-006888","UPD","07/12/17 11:16","","HUDSON DRIVE Common Name: HUDSON DRIVE Location Detail: ROOM 109","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-13-006913","UPD-170746","07/13/17 01:36","07/13/17 01:36","UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: JEFF HILL, ATHENS, OH 45701","INTOXICATED PERSON","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-13-006917","UPD-170747","07/13/17 05:19","07/13/17 05:19","Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: JAMBOREE IN THE HILLS","EDC DEPLOYMENT","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-13-006923","UPD-170748","07/13/17 08:25","07/13/17 08:25","SHAFER STREET Common Name: SHAFER STREET Location Detail: LOT 127, ATHENS, OH 45701","CONVERSION_TRAFFIC SPEED 4511.21","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-13-006928","UPD","07/13/17 13:28","","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE Location Detail: ARMBRUSTER, ATHENS, OH 45701","TRAFFIC BRAKE LIGHTS 4513.071","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-13-006930","UPD","07/13/17 14:29","","E CIRCLE DR Common Name: BUILDING 19, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-13-006935","UPD","07/13/17 16:49","","RIDGES PROPERTY Common Name: RIDGES Location Detail: NEAR CDC, ATHENS, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-13-006936","UPD","07/13/17 16:49","","RIDGES PROPERTY Common Name: RIDGES Location Detail: NEAR CDC, ATHENS, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-13-006939","UPD","07/13/17 17:11","","RIDGES PROPERTY Common Name: RIDGES Location Detail: NEAR CDC, ATHENS, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-13-006940","UPD","07/13/17 17:28","","RIDGES PROPERTY Common Name: RIDGES Location Detail: NEAR CDC, ATHENS, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-13-006951","UPD","07/13/17 23:13","","UNION STREET Common Name: UNION STREET Location Detail: @CONGRESS STREET","TRAFFIC MARKED LANES 4511.33A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-14-006953","UPD","07/14/17 02:22","","S. SHAFER ST. Common Name: WREN STADIUM","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-14-006956","UPD","07/14/17 04:22","","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE Location Detail: @OXBOW, ATHENS, OH 45701","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-14-006961","UPD","07/14/17 07:30","","Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: JAMBOREE IN THE HILLS","EDC DEPLOYMENT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-14-006966","UPD-170749","07/14/17 11:38","07/14/17 00:00","88 UNIVERSITY TERRACE Common Name: OHIO UNIVERSITY POLICE DEPT, ATHENS, OH 45701","FICTITIOUS/ALTERED ID","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-14-006970","UPD","07/14/17 18:36","","SOUTH GREEN DRIVE Common Name: ADAMS HALL Location Detail: ROOM 437, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-15-006981","UPD-170750","07/15/17 03:13","07/15/17 03:13","UNION STREET Common Name: UNION STREET Location Detail: @DEPOT STREET","CONVERSION_TRAFFIC OPERATING A MOTOR VEHICLE WITHOUT A VALID LICENSE 4510.12(A)(1)","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-15-006990","UPD","07/15/17 09:05","","Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: JAMBOREE IN THE HILLS","EDC DEPLOYMENT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-15-006994","UPD-170751","07/15/17 13:57","07/10/17 21:00","MULBERRY ST Common Name: MULBERRY ST","RAPE","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-15-007009","UPD-170752","07/15/17 23:11","07/15/17 23:11","RICHLAND AVE Location Detail: SOUTH OF ROUND-A-BOUT","CONVERSION_TRAFFIC OPERATING A MOTOR VEHICLE WITHOUT A VALID LICENSE 4510.12(A)(1)","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-16-007010","UPD-170753","07/15/17 23:48","07/15/17 23:48","UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: @UNION STREET, ATHENS, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-16-007011","UPD","07/16/17 00:03","","MILL STREET Common Name: MILL STREET Location Detail: NEAR SEIGFRED","DISORDERLY CONDUCT OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-16-007014","UPD-170754","07/16/17 00:36","07/16/17 00:36","57 EAST GREEN DRIVE Common Name: PERKINS HALL, ATHENS, OH 45701","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-16-007017","UPD","07/16/17 01:53","","UNION STREET Common Name: UNION STREET Location Detail: @UNIVERSITY TERRACE","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-16-007025","UPD","07/16/17 08:18","","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE, ATHENS, OH 45701","TRAFFIC DETAIL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-16-007028","UPD","07/16/17 11:46","","1 PARK PLACE Common Name: BAKER STUDENT CENTER Location Detail: TO OMH, ATHENS, OH 45701","TRANSPORT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-16-007034","UPD","07/16/17 17:27","","SOUTH GREEN DRIVE Common Name: ADAMS HALL, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-17-007052","UPD","07/17/17 08:21","","BLDG 23, RIDGES Common Name: RIDGES AUDITORIUM/BLDG 23 Location Detail: CHILD DEVELOPMENT LOT, ATHENS, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-17-007053","UPD","07/17/17 08:22","","BLDG 23, RIDGES Common Name: RIDGES AUDITORIUM/BLDG 23, ATHENS, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-17-007054","UPD-170757","07/17/17 10:00","07/17/17 10:00","SHAFER STREET Common Name: SHAFER STREET, ATHENS, OH 45701","CONVERSION_TRAFFIC SPEED 4511.21","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-17-007055","UPD-170758","07/17/17 10:09","07/17/17 10:09","SHAFER STREET Common Name: SHAFER STREET, ATHENS, OH 45701","CONVERSION_TRAFFIC SPEED 4511.21","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-17-007056","UPD-170759","07/17/17 11:37","07/10/17 14:00","Common Name: GENERAL CAMPUS LOCATION","CONVERSOIN LARCENY-THEFT THEFT - ALL OTHER - FELONY 2913.02","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-17-007063","UPD","07/17/17 18:50","","97 WEST GREEN DRIVE Common Name: JAMES HALL, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-17-007069","UPD-170760","07/17/17 23:17","07/17/17 23:17","RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: @SOUTH GREEN DRIVE, ATHENS, OH 45701","CONVERSION_TRAFFIC SPEED 4511.21","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-17-007070","UPD","07/17/17 23:18","","Common Name: CENTRAL AVENUE Location Detail: & STATE STREET, ATHENS, OH 45701","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-18-007073","UPD-170761","07/18/17 00:14","07/18/17 00:14","RIDGES PROPERTY Common Name: RIDGES, ATHENS, OH 45701","TRESPASSING OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-18-007074","UPD","07/18/17 01:23","","SHAFER STREET Common Name: SHAFER STREET Location Detail: @HOSPITAL DRIVE, ATHENS, OH 45701","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-18-007075","UPD","07/18/17 01:43","","CONGRESS STREET Common Name: CONGRESS STREET Location Detail: @UNION STREET, ATHENS, OH 45701","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-18-007079","UPD","07/18/17 04:14","","CONGRESS STREET Common Name: CONGRESS STREET Location Detail: @WASHINGTON ST., ATHENS, OH 45701","CONVERSION_TRAFFIC TAIL LIGHTS AND ILLUMINATION OF REAR LICENSE PLATE 4513.05","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-18-007093","UPD","07/18/17 10:46","","88 UNIVERSITY TERRACE Common Name: SCOTT QUADRANGLE, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-18-007097","UPD","07/18/17 14:35","","Common Name: HORSE BARN LANE Location Detail: CDC","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-18-007105","UPD","07/18/17 17:00","","UNIVERSITY TERRACE Common Name: PARKING LOT 3, ATHENS, OH 45701","TRAFFIC CRASH ","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-18-007109","UPD","07/18/17 18:56","","UNION STREET Common Name: UNION STREET Location Detail: AT UNIVERSITY TERRACE","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-18-007112","UPD-170763","07/18/17 22:02","07/18/17 22:00","COURT STREET Common Name: COURT STREET Location Detail: AT WASHINGTON ST, ATHENS, OH 45701","CONVERSION_TRAFFIC OPERATING A MOTOR VEHICLE WITHOUT A VALID LICENSE 4510.12(A)(1)","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
