"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS17-07-01-006541","UPD","07/01/17 08:03","","46 EAST GREEN STREET Common Name: JEFFERSON HALL","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-01-006549","UPD","07/01/17 20:58","","WEST GREEN - STOCKER/IRVINE Common Name: PARKING LOT 115","TRAFFIC CRASH ","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-01-006553","UPD-170732","07/01/17 22:37","07/01/17 22:37","RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: RICHLAND @ PEDEN, ATHENS, OH 45701","CONVERSION_TRAFFIC SPEED 4511.21","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-02-006557","UPD","07/02/17 00:41","","EAST UNION Location Detail: JEFF HILL","DISORDERLY CONDUCT OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-02-006571","UPD","07/02/17 20:01","","SCOTT QUAD Common Name: OHIO UNIVERSITY POLICE DEPT","CONVRESION_OPERATIONS OUTSTANDING WARRANTS","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-02-006575","UPD","07/02/17 22:37","","RICHLAND AVE Location Detail: RICHLAND AVENUE NEAR PEDEN","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-02-006577","UPD","07/02/17 22:46","","RICHLAND AVE Location Detail: OU INN PARKING LOT","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-02-006580","UPD","07/02/17 23:13","","COURT STREET Common Name: COURT STREET Location Detail: @STATE STREET, ATHENS, OH 45701","CONVERSION_TRAFFIC ONE-WAY TRAFFIC - ROTARY ISLANDS 4511.32","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-02-006583","UPD","07/02/17 23:32","","RIDGES PROPERTY Common Name: RIDGES, ATHENS, OH 45701","TRESPASSING OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-03-006585","UPD-170733","07/03/17 03:18","07/03/17 03:18","Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: COLUMBUS/RED, WHITE & BOOM","EDC DEPLOYMENT","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-03-006597","UPD","07/03/17 10:30","","35 SOUTH CONGRESS Common Name: BROMLEY HALL, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-07-03-006603","UPD","07/03/17 16:17","","133 SOUTH GREEN DRIVE Common Name: DOUGAN HOUSE","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
