date_reported,date_occurred,time_occurred,time_reported,case_number,location,incident,university
2018-12-10,2018-12-10,21:15,21:21,18mu09534,boylan gym,simple assault - student misconduct,Monmouth University
2018-12-12,NA,NA,08:00,18mu09573,mcallan hall,theft,Monmouth University
2018-12-14,NA,16:00,16:12,18mu09639,rechnitz hall,theft,Monmouth University
2018-12-14,2018-12-14,22:23,22:23,18mu09646,mullaney hall,pula w/alcohol/student misconduct,Monmouth University
2018-12-18,2018-12-18,19:34,19:34,18mu09745,elmwood hall,poss of marijuana/stud mis,Monmouth University
2019-01-05,2019-01-05,11:30,13:46,19mu00086,lot 11,leaving scene mva / careless driving,Monmouth University
2019-01-08,2019-01-08,12:44,13:46,19mu00144,payroll office,fraud,Monmouth University
2019-01-21,2019-01-21,13:39,13:40,19mu00420,lot 6,harassment,Monmouth University
2019-01-21,2019-01-21,22:32,22:31,19mu00432,mullaney hall,pula / student misconduct,Monmouth University
2019-01-22,2019-01-22,02:00,11:29,19mu00450,laurel hall,dv simple assault / student misconduct,Monmouth University
2019-01-25,2019-01-25,02:30,02:30,19mu00531,elmwood hall,pula / student misconduct,Monmouth University
2019-01-25,2019-01-25,09:50,10:45,19mu00543,edison science,theft,Monmouth University
2019-01-26,2019-01-26,21:42,21:42,19mu00579,hesse hall,pula / student misconduct,Monmouth University
2019-01-27,2019-01-27,01:33,01:33,19mu00587,oakwood hall,pula / student misconduct,Monmouth University
2019-01-30,2019-01-30,16:07,16:07,19mu00684,bay hall,unlawful possession of weapon / student misconduct,Monmouth University
2019-02-01,2019-01-28,14:00,15:02,19mu00745,beechwood hall,theft,Monmouth University
2019-02-02,2019-02-02,00:19,00:19,19mu00762,elmwood hall,pula / student misconduct,Monmouth University
2019-02-07,NA,19:45,09:50,19mu00909,lot 3,criminal mischief,Monmouth University
2019-02-07,2019-02-07,20:46,20:46,19mu00929,student center,suspicious person/soliciting,Monmouth University
2019-02-09,2019-02-09,15:51,15:51,19mu00986,beechwood hall,harassment,Monmouth University
2019-02-10,2019-02-10,02:58,02:58,19mu00996,spruce hall,pula / student misconduct,Monmouth University
2019-02-10,2019-02-10,03:52,03:52,19mu00998,elmwood hall,endangerment / pula / student misconduct,Monmouth University
2019-02-11,2019-02-11,20:54,20:54,19mu01042,willow hall,poss. cds / pula / student misconduct,Monmouth University
2019-02-12,2019-02-12,09:37,09:37,19mu01057,cedar hall,theft - fire extinguisher $100,Monmouth University
2019-02-12,2019-02-12,10:29,10:29,19mu01059,lot 10,student misconduct,Monmouth University
2019-02-14,2019-02-14,17:44,17:44,19mu01125,lake road,student misconduct,Monmouth University
2019-02-17,2019-02-17,01:30,01:30,19mu01194,elmwood hall,poss cds / para. / pula / student misconduct,Monmouth University
2019-02-19,2019-02-19,22:54,22:54,19mu01273,fitness center,student misconduct,Monmouth University
2019-02-20,2019-02-20,17:11,17:11,19mu01291,elmwood hall,poss. cds / student misconduct,Monmouth University
2019-02-20,2019-02-20,23:10,23:10,19mu01298,elmwood hall,criminal mischief - bias incident,Monmouth University
2019-02-20,2019-02-20,23:15,23:15,19mu01299,willow hall,poss. cds / para / student misconduct,Monmouth University
2019-02-21,2019-02-21,11:00,12:03,19mu01315,elmwood hall,poss. stolen property,Monmouth University
2019-02-24,2019-02-24,02:10,02:10,19mu01397,laurel hall,student misconduct,Monmouth University
2019-02-26,2019-02-26,14:55,14:55,19mu01466,elmwood hall,defiant trespass,Monmouth University
2019-02-28,2019-02-28,10:50,10:50,19mu01518,all north end res halls,solicitors on campus,Monmouth University
2019-03-02,2019-03-02,02:51,02:51,19mu01575,hesse hall,pula w/alcohol / student misconduct,Monmouth University
2019-03-02,2019-03-02,22:23,22:23,19mu01594,cedar hall,pula w/alcohol / student misconduct,Monmouth University
2019-03-04,NA,16:00,09:50,19mu01631,parking lot 3,criminal mischief,Monmouth University
2019-03-05,NA,14:30,08:54,19mu01661,boylan gym,criminal mischief,Monmouth University
2019-03-07,2019-03-07,10:40,10:40,19mu01733,parking lot 14,student misconduct,Monmouth University
2019-03-09,2019-03-09,02:02,02:02,19mu01784,parking lot 8,criminal mischief/student misconduct,Monmouth University
2019-03-10,2019-03-10,01:10,01:10,19mu01815,parking lot 6,pula w/alcohol/non-member,Monmouth University
2019-03-11,2019-03-06,13:00,16:00,19mu01871,parking lot 14,theft (from auto),Monmouth University
2019-03-12,2019-02-20,21:09,12:30,19mu01897,cashier's office,credit card fraud/student misconduct,Monmouth University
2019-03-12,2019-03-04,12:00,16:30,19mu01903,oakwood hall,theft (raincoat/from residential hall),Monmouth University
2019-03-12,2019-03-12,17:30,17:30,19mu01906,howard hall,false public alarm/from e-phone in elevator,Monmouth University
2019-03-13,2019-03-13,04:53,04:53,19mu01922,student center,pula w/alcohol/student misconduct,Monmouth University
2019-03-15,NA,15:00,08:42,19mu01986,monmouth university,motor vehicle theft (golf cart),Monmouth University
2019-03-15,2019-03-15,18:49,18:49,19mu02002,laurel hall,pssn of drug paraphernalia (found contraband),Monmouth University
2019-03-15,2019-03-15,18:54,18:54,19mu02003,cedar hall,pssn of cds (marijuana-found contraband),Monmouth University
2019-03-26,2019-03-26,08:45,09:00,19mu02247,student center,harassment,Monmouth University
2019-03-27,2019-03-27,14:17,14:17,19mu02286,student center,terroristic threats/harassment,Monmouth University
2019-03-28,2019-03-28,13:00,14:10,19mu02319,parking lot 11,student misconduct,Monmouth University
2019-03-28,2019-03-28,22:01,22:01,19mu02330,elmwood hall,theft/criminal mischief/student misconduct,Monmouth University
2018-03-29,2018-03-26,10:00,17:30,19mu02350,mullaney hall,theft,Monmouth University
2019-04-02,2019-04-02,11:17,11:17,19mu02455,garden apts,theft - unfounded,Monmouth University
2019-04-03,NA,10:00,08:37,19mu02482,great lawn,theft - recovered,Monmouth University
2019-04-03,NA,21:30,19:45,19mu02499,600 building,theft,Monmouth University
2019-04-04,2019-04-04,18:29,18:29,19mu02525,parking lot 25,student misconduct,Monmouth University
2019-04-05,2019-04-05,02:52,02:52,19mu02543,mullaney hall,pula w/alcohol/student misconduct,Monmouth University
2019-04-08,NA,11:58,14:57,19mu02644,parking lot 13,student misconduct,Monmouth University
2019-04-12,2019-04-12,16:32,16:32,19mu02767,student center,criminal mischief/student misconduct,Monmouth University
2019-04-12,2019-04-12,18:00,18:00,19mu02772,boylan gym,criminal mischief,Monmouth University
2019-04-15,2019-04-15,11:38,11:38,19mu02854,pinewood hall,pssn of drug paraphernalia/student misconduct,Monmouth University
2019-04-15,2019-04-15,15:05,15:05,19mu02862,redwood hall,pssn of drug paraphernalia/student misconduct,Monmouth University
2019-04-15,2019-04-12,11:40,19:08,19mu02872,bey hall,burglary/theft (over $500),Monmouth University
2019-04-17,2019-04-17,10:10,11:45,19mu02922,"ofbc, 2nd floor",theft,Monmouth University
2019-04-18,2019-04-18,10:52,10:52,19mu02948,pinewood hall,pula w/alcohol/false id/student misconduct,Monmouth University
2019-04-20,2019-04-20,15:09,15:09,19mu03005,lot 14,criminal mischief (to auto),Monmouth University
2019-04-21,2019-04-21,01:43,01:43,19mu03020,hesse hall,pula w/alcohol/student misconduct,Monmouth University
2019-04-28,2019-04-28,09:00,09:00,19mu03211,quad,criminal mischief,Monmouth University
2019-04-28,2019-04-28,13:23,13:23,19mu03216,elmwood hall,pula w/alcohol/student misconduct,Monmouth University
2019-05-06,2019-05-06,11:30,12:30,19mu03450,bey hall,theft/,Monmouth University
2019-05-07,2019-05-07,13:08,13:08,19mu03481,beechwood hall,criminal mischief,Monmouth University
2019-05-15,2019-05-15,08:30,08:30,19mu03676,facilities management,burglary/theft,Monmouth University
2019-05-28,2019-05-28,09:51,09:51,19mu03973,maplewood hall,burglary/theft,Monmouth University
2019-05-23,2019-05-23,10:20,10:20,19mu03868,mupd,bias incident (did not occur on campus),Monmouth University
2048-06-01,2019-06-18,09:00,09:00,19mu04482,spruce hall,criminal mischief / damage to mu property,Monmouth University
2019-07-01,2019-07-01,00:46,00:46,19mu04814,off campus,student misconduct,Monmouth University
2019-07-02,2019-07-02,14:00,19:45,19mu04893,mcallan hall,theft (unfounded),Monmouth University
2019-07-03,2019-07-03,21:39,21:39,19mu04897,maplewood hall,student misconduct,Monmouth University
2019-07-19,2019-07-19,12:27,19:51,19mu05251,spruce hall,theft by deception,Monmouth University
2019-07-29,2019-07-29,09:00,10:17,19mu05460,edison science,harassment (bias incident),Monmouth University
2019-08-02,2019-08-02,09:51,09:51,19mu05555,maplewood hall,poss cds / para. / student misconduct,Monmouth University
2019-08-09,2019-08-07,10:30,13:06,19mu05811,mu campus,simple assault/poss of weapon on school prop,Monmouth University
2019-08-15,2019-07-23,17:00,12:53,19mu05832,ofbc,theft,Monmouth University
2019-08-18,2019-08-18,10:49,10:49,19mu05898,boylan gym,violation of restraining order,Monmouth University
2019-08-27,2019-08-27,20:27,20:27,19mu06094,ofbc,trespassing/loitering,Monmouth University
2019-09-02,2019-09-02,02:16,02:16,19mu06210,beechwood hall,pula w/alcohol/student misconduct,Monmouth University
2019-09-02,2019-09-02,11:30,14:01,19mu06219,spruce hall,theft/misc/$75/no cash/other (outside),Monmouth University
2019-09-03,2019-09-03,01:07,01:07,19mu06230,pinewood hall,pula w/alcohol/student misconduct,Monmouth University
2019-09-04,2019-09-04,02:58,02:58,19mu06270,elmwood hall,pula w/alcohol/student misconduct,Monmouth University
2019-09-06,2019-09-06,16:42,18:32,19mu06356,hesse hall,theft/clothing from dryer,Monmouth University
2019-09-08,2019-09-08,04:58,04:58,19mu06412,laurel hall,sexual assault,Monmouth University
2019-09-09,2019-09-09,09:09,09:09,19mu06444,student center,criminal mischief,Monmouth University
2019-09-09,2019-09-09,10:00,13:28,19mu06455,monmouth university,criminal mischief,Monmouth University
2019-09-10,2019-09-06,23:00,17:50,19mu06493,elmwood hall,sexual assault,Monmouth University
2019-09-14,2019-09-14,21:30,21:27,19mu06613,cedar hall,disorderly/pula w/alcohol/student misconduct,Monmouth University
2019-09-15,2019-09-15,01:13,01:13,19mu06622,pinewood hall,pula w/alcohol/student misconduct,Monmouth University
2019-09-15,2019-09-15,01:44,01:44,19mu06625,beechwood hall,pula w/alcohol/student misconduct,Monmouth University
2019-09-16,2019-09-16,01:58,01:58,19mu06652,long branch,student misconduct (pula w/alcohol),Monmouth University
2019-09-18,2019-09-18,21:01,21:02,19mu06740,oakwood hall,criminal mischief,Monmouth University
2019-09-22,2019-09-22,13:42,13:42,19mu06848,spruce hall,student misconduct,Monmouth University
2019-09-23,2019-09-23,21:35,21:35,19mu06880,garden apts,harassment,Monmouth University
2019-09-26,2019-09-26,12:00,16:51,19mu06960,bey hall,harassment/student misconduct,Monmouth University
2019-09-26,2019-09-26,18:22,18:22,19mu06961,willow hall,student misconduct,Monmouth University
2019-09-28,2019-09-28,01:03,01:03,19mu06999,athletics,motor vehicle theft (golf cart/student misconduct),Monmouth University
2019-10-02,2019-10-02,13:50,13:50,19mu07122,great lawn apts,possession of cds (marijuana)/student misconduct,Monmouth University
2019-10-02,2019-10-02,11:16,11:16,19mu07149,"hollywood ave., lb",stalking,Monmouth University
2019-10-03,2019-10-03,14:00,14:43,19mu07155,ofbc,theft,Monmouth University
2019-10-03,2019-10-03,19:45,20:45,19mu07159,boylan gym,theft,Monmouth University
2019-10-05,NA,11:30,15:45,19mu07209,plangere,theft of property lost or mislaid,Monmouth University
2019-10-09,2019-10-09,NA,12:52,19mu07300,north side campus,unlawful placing of handbills on vehicles,Monmouth University
2019-10-12,2019-10-12,01:20,01:20,19mu07374,pinewood hall,pula w/alcohol/student misconduct,Monmouth University
2019-10-13,2019-10-13,01:12,01:12,19mu07402,willow hall,pula w/alcohol/student misconduct,Monmouth University
2019-10-16,NA,00:44,00:44,19mu07488,mullaney hall,criminal mischief,Monmouth University
2019-10-17,2019-10-17,11:30,13:46,19mu07550,edison science,harassment (phone call),Monmouth University
2019-10-19,2019-10-19,12:43,12:43,19mu07622,elmwood hall,pula w/alcohol,Monmouth University
2019-10-19,2019-10-19,13:29,13:29,19mu07623,spruce hall,pula w/alcohol/student misconduct,Monmouth University
2019-10-19,2019-10-19,14:09,14:09,19mu07626,kessler stadium,student misconduct (vaping/disorderly),Monmouth University
2019-10-19,2019-10-19,23:50,23:50,19mu07643,hesse hall,pula w/alcohol/student misconduct,Monmouth University
2019-10-21,2019-10-21,13:25,15:22,19mu07696,bey hall,harassment (instagram direct message),Monmouth University
2019-10-25,2019-10-24,19:30,00:16,19mu07858,boylan gym,theft,Monmouth University
2019-10-22,2019-10-13,01:00,19:00,19mu07751,elmwood hall,sexual assault/student misconduct,Monmouth University
2019-10-22,NA,22:00,16:15,19mu07741,beechwood hall,theft,Monmouth University
2019-10-28,2019-10-28,22:30,22:30,19mu07988,great lawn apts,student misconduct (failed to evacuate during fire alarm),Monmouth University
2019-11-01,2019-11-01,00:58,00:58,19mu08100,hesse hall,pula w/alcohol/student misconduct,Monmouth University
2019-11-01,2019-11-01,10:09,10:09,19mu08112,lot 9,student misconduct (parking/driving complaint),Monmouth University
2019-11-03,2019-11-03,01:43,01:43,19mu08173,cedar hall,dv criminal mischief,Monmouth University
2019-11-03,2019-11-03,01:30,01:30,19mu08174,elmwood hall,pula w/alcohol/student misconduct,Monmouth University
2019-11-04,2019-11-04,11:50,11:50,19mu08228,willow hall,student misconduct (failed to evacuate during fire alarm),Monmouth University
2019-11-05,2019-11-01,NA,13:15,19mu08267,willow hall,placement of placards/ads restricted (bias incident),Monmouth University
2019-11-08,NA,20:30,22:21,19mu08394,laurel hall,theft/property lost or mislaid,Monmouth University
2019-11-11,2019-11-11,13:25,13:25,19mu08485,great lawn,student misconduct,Monmouth University
2019-11-11,2019-11-11,10:05,17:30,19mu08492,lot 14,criminal mischief,Monmouth University
2019-11-15,2019-11-15,14:35,14:35,19mu08633,mupd,identity theft,Monmouth University
2019-11-16,2019-11-16,18:49,18:49,19mu08676,spruce hall,harassment,Monmouth University
2019-11-17,2019-11-17,01:37,01:37,19mu08682,hesse hall,pula w/alcohol/student misconduct,Monmouth University
2019-11-24,2019-11-24,02:04,02:04,19mu08944,hesse hall,pula w/alcohol/student misconduct,Monmouth University
2019-11-26,2019-11-26,09:41,09:41,19mu09016,mullaney hall,criminal mischief,Monmouth University
2019-11-26,2019-11-26,13:21,13:21,19mu09023,hesse hall,pssn of cds (marijuana)/prphrnlia/pula w/alcohol/student misconduct,Monmouth University
2019-11-26,2019-11-10,14:00,15:50,19mu09028,off campus,student misconduct - invasion of privacy,Monmouth University
2019-12-05,2019-12-05,01:24,01:24,19mu09247,elmwood hall,student misconduct,Monmouth University
2019-12-27,2019-12-07,00:19,00:19,19mu09333,elmwood hall,pula / student misconduct,Monmouth University
2019-12-08,2019-12-08,16:45,16:45,19mu09350,long branch,psych,Monmouth University
2019-12-08,2019-12-08,21:34,21:46,19mu09354,mullaney hall,criminal mischief,Monmouth University
2019-12-05,2019-12-05,16:00,23:30,19mu09270,mu corp. park,harassment / student misconduct,Monmouth University
2019-12-10,2019-12-10,14:40,00:44,19mu09406,mullaney hall,criminal mischief,Monmouth University
2019-12-10,2019-12-10,14:00,16:41,19mu09409,pozycki hall,theft - unfounded,Monmouth University
2019-12-11,NA,08:00,17:35,19mu09441,plangere,theft,Monmouth University
2019-12-14,2019-12-14,13:33,13:33,19mu09526,mullaney hall,criminal mischief,Monmouth University
2019-12-13,2019-12-13,22:20,22:20,19mu09508,hesse hall,poss. cds/para - student misconduct,Monmouth University
2019-12-14,2019-12-14,20:47,20:47,19mu09536,mullaney hall,criminal mischief,Monmouth University
2019-12-14,2019-12-14,23:47,23:47,19mu09543,mullaney hall,pssn of cds (marijuana)/prphrnlia/pula w/alcohol/student misconduct,Monmouth University
2019-12-15,2019-12-15,22:00,22:00,19mu09569,elmwood hall,criminal mischief,Monmouth University
2019-12-15,2019-12-15,01:00,15:00,19mu09561,lot 3,harassment,Monmouth University
2019-12-16,NA,13:15,13:00,19mu09588,lot 8,criminal mischief,Monmouth University
2019-12-17,2019-12-17,18:16,18:16,19mu09626,maplewood hall,poss. cds/para - student misconduct,Monmouth University
2019-12-17,2019-12-17,18:41,18:41,19mu09627,hesse hall,poss. para - student misconduct,Monmouth University
2019-12-21,2019-12-21,11:27,11:27,19mu09726,pollack theater,custody dispute,Monmouth University
