date_reported,date_occurred,time_occurred,time_reported,case_number,location,incident,university
2017-10-07,2017-10-07,03:02,03:02,17mu07595,mullaney hall,pula w/alcohol/student misconduct,Monmouth University
2017-10-10,2017-10-03,10:17,11:57,17mu07689,lot 1/traffic office,student misconduct,Monmouth University
2017-10-12,2020-10-11,16:00,09:37,17mu07752,bey hall,theft,Monmouth University
2017-10-13,2017-10-13,01:22,01:22,17mu07776,beechwood hall,pula w/alcohol,Monmouth University
2017-10-13,2017-10-13,03:25,03:25,17mu07779,laurel hall,pula w/alcohol/student misconduct,Monmouth University
2017-10-16,2017-10-16,22:26,22:26,17mu07870,spruce hall,student misconduct,Monmouth University
2017-10-18,2020-10-17,15:00,09:11,17mu07907,366 cedar avenue,criminal mischief,Monmouth University
2017-10-21,2017-10-21,12:26,12:26,17mu08008,bey hall,criminal mischief/disorderly,Monmouth University
2017-10-21,2017-10-21,12:35,12:35,17mu08008,ice house/rechnitz hall,pula w/alcohol,Monmouth University
2017-10-24,2017-10-24,01:15,01:15,17mu08088,laurel hall,pula w/alcohol/student misconduct,Monmouth University
2017-10-26,2017-10-22,17:16,12:00,17mu08127,spruce hall,student misconduct,Monmouth University
2017-10-27,2020-10-26,14:00,14:39,17mu08221,monmouth university,theft (of soccer balls),Monmouth University
2017-10-28,2017-10-28,00:55,00:55,17mu08237,mullaney hall,pula w/alcohol/student misconduct,Monmouth University
2017-10-28,2017-10-28,13:04,13:04,17mu08247,library,suicidal person,Monmouth University
2017-10-29,2017-10-29,01:28,01:28,17mu08266,maplewood hall,dv terroristic threats/harassment,Monmouth University
2017-10-28,2017-10-28,01:30,01:30,17mu08267,shore road,pula w/alcohol/student misconduct,Monmouth University
2017-10-31,2020-10-30,16:00,07:11,17mu08337,sosweetacat field/kessler stdm,bias criminal mischief (graffiti),Monmouth University
2017-11-03,2017-11-03,15:00,16:15,17mu08458,student center,theft,Monmouth University
2017-11-06,2017-11-06,19:06,NA,17mu08547,willow hall,poss. of marijuana/paraphernalia,Monmouth University
2017-11-09,2017-11-09,15:30,15:30,17mu08631,fitness center,student misconduct,Monmouth University
2017-11-10,2017-11-10,01:44,01:44,17mu08649,beechwood hall,pula w/alcohol/student misconduct,Monmouth University
2017-11-12,2017-11-12,04:13,04:13,17mu08711,pinewood hall,pula w/alcohol,Monmouth University
2017-11-13,2020-09-05,09:00,10:49,17mu08750,mupd,student misconduct,Monmouth University
2017-11-14,2017-11-14,15:48,15:48,17mu08791,mullaney hall,poss. of cds/paraphernalia/alcohol u/age,Monmouth University
2017-11-14,2017-11-14,16:17,16:17,17mu08792,hesse hall,poss. of cds/paraphernalia/alcohol u/age,Monmouth University
2017-11-15,2017-11-15,08:30,13:42,17mu08820,ocean first bank center,simple assault/student misconduct,Monmouth University
2017-11-15,2017-11-15,18:25,19:41,17mu08833,boylan gym,theft,Monmouth University
2017-11-19,2017-11-19,00:44,00:44,17mu08928,beechwood hall,pula w/alcohol/student misconduct,Monmouth University
2017-11-19,2017-11-19,03:51,03:51,17mu08937,pinewood hall,domestic violence simple assault,Monmouth University
2017-11-19,2019-11-18,15:00,19:15,17mu08957,mullaney hall,criminal mischief,Monmouth University
2017-11-27,2017-11-27,10:44,10:44,17mu09186,facilities management,harassment,Monmouth University
2017-12-01,2017-12-01,05:24,05:24,17mu09280,great lawn apts,"sexual assault, dv(harassment) stu. mis.",Monmouth University
2017-12-03,2017-10-22,19:45,11:16,17mu09289,elmwood hall,domestic violence simple assault,Monmouth University
2017-12-03,2017-12-03,01:42,01:42,17mu09318,cedar hall,pula w/alcohol/student misconduct,Monmouth University
2017-12-03,2017-12-03,01:03,01:03,17mu09346,mullaney hall,pula w/alcohol/student misconduct,Monmouth University
2017-12-03,2017-12-03,01:39,01:39,17mu09347,elmwood hall,pula w/alcohol/student misconduct,Monmouth University
2017-12-06,2017-12-06,23:06,23:06,17mu09429,willow hall,student misconduct,Monmouth University
2017-12-06,2017-12-06,10:11,10:11,17mu09441,mupd,student misconduct,Monmouth University
2017-12-06,2017-12-06,19:52,19:52,17mu09466,elmwood hall,student misconduct,Monmouth University
2017-12-06,2017-12-06,19:40,22:58,17mu09470,lot 18,criminal mischief,Monmouth University
2017-12-07,2017-12-07,17:00,17:28,17mu09492,student center,theft of lost/mislaid property,Monmouth University
2017-12-12,2017-12-12,03:50,03:50,17mu09621,pinewood hall,criminal mischief/false public/stud mis.,Monmouth University
2017-12-12,2017-12-12,05:17,05:17,17mu09623,pinewood hall,criminal mischief,Monmouth University
2017-12-12,2017-12-12,16:44,16:44,17mu09641,pinewood hall,student misconduct,Monmouth University
2017-12-13,2017-12-12,17:08,17:34,17mu09672,boylan gym,student misconduct,Monmouth University
2017-12-15,2017-12-15,08:56,08:56,17mu09727,bey hall,employee misconduct,Monmouth University
2017-12-15,2017-12-15,20:30,20:30,17mu09742,mullaney hall,"poss. cds/50,drug para, student mis.",Monmouth University
2017-12-16,2017-12-16,19:45,19:45,17mu09767,bluffs,student misconduct,Monmouth University
2017-12-17,2017-12-16,22:56,22:56,17mu09773,hesse hall,pula w/alcohol/student misconduct,Monmouth University
2017-12-18,NA,19:09,10:01,17mu09809,school of education,e-mail scam,Monmouth University
2017-12-26,2020-12-26,05:35,05:31,17mu10012,willow hall,criminal mischief / pula,Monmouth University
2018-01-08,2017-12-14,16:00,13:11,18mu00177,howard hall,theft,Monmouth University
2018-01-14,2018-01-14,22:12,22:12,18mu00340,elmwood hall,poss. of cds/para./student misconduct,Monmouth University
2018-01-16,2018-01-16,23:06,23:06,18mu00402,hesse hall,pula / student misconduct,Monmouth University
2018-01-16,2018-01-16,23:24,23:24,18mu00403,mullaney hall,pula / student misconduct,Monmouth University
2018-01-17,2018-01-17,01:46,01:46,18mu00407,mullaney hall,poss. of para./student misconduct,Monmouth University
