incident,case_number,date_reported,time_reported,date_occurred,time_occurred,location,university
Theft,2019-0212,2019-08-14,15:00,2019-08-14,15:00,BLDG 43,University of North Florida
Theft,2019-0211,2019-08-07,15:42,2019-08-07,15:42,BLDG 51,University of North Florida
No Crimes Reported,NA,NA,NA,NA,NA,NA,University of North Florida
Vandalism to Auto,2019-0206,2019-07-31,08:40,2019-07-31,08:40,BLDG 38,University of North Florida
Vandalism to Vehicle,2019-0202,2019-07-28,17:36,2019-07-27,17:00,Lot 12,University of North Florida
Sexual Violence,NA,2019-07-19,14:00,NA,NA,On-Campus Housing,University of North Florida
Sexualy Battery,2019-0191,2019-07-05,16:30,2019-07-05,11:00,Osprey Cove,University of North Florida
Theft,2019-0189,2019-07-03,20:45,2019-07-03,18:30,BLDG 61,University of North Florida
Theft,2019-0182,2019-06-26,12:30,2019-06-26,12:20,BLDG 39,University of North Florida
Threat,2019-0179,2019-06-24,20:40,2019-06-24,20:20,THE FLATS,University of North Florida
Threatening Phone Call,2019-0178,2019-06-24,17:30,2019-06-25,15:53,BLDG 53,University of North Florida
Child Abuse/Neglect,2019-0177,2019-06-23,21:13,2019-06-23,21:13,Osprey Fountains,University of North Florida
Theft,2019-0172,2019-06-14,18:20,2019-06-14,16:30,Building 38,University of North Florida
Theft,2019-0169,2019-06-12,12:15,2019-05-07,08:00,Bldg 45,University of North Florida
Burglary to Auto,2019-0160,2019-05-30,19:00,2019-05-30,10:40,NA,University of North Florida
Vandalism to Vehicle,2019-0152,2019-05-19,20:08,2019-05-19,20:15,Lot 5,University of North Florida
Vandalism to Vehicle,2019-0152,2019-05-19,20:08,2019-05-19,20:15,NA,University of North Florida
Theft,2019-0147,2019-05-04,21:30,2019-05-03,18:00,Bldg 46 Hodges,University of North Florida
Theft,2019-0145,2019-05-03,14:14,2019-05-03,12:00,Bldg 42,University of North Florida
Grand Theft,2019-0142,2019-05-02,18:26,2019-05-02,13:15,Bldg. 2/Rm 1018,University of North Florida
Theft,2019-0139,2019-04-29,10:10,2019-04-15,08:30,BLDG 6,University of North Florida
Sexual Violence,NA,NA,NA,NA,NA,On-campus housing,University of North Florida
Vandelisom Business,2019-0135,2019-04-26,15:15,NA,NA,Osprey Fountains,University of North Florida
Theft,2019-0136,2019-04-26,10:14,2019-04-26,07:00,Bldg 12,University of North Florida
Sexual Assault,NA,2019-04-25,14:07,NA,NA,On Campus Housing,University of North Florida
Sexual Assault,NA,2019-04-25,14:07,NA,NA,On Campus Housing,University of North Florida
Sexual Assault,NA,NA,NA,NA,NA,On Campus Housing,University of North Florida
