date_reported,incident,time_occurred,case_number,date_occurred,time_reported,location,university
2018-04-04,"harassment, criminal, off campus, 100 talbot ave, med/som",10:04,18tum‐207‐of,2018-04-04,NA,NA,Tufts University
2018-04-04,"traffic, town by‐law offenses, off campus, 160 college ave, med/som",17:00,18tum‐210‐of,2018-04-04,NA,NA,Tufts University
2018-07-26,"theft from building, off campus, 1 winthrop st, med/som",17:01,18tum‐411‐of,2018-07-26,NA,NA,Tufts University
2018-07-16,"destruction / damage / vandalism of property, off campus, lower campus rd, med/som",17:00,18tum‐402‐of,2018-07-12,NA,NA,Tufts University
2018-07-16,"act of intolerance, religion (university policy), off campus, 163 college ave, med/som",15:30,18tum‐404‐of,2018-07-16,NA,NA,Tufts University
2018-07-12,"burglary / breaking and entering, off campus, college ave, somerville",03:15,18tum‐399‐of,2018-07-11,NA,NA,Tufts University
2018-06-28,"destruction / damage / vandalism of property, off campus, lower campus rd, med/som",00:00,18tum‐384‐of,2018-06-28,NA,NA,Tufts University
2018-06-26,"theft from building, off campus, 28 capen st, med/som",11:00,18tum‐383‐of,2018-06-13,NA,NA,Tufts University
2018-06-24,"burglary / breaking and entering, off campus, 100 talbot ave, med/som",02:36,18tum‐382‐of,2018-06-24,NA,NA,Tufts University
2018-06-21,"larceny, other type, off campus, upland rd, medford",08:01,18tum‐378‐of,2018-06-21,NA,NA,Tufts University
2018-06-20,"theft from building, off campus, 163 college ave, med/som",15:07,18tum‐376‐of,2018-06-20,NA,NA,Tufts University
2018-06-17,"theft from building, off campus, 35 professors row, med/som",20:00,18tum‐370‐of,2018-06-17,NA,NA,Tufts University
2018-06-08,"destruction / damage / vandalism of property, off campus, 25 latin way, med/som",13:30,18tum‐361‐of,2018-06-06,NA,NA,Tufts University
2018-07-31,"theft from building, off campus, 95 talbot ave, med/som",17:00,18tum‐414‐of,2018-02-01,NA,NA,Tufts University
2018-08-09,"larceny, other type, off campus, 200 boston ave, med/som",09:00,18tum‐423‐of,2018-08-09,NA,NA,Tufts University
2018-08-06,"intimidation, off campus, 419 boston ave, med/som",22:09,18tum‐421‐of,2018-08-05,NA,NA,Tufts University
2018-08-17,"larceny, other type, off campus, 45 talbot ave, med/som",16:10,18tum‐431‐of,2018-08-16,NA,NA,Tufts University
2018-08-03,"theft from building, off campus, 8 upper campus rd, med/som",13:00,18tum‐420‐of,2018-07-31,NA,NA,Tufts University
2018-08-20,"burglary / breaking and entering, off campus, boston ave, medford",12:00,18tum‐432‐of,2018-05-15,NA,NA,Tufts University
2018-08-29,"traffic, town by‐law offenses, off campus, college ave, medford",10:00,18tum‐440‐of,2018-08-29,NA,NA,Tufts University
2018-09-03,"noise violation (university policy), off campus, adams st, medford",23:17,18tum‐450‐of,2018-09-02,NA,NA,Tufts University
2018-09-03,"noise violation (university policy), off campus, college ave, medford",23:58,18tum‐451‐of,2018-09-02,NA,NA,Tufts University
2018-08-29,"disorderly conduct, off campus, 20 lower campus rd, med/som",09:13,18tum‐439‐of,2018-08-29,NA,NA,Tufts University
2018-08-13,"theft from building, off campus, north st, medford",07:00,18tum‐427‐of,2018-08-13,NA,NA,Tufts University
2018-09-07,"attempt to commit crime, off campus, 4 colby st, med/som",14:15,18tum‐467‐of,2018-09-07,NA,NA,Tufts University
2018-09-07,"theft from building, off campus, 2 north hill rd, med/som",17:20,18tum‐468‐of,2018-09-06,NA,NA,Tufts University
2018-09-04,"theft from motor vehicle, off campus, 504 boston ave, med/som",13:00,18tum‐455‐of,2018-09-01,NA,NA,Tufts University
2018-08-09,"destruction / damage / vandalism of property, off campus, 1 the green , med/som",12:00,18tum‐422‐of,2018-08-09,NA,NA,Tufts University
2018-09-13,"intimidation, off campus, 419 boston ave, med/som",12:57,18tum‐499‐of,2018-09-11,NA,NA,Tufts University
2018-09-12,"traffic, town by‐law offenses, off campus, 574 boston ave, med/som",15:30,18tum‐494‐of,2018-09-10,NA,NA,Tufts University
2018-09-12,"false pretenses / swindle / confidence game, off campus, 419 boston ave, med/som",07:00,18tum‐496‐of,2018-09-12,NA,NA,Tufts University
2018-09-19,"larceny, other type, off campus, 387 boston ave, med/som",20:30,18tum‐511‐of,2018-09-14,NA,NA,Tufts University
2018-09-29,"larceny, other type, off campus, 28 lower campus rd, med/som",13:30,18tum‐535‐of,2018-09-29,NA,NA,Tufts University
2018-10-01,"theft from building, off campus, 163 college ave, med/som",19:30,18tum‐541‐of,2018-10-01,NA,NA,Tufts University
2018-10-14,"destruction / damage / vandalism of property, off campus, 165 college ave, med/som",11:00,18tum‐576‐of,2018-10-14,NA,NA,Tufts University
2018-10-12,"suspicion of drug use (university policy), off campus, 134 professors row, med/som",00:21,18tum‐562‐of,2018-10-12,NA,NA,Tufts University
2018-10-21,"disorderly conduct, off campus, 55 professors row, med/som",01:40,18tum‐592‐of,2018-10-21,NA,NA,Tufts University
2018-10-21,"trespass of real property, off campus, 220 packard ave, med/som",01:46,18tum‐593‐of,2018-10-21,NA,NA,Tufts University
2018-10-22,"false pretenses / swindle / confidence game, off campus, 419 boston ave, med/som",13:59,18tum‐601‐of,2018-10-21,NA,NA,Tufts University
2018-11-01,"act of intolerance, race/ethnicity/nat'l origin (university policy), off campus, the green , med/som",00:00,18tum‐624‐of,2018-11-01,NA,NA,Tufts University
2018-10-31,"intimidation, off campus, 5 the green , med/som",12:00,18tum‐622‐of,2018-10-31,NA,NA,Tufts University
2018-10-28,"larceny, other type, off campus, frederick ave, medford",22:00,18tum‐619‐of,2018-10-26,NA,NA,Tufts University
2018-11-11,"larceny, other type, off campus, 15 talbot ave, med/som",20:12,18tum‐655‐of,2018-11-08,NA,NA,Tufts University
2018-11-19,"disorderly conduct, off campus, 11 winthrop st, med/som",00:44,18tum‐677‐of,2018-11-19,NA,NA,Tufts University
2018-11-18,"larceny, other type, off campus, 35 professors row, med/som",15:00,18tum‐676‐of,2018-11-15,NA,NA,Tufts University
2018-11-15,"theft from building, off campus, 40 lower campus rd, med/som",14:00,18tum‐667‐of,2018-11-01,NA,NA,Tufts University
2018-11-20,"larceny, other type, off campus, packard ave, med/som",10:00,18tum‐679‐of,2018-11-16,NA,NA,Tufts University
2018-01-20,"theft from building, off campus, 163 college ave, med/som",11:30,18tum‐29‐of,2018-01-20,NA,NA,Tufts University
2018-01-16,"robbery, off campus, 160 college ave, med/som",20:17,18tum‐17‐of,2018-01-16,NA,NA,Tufts University
2018-11-30,"destruction / damage / vandalism of property, off campus, 30 lower campus rd, med/som",21:00,18tum‐693‐of,2018-11-30,NA,NA,Tufts University
2018-11-29,"harassment, criminal, off campus, 419 boston ave, med/som",21:23,18tum‐689‐of,2018-11-29,NA,NA,Tufts University
2018-12-02,"larceny, other type, off campus, riverside ave, medford",16:00,18tum‐699‐of,2018-12-02,NA,NA,Tufts University
2018-12-09,"smoke detector violation, off campus, 40 lower campus rd, med/som",15:10,18tum‐716‐of,2018-12-09,NA,NA,Tufts University
2018-11-26,"traffic, town by‐law offenses, off campus, 105r college ave, med/som",08:30,18tum‐686‐of,2018-11-19,NA,NA,Tufts University
2018-12-14,"forcible fondling, off campus, dearborn rd, somerville",20:30,18tum‐725‐of,2018-12-14,NA,NA,Tufts University
2018-12-27,"theft from building, off campus, 165 holland st, med/som",16:01,18tum‐737‐of,2018-12-27,NA,NA,Tufts University
2018-12-15,"burglary / breaking and entering, off campus, fairmount st, medford",03:00,18tum‐730‐of,2018-12-15,NA,NA,Tufts University
2018-01-25,"larceny, other type, off campus, 26 lower campus rd, med/som",15:17,18tum‐39‐of,2018-01-25,NA,NA,Tufts University
2018-01-22,"burglary / breaking and entering, off campus, 12 upper campus rd, med/som",08:15,18tum‐34‐of,2018-01-22,NA,NA,Tufts University
2018-01-26,"theft from building, off campus, 200 packard ave, med/som",23:00,18tum‐43‐of,2018-01-25,NA,NA,Tufts University
2018-02-02,"larceny, other type, off campus, aliceanna st, baltimore",15:00,18tum‐59‐of,2018-02-01,NA,NA,Tufts University
2018-01-31,"destruction / damage / vandalism of property, off campus, 43 latin way, med/som",01:30,18tum‐53‐of,2018-01-28,NA,NA,Tufts University
2018-02-01,"harassment, criminal, off campus, 163 college ave, med/som",12:00,18tum‐56‐of,2018-01-05,NA,NA,Tufts University
2018-02-17,"destruction / damage / vandalism of property, off campus, 30 lower campus rd, med/som",10:40,18tum‐97‐of,2018-02-17,NA,NA,Tufts University
2018-05-31,"larceny, other type, off campus, 165 college ave, med/som",12:00,18tum‐350‐of,2018-05-31,NA,NA,Tufts University
2018-03-07,"destruction / damage / vandalism of property, off campus, 3 winthrop st, med/som",12:00,18tum‐157‐of,2018-02-08,NA,NA,Tufts University
2018-03-07,"traffic, town by‐law offenses, off campus, 40 talbot ave, med/som",18:11,18tum‐159‐of,2018-03-07,NA,NA,Tufts University
2018-03-06,"harassment, criminal, off campus, 40 lower campus rd, med/som",09:00,18tum‐153‐of,2017-12-15,NA,NA,Tufts University
2018-03-03,"theft from motor vehicle, off campus, college ave, medford",10:15,18tum‐145‐of,2018-03-03,NA,NA,Tufts University
2018-03-02,"simple assault, off campus, 200 boston ave, med/som",13:38,18tum‐140‐of,2018-03-02,NA,NA,Tufts University
2018-03-02,"theft from building, off campus, 165 college ave, med/som",19:30,18tum‐142‐of,2018-03-02,NA,NA,Tufts University
2018-03-10,"computer system, unauthorized access to, off campus, 419 boston ave, med/som",16:59,18tum‐164‐of,2018-03-02,NA,NA,Tufts University
2018-03-13,"theft from building, off campus, 26 lower campus rd, med/som",00:51,18tum‐172‐of,2018-03-13,NA,NA,Tufts University
2018-03-14,"theft from building, off campus, 210 packard ave, med/som",12:00,18tum‐175‐of,2018-02-26,NA,NA,Tufts University
2018-03-15,"theft from building, off campus, 163 college ave, med/som",19:30,18tum‐177‐of,2018-03-15,NA,NA,Tufts University
2018-03-21,"burglary / breaking and entering, off campus, 80 north hill rd, med/som",21:22,18tum‐183‐of,2018-03-21,NA,NA,Tufts University
2018-03-29,"destruction / damage / vandalism of property, off campus, 12 upper campus rd, med/som",16:45,18tum‐198‐of,2018-03-29,NA,NA,Tufts University
2018-03-25,"theft from building, off campus, 163 college ave, med/som",22:17,18tum‐188‐of,2018-03-25,NA,NA,Tufts University
2018-05-19,"larceny, other type, off campus, 15 talbot ave, med/som",20:00,18tum‐334‐of,2018-05-19,NA,NA,Tufts University
2019-01-07,"traffic, town by‐law offenses, off campus, 160 college ave, med/som",11:45,19tum‐4‐of,2019-01-07,NA,NA,Tufts University
2018-12-20,"theft from building, off campus, 200 packard ave, med/som",09:00,18tum‐733‐of,2018-12-14,NA,NA,Tufts University
2019-09-08,"drunkenness, off campus, powderhouse blvd, somerville",02:45,19tum‐429‐of,2019-09-08,NA,NA,Tufts University
2019-09-07,"arson, off campus, 15 talbot ave, med/som",22:10,19tum‐422‐of,2019-09-06,NA,NA,Tufts University
2019-09-05,"theft from building, off campus, 35 professors row, med/som",14:00,19tum‐413‐of,2019-09-05,NA,NA,Tufts University
2019-08-28,"theft from building, off campus, 1025 beacon st, bsmfa",14:00,19tum‐387‐of,2019-08-24,NA,NA,Tufts University
2019-08-27,"larceny, other type, off campus, 8 upper campus rd, med/som",09:00,19tum‐384‐of,2019-08-24,NA,NA,Tufts University
2019-08-13,"theft from building, off campus, 1 winthrop st, med/som",09:00,19tum‐375‐of,2019-08-03,NA,NA,Tufts University
2019-08-10,"burglary / breaking and entering, off campus, 30 lower campus rd, med/som",01:50,19tum‐53‐ar,2019-08-10,NA,NA,Tufts University
2019-08-05,"theft from building, off campus, 1 winthrop st, med/som",07:00,19tum‐365‐of,2019-08-02,NA,NA,Tufts University
2019-08-05,"theft from building, off campus, 1 winthrop st, med/som",07:00,19tum‐366‐of,2019-08-02,NA,NA,Tufts University
2019-07-30,"traffic, town by‐law offenses, off campus, 161 college ave, med/som",18:45,19tum‐357‐of,2019-07-30,NA,NA,Tufts University
2019-09-16,"failure to evacuate during fire alarm (university policy), off campus, 40 lower campus rd, med/som",20:57,19tum‐458‐of,2019-09-16,NA,NA,Tufts University
2019-09-18,"traffic, town by‐law offenses, off campus, 1 lower campus rd, med/som",09:00,19tum‐461‐of,2019-09-18,NA,NA,Tufts University
2019-09-16,"intimidation, harleston hall, 30 lower campus rd, med/som",15:45,19tum‐455‐of,2019-09-15,NA,NA,Tufts University
2019-09-24,"trespass of real property, tisch library, 35 professors row, med/som",07:30,19tum‐80‐ar,2019-09-24,NA,NA,Tufts University
2019-09-26,"trespass of real property, tisch library roof (alex's place), 5r the green , med/som",20:44,19tum‐431‐of,2019-08-25,NA,NA,Tufts University
2019-08-09,"destruction / damage / vandalism of property, shoemaker boathouse, 300 river's edge dr, med/som",15:00,19tum‐374‐of,2019-08-07,NA,NA,Tufts University
2019-10-06,"destruction / damage / vandalism of property, aidekman arts center, 40 talbot ave, med/som",21:00,19tum‐509‐of,2019-09-30,NA,NA,Tufts University
2019-10-03,"destruction / damage / vandalism of property, lewis hall, 85 packard ave, med/som",23:48,19tum‐500‐of,2019-10-02,NA,NA,Tufts University
2019-10-01,"larceny, other type, cousens lot, 163 college ave, med/som",19:00,19tum‐496‐of,2019-09-30,NA,NA,Tufts University
2019-09-24,"theft from building, dewick macphie dining hall, 25 latin way, med/som",18:00,19tum‐471‐of,2019-09-22,NA,NA,Tufts University
2019-10-25,"destruction / damage / vandalism of property, spicer field, 160g college ave, med/som",15:30,19tum‐571‐of,2019-10-25,NA,NA,Tufts University
2019-10-22,"trespass of real property, tisch library, 35 professors row, med/som",16:45,19tum‐104‐ar,2019-10-22,NA,NA,Tufts University
2019-10-22,"false pretenses / swindle / confidence game, off campus, ossipee rd, somerville",23:17,19tum‐558‐of,2019-10-21,NA,NA,Tufts University
2019-10-21,"theft from building, mayer campus center, 44 professors row, med/som",12:18,19tum‐555‐of,2019-10-21,NA,NA,Tufts University
2019-10-20,"destruction / damage / vandalism of property, lewis hall, 85 packard ave, med/som",17:00,19tum‐549‐of,2019-10-19,NA,NA,Tufts University
2019-10-09,"larceny, other type, eaton hall, 5 the green , med/som",14:46,19tum‐514‐of,2019-10-08,NA,NA,Tufts University
2019-11-09,"burglary / breaking and entering, wilson house, 136 curtis st, med/som",12:00,19tum‐621‐of,2019-09-29,NA,NA,Tufts University
2019-11-03,"malicious fire extinguisher discharge (university policy), west hall, 175 packard ave, med/som",01:13,19tum‐604‐of,2019-11-03,NA,NA,Tufts University
2019-10-31,"trespass of real property, dowling hall, 419 boston ave, med/som",01:30,19tum‐590‐of,2019-10-31,NA,NA,Tufts University
2019-10-29,"trespass of real property, west hall, 175 packard ave, med/som",16:50,19tum‐107‐ar,2019-10-29,NA,NA,Tufts University
2019-10-29,"theft from building, tisch library, 35 professors row, med/som",00:05,19tum‐584‐of,2019-10-29,NA,NA,Tufts University
2019-10-25,"theft from building, science & engineering complex, 200 college ave, med/som",17:00,19tum‐567‐of,2019-10-21,NA,NA,Tufts University
2019-10-24,"destruction / damage / vandalism of property, 550 boston ave, 550 boston ave, med/som",16:15,19tum‐563‐of,2019-10-23,NA,NA,Tufts University
2019-09-28,"destruction / damage / vandalism of property, harleston hall, 30 lower campus rd, med/som",01:00,19tum‐481‐of,2019-09-28,NA,NA,Tufts University
2019-09-27,"traffic, town by‐law offenses, campus center, latin way, med/som",07:15,19tum‐478‐of,2019-09-19,NA,NA,Tufts University
2019-09-14,"theft from building, blakeley hall, 1 winthrop st, med/som",11:00,19tum‐447‐of,2019-05-11,NA,NA,Tufts University
2019-11-20,"theft from building, mayer campus center, 44 professors row, med/som",20:00,19tum-646-of,2019-11-20,NA,NA,Tufts University
2019-11-09,"burglary / breaking and entering, wilson house, 136 curtis st, med/som",12:00,19tum-621-of,2019-09-29,NA,NA,Tufts University
2019-11-03,"malicious fire extinguisher discharge (university policy), west hall, 175 packard ave, med/som",01:13,19tum-604-of,2019-11-03,NA,NA,Tufts University
2019-10-31,"trespass of real property, dowling hall, 419 boston ave, med/som",01:30,19tum-590-of,2019-10-31,NA,NA,Tufts University
2019-10-29,"trespass of real property, west hall, 175 packard ave, med/som",16:50,19tum-107-ar,2019-10-29,NA,NA,Tufts University
2019-10-29,"theft from building, tisch library, 35 professors row, med/som",00:05,19tum-584-of,2019-10-29,NA,NA,Tufts University
2019-10-25,"theft from building, science & engineering complex, 200 college ave, med/som",17:00,19tum-567-of,2019-10-21,NA,NA,Tufts University
2019-10-25,"destruction / damage / vandalism of property, spicer field, 160g college ave, med/som",15:30,19tum-571-of,2019-10-25,NA,NA,Tufts University
2019-10-24,"destruction / damage / vandalism of property, 550 boston ave, 550 boston ave, med/som",16:15,19tum-563-of,2019-10-23,NA,NA,Tufts University
2019-10-22,"trespass of real property, tisch library, 35 professors row, med/som",16:45,19tum-104-ar,2019-10-22,NA,NA,Tufts University
2019-10-22,"false pretenses / swindle / confidence game, off campus, ossipee rd, somerville",23:17,19tum-558-of,2019-10-21,NA,NA,Tufts University
2019-10-21,"theft from building, mayer campus center, 44 professors row, med/som",12:18,19tum-555-of,2019-10-21,NA,NA,Tufts University
2019-10-20,"destruction / damage / vandalism of property, lewis hall, 85 packard ave, med/som",17:00,19tum-549-of,2019-10-19,NA,NA,Tufts University
2019-10-09,"larceny, other type, eaton hall, 5 the green , med/som",14:46,19tum-514-of,2019-10-08,NA,NA,Tufts University
2019-10-06,"act of intolerance, race/ethnicity/nat'l origin (university policy), aidekman arts center, 40 talbot ave, med/som",21:00,19tum-509-of,2019-09-30,NA,NA,Tufts University
2019-10-03,"act of intolerance, sexual orientation (university policy), lewis hall, 85 packard ave, med/som",23:48,19tum-500-of,2019-10-02,NA,NA,Tufts University
2019-10-01,"larceny, other type, cousens lot, 163 college ave, med/som",19:00,19tum-496-of,2019-09-30,NA,NA,Tufts University
2019-09-28,"destruction / damage / vandalism of property, harleston hall, 30 lower campus rd, med/som",01:00,19tum-481-of,2019-09-28,NA,NA,Tufts University
2019-09-27,"traffic, town by-law offenses, campus center, latin way, med/som",07:15,19tum-478-of,2019-09-19,NA,NA,Tufts University
2019-09-26,"trespass of real property, tisch library roof (alex's place), 5r the green , med/som",20:44,19tum-431-of,2019-08-25,NA,NA,Tufts University
2019-09-24,"trespass of real property, tisch library, 35 professors row, med/som",07:30,19tum-80-ar,2019-09-24,NA,NA,Tufts University
2019-09-24,"theft from building, dewick macphie dining hall, 25 latin way, med/som",18:00,19tum-471-of,2019-09-22,NA,NA,Tufts University
2019-12-06,"theft from building, university police station, 419 boston ave, med/som",12:45,19tum-674-of,2019-12-06,NA,NA,Tufts University
2019-12-05,"theft from building, biology department, 200 boston ave, med/som",08:00,19tum-670-of,2019-12-02,NA,NA,Tufts University
2019-12-17,"suspicion of drug use (university policy), metcalf hall, 56 professors row, med/som",21:13,19tum-699-of,2019-12-17,NA,NA,Tufts University
2019-12-16,"intimidation, dewick macphie dining hall, 25 latin way, med/som",16:30,19tum-696-of,2019-12-15,NA,NA,Tufts University
2019-12-14,"destruction / damage / vandalism of property, harleston hall, 30 lower campus rd, med/som",10:06,19tum-693-of,2019-12-14,NA,NA,Tufts University
2019-12-14,"destruction / damage / vandalism of property, bush hall, 29 latin way, med/som",10:30,19tum-694-of,2019-12-14,NA,NA,Tufts University
2019-12-06,"larceny, other type, international center, 20 sawyer ave, med/som",15:00,19tum-673-of,2019-12-05,NA,NA,Tufts University
2019-11-13,"traffic, town by-law offenses, university police station, 419 boston ave, med/som",14:45,19tum-630-of,2019-11-12,NA,NA,Tufts University
2019-11-12,"harassment, criminal, 20 professors row, 20 professors row, med/som",12:40,19tum-627-of,2019-10-14,NA,NA,Tufts University
2019-01-22,"burglary / breaking and entering, off campus, bromfield rd, somerville",01:30,19tum‐21‐of,2019-01-21,NA,NA,Tufts University
2019-01-17,"larceny, other type, off campus, 46 professors row, med/som",16:30,19tum‐10‐of,2019-01-16,NA,NA,Tufts University
2019-01-17,"larceny, other type, off campus, capen st, medford",08:53,19tum‐9‐of,2019-01-17,NA,NA,Tufts University
2019-12-17,"suspicion of drug use (university policy), metcalf hall, 56 professors row, med/som",21:13,19tum‐699‐of,2019-12-17,NA,NA,Tufts University
2019-12-16,"intimidation, dewick macphie dining hall, 25 latin way, med/som",16:30,19tum‐696‐of,2019-12-15,NA,NA,Tufts University
2019-12-14,"destruction / damage / vandalism of property, harleston hall, 30 lower campus rd, med/som",10:06,19tum‐693‐of,2019-12-14,NA,NA,Tufts University
2019-12-14,"destruction / damage / vandalism of property, bush hall, 29 latin way, med/som",10:30,19tum‐694‐of,2019-12-14,NA,NA,Tufts University
2019-12-13,"destruction / damage / vandalism of property, dewick macphie dining hall, 25 latin way, med/som",13:30,19tum‐690‐of,2019-12-12,NA,NA,Tufts University
2019-12-06,"larceny, other type, international center, 20 sawyer ave, med/som",15:00,19tum‐673‐of,2019-12-05,NA,NA,Tufts University
2019-12-06,"theft from building, university police station, 419 boston ave, med/som",12:45,19tum‐674‐of,2019-12-06,NA,NA,Tufts University
2019-12-05,"theft from building, biology department, 200 boston ave, med/som",08:00,19tum‐670‐of,2019-12-02,NA,NA,Tufts University
2019-11-13,"traffic, town by‐law offenses, university police station, 419 boston ave, med/som",14:45,19tum‐630‐of,2019-11-12,NA,NA,Tufts University
2019-11-12,"harassment, criminal, 20 professors row, 20 professors row, med/som",12:40,19tum‐627‐of,2019-10-14,NA,NA,Tufts University
2019-04-15,"larceny, other type, off campus, berwick rd, medford",21:20,19tum‐209‐of,2019-04-14,NA,NA,Tufts University
2019-04-09,"larceny, other type, off campus, 200 boston ave, med/som",20:58,19tum‐188‐of,2019-04-09,NA,NA,Tufts University
2019-03-30,"theft from building, off campus, 387 boston ave, med/som",00:00,19tum‐169‐of,2019-03-27,NA,NA,Tufts University
2019-03-16,"noise violation (university policy), off campus, college ave, somerville",15:25,19tum‐147‐of,2019-03-15,NA,NA,Tufts University
2019-03-10,"disorderly conduct, off campus, 126 packard ave, med/som",23:45,19tum‐134‐of,2019-03-09,NA,NA,Tufts University
2019-03-08,"larceny, other type, off campus, 85 packard ave, med/som",23:15,19tum‐128‐of,2019-03-08,NA,NA,Tufts University
2019-02-26,"act of intolerance, other (university policy), off campus, 1 the green , med/som",08:20,19tum‐108‐of,2019-02-25,NA,NA,Tufts University
2019-05-14,"theft from building, off campus, 47 winthrop st, med/som",14:00,19tum‐288‐of,2019-05-03,NA,NA,Tufts University
2019-05-14,"simple assault, off campus, adams st, medford",20:15,19tum‐289‐of,2019-05-14,NA,NA,Tufts University
2019-05-11,"disorderly conduct, off campus, 160b college ave, med/som",17:51,19tum‐284‐of,2019-05-11,NA,NA,Tufts University
2019-05-08,"forcible fondling, off campus, frederick ave, medford",23:46,19tum‐273‐of,2019-05-07,NA,NA,Tufts University
2019-05-08,"simple assault, off campus, 35 professors row, med/som",16:45,19tum‐275‐of,2019-05-07,NA,NA,Tufts University
2019-04-30,"destruction / damage / vandalism of property, off campus, 85 packard ave, med/som",10:41,19tum‐256‐of,2019-04-30,NA,NA,Tufts University
2019-04-30,"theft from building, off campus, 20 talbot ave, med/som",22:00,19tum‐257‐of,2018-05-02,NA,NA,Tufts University
2019-04-27,"theft from building, off campus, 180 packard ave, med/som",09:00,19tum‐238‐of,2019-04-27,NA,NA,Tufts University
2019-04-27,"theft from building, off campus, 163 college ave, med/som",11:00,19tum‐239‐of,2019-04-27,NA,NA,Tufts University
2019-04-19,"larceny, other type, off campus, 1 winthrop st, med/som",19:00,19tum‐216‐of,2019-04-18,NA,NA,Tufts University
2019-04-19,"destruction / damage / vandalism of property, off campus, 574 boston ave, med/som",18:00,19tum‐217‐of,2019-04-18,NA,NA,Tufts University
2019-04-15,"destruction / damage / vandalism of property, off campus, 210 packard ave, med/som",15:00,19tum‐206‐of,2019-04-12,NA,NA,Tufts University
2019-01-25,"theft from building, off campus, 163 college ave, med/som",17:00,19tum‐27‐of,2019-01-22,NA,NA,Tufts University
2019-01-24,"disorderly conduct, off campus, , med/som",13:51,19tum‐25‐of,2019-01-24,NA,NA,Tufts University
2019-01-23,"larceny, other type, off campus, 170 packard ave, med/som",14:08,19tum‐23‐of,2019-01-23,NA,NA,Tufts University
2019-01-29,"trespass of real property, off campus, 3 the green , med/som",00:23,19tum‐35‐of,2019-01-29,NA,NA,Tufts University
2019-01-29,"theft from building, off campus, 163 college ave, med/som",09:30,19tum‐37‐of,2019-01-29,NA,NA,Tufts University
2019-01-28,"destruction / damage / vandalism of property, off campus, 190 packard ave, med/som",11:40,19tum‐31‐of,2019-01-28,NA,NA,Tufts University
2019-01-30,"theft from building, off campus, sunset rd, somerville",22:30,19tum‐39‐of,2019-01-20,NA,NA,Tufts University
2019-02-03,"destruction / damage / vandalism of property, off campus, 30 lower campus rd, med/som",01:12,19tum‐53‐of,2019-02-03,NA,NA,Tufts University
2019-02-03,"burglary / breaking and entering, off campus, college ave, somerville",18:30,19tum‐56‐of,2019-02-03,NA,NA,Tufts University
2019-02-01,"larceny, other type, off campus, 85 packard ave, med/som",10:00,19tum‐44‐of,2018-12-18,NA,NA,Tufts University
2019-01-31,"intimidation, off campus, 40 lower campus rd, med/som",00:00,19tum‐41‐of,2018-11-15,NA,NA,Tufts University
2019-02-07,"disorderly conduct, off campus, 175 packard ave, med/som",08:30,19tum‐61‐of,2019-01-23,NA,NA,Tufts University
2019-02-14,"theft from building, off campus, 387 boston ave, med/som",23:12,19tum‐78‐of,2019-02-13,NA,NA,Tufts University
2019-02-13,"credit card / automatic teller machine fraud, off campus, old concord rd, burlington",12:00,19tum‐76‐of,2019-02-09,NA,NA,Tufts University
2019-02-07,"intimidation, off campus, 25 latin way, med/som",12:45,19tum‐58‐of,2019-02-05,NA,NA,Tufts University
2019-02-05,"theft from building, off campus, 200 college ave, med/som",20:00,19tum‐57‐of,2019-02-03,NA,NA,Tufts University
2019-05-18,"theft from building, off campus, 4 colby st, med/som",12:00,19tum‐294‐of,2019-05-18,NA,NA,Tufts University
2019-05-30,"extortion / blackmail, off campus, cutter ave, somerville",20:02,19tum‐312‐of,2019-05-21,NA,NA,Tufts University
2019-06-28,"traffic, town by‐law offenses, off campus, 100 packard ave, med/som",06:00,19tum‐329‐of,2019-06-28,NA,NA,Tufts University
2019-08-13,"theft from building, off campus, 1 winthrop st, med/som",09:00,19tum-375-of,2019-08-03,NA,NA,Tufts University
2019-08-10,"burglary / breaking and entering, off campus, 30 lower campus rd, med/som",01:50,19tum-53-ar,2019-08-10,NA,NA,Tufts University
2019-08-05,"theft from building, off campus, 1 winthrop st, med/som",07:00,19tum-366-of,2019-08-02,NA,NA,Tufts University
2019-07-30,"traffic, town by-law offenses, off campus, 161 college ave, med/som",18:45,19tum-357-of,2019-07-30,NA,NA,Tufts University
2019-06-28,"traffic, town by-law offenses, off campus, 100 packard ave, med/som",06:00,19tum-329-of,2019-06-28,NA,NA,Tufts University
2015-01-26,"destruction / damage / vandalism of property, south hall, 30 lower campus rd, medford/somerville campus",23:51,15tumͳ56ͳof,2015-01-25,NA,NA,Tufts University
2015-01-26,"credit card / automatic teller machine fraud, latin way dormitory, 40 lower campus rd, medford/somerville campus",12:06,15tumͳ59ͳof,2015-01-26,NA,NA,Tufts University
2015-01-25,"larceny, other type, dowling hall, 419 boston ave, medford/somerville campus",07:00,15tumͳ55ͳof,2015-01-24,NA,NA,Tufts University
2015-01-25,"disorderly conduct, off campus, college ave, somerville",00:50,15tumͳ12ͳar,2015-01-25,NA,NA,Tufts University
2015-01-24,"disorderly conduct, off campus, college ave, somerville",00:28,15tumͳ11ͳar,2015-01-25,NA,NA,Tufts University
2015-01-20,"theft from building, alpha phi sorority house, 14 sawyer ave, medford/somerville campus",15:40,15tumͳ36ͳof,2015-01-20,NA,NA,Tufts University
2015-01-19,"destruction / damage / vandalism of property, davies house, 13 sawyer ave, medford/somerville campus",23:48,15tumͳ29ͳof,2015-01-18,NA,NA,Tufts University
