date_reported,incident,time_occurred,case_number,date_occurred,time_reported,location,university
2017-08-07,"theft from building, off campus, 387 boston ave, med/som",10:00,17tum‐433‐of,2017-08-06,NA,NA,Tufts University
2017-08-06,"theft from building, off campus, 30 lower campus rd, med/som",22:00,17tum‐430‐of,2017-08-04,NA,NA,Tufts University
2017-07-26,"theft from building, off campus, 30 lower campus rd, med/som",00:00,17tum‐411‐of,2017-07-26,NA,NA,Tufts University
2017-07-26,"larceny, other type, off campus, chetwynd rd, somerville",17:00,17tum‐412‐of,2017-07-25,NA,NA,Tufts University
2017-07-26,"theft from building, off campus, 20 talbot ave, med/som",14:30,17tum‐413‐of,2017-07-20,NA,NA,Tufts University
2017-07-18,"theft from building, off campus, 80 north hill rd, med/som",19:00,17tum‐406‐of,2017-07-16,NA,NA,Tufts University
2017-07-17,"larceny, other type, off campus, 419 boston ave, med/som",12:00,17tum‐405‐of,2017-07-16,NA,NA,Tufts University
2017-07-12,"larceny, other type, off campus, 12 upper campus rd, med/som",12:00,17tum‐391‐of,2017-06-30,NA,NA,Tufts University
2017-07-03,"trespass of real property, off campus, 1375 mystic valley pkwy, med/som",18:23,17tum‐382‐of,2017-07-02,NA,NA,Tufts University
2017-06-22,"destruction / damage / vandalism of property, off campus, 1375 mystic valley pkwy, med/som",15:15,17tum‐372‐of,2017-06-22,NA,NA,Tufts University
2017-06-20,"pornography / obscene material, off campus, 1 the green , med/som",20:30,17tum‐368‐of,2017-06-16,NA,NA,Tufts University
2017-06-16,"destruction / damage / vandalism of property, off campus, 20 talbot ave, med/som",17:00,17tum‐367‐of,2017-05-22,NA,NA,Tufts University
2017-08-14,"destruction / damage / vandalism of property, off campus, 167 holland st, med/som",09:00,17tum‐440‐of,2017-08-11,NA,NA,Tufts University
2017-08-02,"larceny, other type, off campus, 4 colby st, med/som",20:00,17tum‐423‐of,2017-08-01,NA,NA,Tufts University
2017-08-17,"theft from building, off campus, 11 winthrop st, med/som",18:00,17tum‐441‐of,2017-08-16,NA,NA,Tufts University
2017-09-01,"robbery, off campus, tremont , boston",23:00,17tum‐454‐of,2017-08-30,NA,NA,Tufts University
2017-08-22,"false pretenses / swindle / confidence game, off campus, 419 boston ave, med/som",08:00,17tum‐445‐of,2017-08-20,NA,NA,Tufts University
