case_number,date_reported,time_reported,date_occurred,time_occurred,location,university,incident
14-1977,2014-12-07,02:13,2014-12-06,01:30,"Private Residence, 5074 College Av, San Diego",San Diego State University,Oral Copulation Use of Force or Injury False Imprison W/Violence
14-1979,2014-12-08,00:20,2014-12-08,00:20,"Parking Structure 6, 5205 East Campus Dr, San Diego",San Diego State University,"Battery: Spouse/Ex Spouse/Date,etc."
14-1983,2014-12-08,03:55,2014-12-08,03:30,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft
14-1986,2014-12-09,03:42,2014-12-09,03:40,"Mts Transit Center, 4510 Alvarado Rd, San Diego",San Diego State University,Poss Controlled Substance-M Outside Agency Warrant
14-1988,2014-12-09,05:39,2014-12-09,05:40,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft
14-1994,2014-12-10,02:45,2014-12-10,02:00,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
14-1997,2014-12-10,05:52,2014-12-10,05:52,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
14-1999,2014-12-10,03:50,2014-12-10,03:50,"Yerba Santa Dr/Montezuma Rd, San Diego",San Diego State University,DUI Alcohol
14-2000,2014-12-11,09:28,2014-12-06,02:08,"College Av/Aztec Circle Dr, San Diego",San Diego State University,Drive W/O License
14-2001,2014-12-11,00:24,NA,NA,"University Towers Residence Hall, 5505 Montezuma Rd, San Diego",San Diego State University,Rape Of Drugged/Intoxicated Victim
14-2005,2014-12-11,07:12,2014-12-11,06:50,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
14-2009,2014-12-12,05:59,2014-12-12,05:59,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft Poss Controlled Substance-M
14-201,2014-02-08,07:34,NA,NA,"University Police, 5350 55TH St, San Diego",San Diego State University,Rape By Force/Fear/Etc
14-2016,2014-12-14,07:31,2014-12-14,07:31,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,"Asslt w/Force:Possible GBI Battery on a Peace Officer/Code Enforcement, etc."
14-2020,2014-12-15,03:23,2014-12-15,03:00,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft
14-2024,2014-12-16,06:49,2014-12-15,06:49,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Vandalism:damage Property
14-2026,2014-12-16,09:27,2014-12-16,09:30,"Parking Structure 6, 5205 East Campus Dr, San Diego",San Diego State University,Vandalism:damage Property
14-2027,2014-12-16,09:18,2014-12-16,09:30,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Vandalism: Destroy Other's Prop Petty Theft
14-2029,2014-12-16,09:18,2014-12-16,09:25,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Vandalism: Destroy Other's Prop Rec Knwn Stoln Prop -$950
14-2033,2014-12-17,00:11,2014-12-17,02:23,"8601 Fletcher Pkwy, San Diego",San Diego State University,Poss Controlled Substance-M
14-2034,2014-12-17,03:20,2014-12-17,02:45,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Petty Theft
14-2036,2014-12-17,00:11,2014-12-17,04:58,"5837 Rancho Mission Rd, San Diego",San Diego State University,Outside Agency Warrant
14-2037,2014-12-17,00:11,2014-12-17,05:07,"5800 Rancho Mission Rd, San Diego",San Diego State University,Outside Agency Bench Warrant
14-2038,2014-12-17,00:11,2014-12-17,05:47,"4510 Alvarado Canyon Rd, San Diego",San Diego State University,Possess Narcotic Cntl Sub
14-2041,2014-12-18,03:46,2014-12-18,03:46,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
14-2043,2014-12-18,06:16,2014-12-18,06:16,"Speech Language And Hearing Scie, 5245 Campanile Dr, San Diego",San Diego State University,Outside Agency Bench Warrant
14-2045,2014-12-19,01:45,2014-12-19,01:45,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
14-2046,2014-12-19,03:55,2014-12-19,04:08,"Montezuma Rd/Campanile Dr, San Diego",San Diego State University,Drive W/O License
14-2048,2014-12-19,06:23,2014-12-18,01:30,"Education And Business Administr, 6040 Aztec Circle Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
14-2050,2014-12-20,00:16,2014-12-20,00:21,"5500 Montezuma Rd, San Diego",San Diego State University,Drive W/License Suspended
14-2052,2014-12-20,01:47,2014-12-20,02:35,"4700 Seminole Dr, San Diego",San Diego State University,DUI Drug
14-2053,2014-12-21,00:25,2014-12-21,00:44,"Interstate 8/LAKE MURRAY/70TH St, San Diego",San Diego State University,Poss Controlled Substance-M Poss Marijuana W/Driving
14-2054,2014-12-21,01:50,2014-12-18,01:15,"Parking Structure 6, 5205 East Campus Dr, San Diego",San Diego State University,Vandalism Less than $400
14-2056,2014-12-16,07:10,2014-12-16,07:10,"Duress PS6 Ext 33806, 5205 East Campus Dr, San Diego",San Diego State University,Vandalism Less than $400
14-2061,2014-12-23,00:38,2014-12-18,06:05,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
14-2064,2014-12-25,01:28,2014-12-25,01:28,"Parking Structure 1, 5355 College Av, San Diego",San Diego State University,Drive W/License Suspended
14-2067,2014-12-26,09:16,2014-12-26,09:50,"5600 Montezuma Rd, San Diego",San Diego State University,Rec Knwn Stoln Prop -$950
