case_number,date_reported,time_reported,date_occurred,time_occurred,location,university,incident
13-1029,2013-07-12,09:18,2013-07-12,08:00,"Dede Alpert Ctr For Community En, 4283 El Cajon Bl, San Diego",San Diego State University,Petty Theft
13-1055,2013-07-20,08:57,NA,NA,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1058,2013-07-20,01:25,2013-07-20,01:25,"5700 Lindo Paseo Av, San Diego",San Diego State University,Under Influence Cntl Sub Possess Unlawful Paraphernalia
13-1064,2013-07-21,03:22,2013-07-21,03:22,"Aztec Corner Apartments 5700, 5700 Montezuma Rd, San Diego",San Diego State University,Robbery
13-1078,2013-07-24,03:55,2013-07-24,03:55,"Language Academy Elementary, 4961 64TH St, San Diego",San Diego State University,Obstruct/Resist Exec Off
13-1095,2013-07-29,08:25,2013-07-26,08:25,"University Towers Residence Hall, 5505 Montezuma Rd, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1114,2013-08-02,08:13,2013-08-02,08:10,"Formerly Delta Gamma Sorority, 5804 Montezuma Rd, San Diego",San Diego State University,Petty Theft Felony comttd while relsd on Bail;2ndary offense
13-1121,2013-08-05,03:29,2013-08-05,03:29,"Parking Structure 5, 5100 55TH St, San Diego",San Diego State University,Attempted Auto Burglary Vandalism:damage Property
13-1137,2013-08-09,08:31,2013-08-09,08:30,"Parking Structure 6, 5205 East Campus Dr, San Diego",San Diego State University,Petty Theft Vandalism Less than $400 Conspiracy:commit Crime
13-1148,2013-08-11,04:22,2013-08-11,04:22,"Parking Structure 5, 5100 55TH St, San Diego",San Diego State University,Vandalism:damage Property
13-1153,2013-08-12,07:57,2013-08-12,07:57,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1159,2013-08-13,06:31,2013-08-13,05:45,"Parking Structure 1, 5355 College Av, San Diego",San Diego State University,Vehicle Theft
13-1162,2013-08-14,09:01,2013-08-14,09:01,"University Towers Residence Hall, 5505 Montezuma Rd, San Diego",San Diego State University,Possess Unlawful Paraphernalia Commit Mail Theft
13-118,2013-01-25,02:00,2013-01-25,02:59,"College West Apartments, 5445 55TH St, San Diego",San Diego State University,Burglary:first Degree
13-1182,2013-08-17,04:11,2013-08-17,04:11,"Parking Structure 1, 5355 College Av, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-1185,2013-08-18,07:39,2013-08-18,07:39,"Starbucks, 6700 El Cajon Bl, San Diego",San Diego State University,Possess Unlawful Paraphernalia Outside Agency Bench Warrant Violation Of Parole:fel
13-1187,2013-08-18,05:13,2013-08-18,05:13,"Parking Lot X, 5545 Canyon Crest Dr, San Diego",San Diego State University,Possess Stolen Vehicle Obstruct Public Officer
13-1196,2013-08-20,09:16,2013-08-20,09:54,"5151 70TH St, La Mesa",San Diego State University,Possess Unlawful Paraphernalia
13-1208,2013-08-23,07:39,2013-08-23,08:04,"Mts Transit Center, 5178 College Avenue, San Diego",San Diego State University,Under Influence Cntl Sub
13-1209,2013-08-22,01:20,NA,NA,"Hepner Hall, 5405 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1210,2013-08-23,02:44,NA,NA,"Aztec Campus Apartments, 5650 Hardy Avenue",San Diego State University,Grnd Thft:prop/Etc $950+
13-1214,2013-08-24,01:03,2013-08-24,01:03,"Chapultepec Residence Hall, 5400 Remington Rd, San Diego",San Diego State University,Vandalism ($400 or More)-Fel Disord Conduct:alcohol
13-1260,2013-08-27,05:05,2013-08-27,05:05,"Alberts College Apartments Palm Plaza, 5450 55TH St, San Diego",San Diego State University,Attempted Auto Burglary
13-1264,2013-08-28,02:36,2013-08-28,02:35,"Montezuma Rd/Yerba Santa Dr, San Diego",San Diego State University,Transp/Etc Cntl Sub Poss Cntl Sub For Sale Possess Unlawful Paraphernalia
13-1281,2013-08-29,07:39,2013-08-29,07:00,"Parking Structure 4, 5530 Aztec Circle Dr, San Diego",San Diego State University,Vehicle Theft
13-1306,2013-08-31,02:00,2013-08-31,02:00,"Cuicacalli Residence Hall, 5150 East Campus Dr, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-1308,2013-08-31,00:12,2013-08-31,00:21,"Zura Residence Hall, 6124 Montezuma Rd, San Diego",San Diego State University,Under Influence Cntl Sub
13-1314,2013-08-31,03:15,2013-08-31,03:15,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Obstruct/Resist Exec Off Battery Against Police Officer
13-1319,2013-09-01,04:28,2013-09-01,03:30,"Pita Pit, 5131 College Av, San Diego",San Diego State University,Vehicle Theft
13-1320,2013-09-01,08:02,2013-08-31,01:00,"Parking Structure 5, 5100 55TH St, San Diego",San Diego State University,Vehicle Theft
13-1342,2013-09-04,00:03,2013-09-04,00:03,"Chemical Sciences Laboratory, 6095 Canyon Crest Dr, San Diego",San Diego State University,Vandalism ($400 or More)-Fel Petty Theft
13-1353,2013-09-05,00:53,2013-09-05,00:53,"5700 Lindo Paseo Av, San Diego",San Diego State University,Drive W/License Suspended
13-1364,2013-09-06,03:14,2013-09-06,03:00,"Parking Structure 4, 5530 Aztec Circle Dr, San Diego",San Diego State University,Vandalism:damage Property
13-1383,2013-09-08,00:38,2013-09-08,00:54,"Campanile Dr/Lindo Paseo Av, San Diego",San Diego State University,Dui Alcohol/0.08 Percent
13-1405,2013-09-10,08:09,2013-09-09,08:30,"Adams Humanities, 5305 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1408,2013-09-10,04:06,2013-09-10,02:30,"Ps 4, 5530 Aztec Circle Dr, San Diego",San Diego State University,Vehicle Theft
13-1409,2013-09-10,07:06,NA,NA,"Arts And Letters, 5700 Avenue Of Arts, San Diego",San Diego State University,Vandalism ($400 or More)-Fel Petty Theft
13-1414,2013-09-11,08:39,NA,NA,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Vandalism: Deface Property
13-143,2013-01-29,02:07,2013-01-29,02:30,"4500 College Avenue, San Diego",San Diego State University,Possess Narcotic Cntl Sub
13-1467,2013-09-17,01:06,2013-09-17,01:06,"5000 55TH St, San Diego",San Diego State University,Rec Knwn Stoln Prop -$950 Outside Agency Warrant Outside Agency Warrant
13-1471,2013-09-17,01:33,2013-09-17,01:00,"Piedra Del Sol Apartments, 5600 Hardy Av, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1474,2013-09-18,03:24,2013-09-17,03:20,"Parking Structure 5, 5100 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1489,2013-09-19,07:45,2013-09-19,07:30,"Parking Structure 1, 5355 College Av, San Diego",San Diego State University,Attempted Auto Burglary
13-1495,2013-09-20,08:11,NA,NA,"Parking Structure 4, 5530 Aztec Circle Dr, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-150,2013-01-30,02:11,2013-01-30,00:49,"Montezuma RD/55TH, San Diego",San Diego State University,Possess Stolen Vehicle Evading Po:disregard Sfty
13-1506,2013-09-21,04:39,2013-09-21,04:00,"Chapultepec Residence Hall, 5400 Remington Rd, San Diego",San Diego State University,Rape By Force/Fear/Etc
13-1515,2013-09-22,01:42,2013-09-22,01:38,"College Av/Montezuma Rd, San Diego",San Diego State University,Robbery Battery on a Person
13-1541,2013-09-25,04:48,2013-09-25,04:48,"Montezuma Rd/Campanile Dr, San Diego",San Diego State University,Robbery
13-1580,2013-09-29,01:26,2013-09-28,01:26,"Parking Structure 6, 5205 East Campus Dr, San Diego",San Diego State University,Vehicle Theft
13-1590,2013-09-30,06:15,2013-09-30,06:15,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Obstruct/Resist Exec Off Grnd Thft:prop/Etc $950+ Attempted Petty Theft Vandalism Less than $400 Possess Burglary Tools
13-1596,2013-10-01,02:35,2013-10-01,02:15,"Nasatir Hall, 5420 Scripps Terrace, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1639,2013-10-07,09:42,2013-09-25,00:30,"Education And Business Administr, 6040 Aztec Circle Dr, San Diego",San Diego State University,Rec Knwn Stoln Prop -$950 Petty Theft (Bicycle) Conspiracy:commit Crime
13-1658,2013-10-08,04:52,NA,NA,"Sdsu, 5500 Campanile Dr, San Diego",San Diego State University,Rape: Victim incapable of consent
13-1663,2013-10-08,05:18,2013-10-07,05:00,"5500 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1677,2013-10-10,00:33,2013-10-10,01:48,"Parking Lot A, 6000 Canyon Crest Dr, San Diego",San Diego State University,Bench Warrant For Fta
13-1679,2013-10-11,01:59,2013-10-11,01:53,"5700 Montezuma Rd, San Diego",San Diego State University,Dui Alcohol/0.08 Percent
13-1697,2013-10-13,01:11,2013-10-13,01:30,"MC Donalds, 5824 Montezuma Rd, San Diego",San Diego State University,Obstruct/Resist Exec Off Disord Conduct:alcohol False Id To Specific Police Officer Mfg/Etc Deceptive Govt Id
13-1699,2013-10-13,02:26,2013-10-13,02:26,"Villa Alvarado Residence Hall, 6161 Alvarado Rd, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-1715,2013-10-15,02:16,2013-08-28,02:16,"Engineering, 5925 Aztec Circle Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1717,2013-10-15,05:12,2013-10-15,01:30,"Alvarado Medical Center Bldg 2, 6505 Alvarado Rd, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1724,2013-10-17,06:10,2013-10-16,06:15,"Parking Lot U, 5510 Aztec Circle Dr, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-1755,2013-10-20,02:22,2013-10-20,03:02,"Grantville Trolley, Mission Gorge, San Diego",San Diego State University,Robbery Vandalism ($400 or More)-Fel
13-1757,2013-10-20,01:42,2013-10-20,09:45,"Viejas Arena, 5315 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1774,2013-10-22,07:30,2013-10-22,07:30,"College West Apartments, 5445 55TH St, San Diego",San Diego State University,Attempted Burglary
13-1778,2013-10-23,08:43,2013-10-22,09:00,"Geology Mathematics Computer Sci, 6000 Aztec Circle Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1791,2013-10-24,01:38,2013-10-17,03:00,"Sigma Alpha Epsilon Fraternity, 5076 College Pl, San Diego",San Diego State University,Rape:vict Unconsc Of Act
13-1796,2013-10-24,08:59,2013-10-24,05:00,"Chapultepec Residence Hall, 5400 Remington Rd, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1813,2013-10-27,03:51,2013-10-27,03:51,"The Granada Apartments, 5525 Hardy Av, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1828,2013-10-28,01:30,2013-10-28,00:30,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1844,2013-10-30,08:05,2013-10-30,08:05,"Fowler Athletic Center, 5302 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1860,2013-11-01,02:28,2013-10-31,02:00,"Piedra Del Sol Apartments, 5600 Hardy Av, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1867,2013-11-01,08:56,2013-11-01,05:00,"Zura Residence Hall, 6124 Montezuma Rd, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1880,2013-11-02,02:26,2013-11-02,02:26,"Aztec Center Pedestrian Bridge, 6077 Aztec Circle Dr, San Diego",San Diego State University,Pos/Etc Lod F/Arm:unv/Etc Carry Concld firearm upon Person
13-1893,2013-11-03,08:45,2013-11-03,08:45,"Parking Structure 6, 5205 East Campus Dr, San Diego",San Diego State University,Conspiracy:commit Crime
13-1906,2013-11-05,09:36,2013-11-05,01:39,"Chapultepec Residence Hall, 5400 Remington Rd, San Diego",San Diego State University,Outside Agency Warrant Obstruct Public Officer False Id To Specific Police Officer
13-1908,2013-11-06,09:41,2013-10-30,06:00,"Engineering, 5925 Aztec Circle Dr, San Diego",San Diego State University,Vandalism:damage Property
13-1914,2013-11-06,00:05,2013-11-06,00:00,"Parking Structure 4, 5530 Aztec Circle Dr, San Diego",San Diego State University,Vehicle Theft
13-192,2013-02-04,07:41,2013-02-04,06:00,"East Commons, 5965 Aztec Circle Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1920,2013-11-08,00:17,2013-11-08,00:59,"7-ELEVEN, 5141 College Av, San Diego",San Diego State University,Possess Narcotic Cntl Sub Outside Agency Warrant Outside Agency Warrant False Id To Specific Police Officer
13-1947,2013-11-13,04:10,NA,NA,"University Police, 5350 55TH St, San Diego",San Diego State University,Rape Of Drugged/Intoxicated Victim
13-1959,2013-11-14,01:08,2013-11-14,00:45,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1960,2013-11-14,03:57,2013-11-14,03:55,"Parking Lot X, 5545 Canyon Crest Dr, San Diego",San Diego State University,Vandalism: Deface Property
13-1966,2013-11-15,05:35,2013-11-15,03:00,"Alberts College Apartments Palm, 5450 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1971,2013-11-15,04:59,2013-11-15,04:50,"Parking Structure 1, 5355 College Av, San Diego",San Diego State University,Theft:Use Acc Card Info-$950
13-202,2013-02-05,01:06,2013-02-05,02:33,"Montezuma Rd/Catoctin Dr, San Diego",San Diego State University,"Poss Marijuana For Sale Transport, Sell etc Marijuana Violation Of Parole:fel Vandalism ($400 or More)-Fel"
13-2025,2013-11-25,00:53,2013-11-23,06:00,"Speech Language And Hearing Scie, 5200 Campanile Dr, San Diego",San Diego State University,Vehicle Theft Embezzlement Theft:Forged/Invalid Acc Card -$950 Petty Theft
13-2026,2013-11-25,08:29,2013-11-25,08:54,"Speech Language And Hearing Scie, 5245 Campanile Dr, San Diego",San Diego State University,Rec Knwn Stoln Prop -$950
13-2039,2013-11-27,07:13,2013-11-26,07:06,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Vandalism: Deface Property
13-2045,2013-11-28,01:30,NA,NA,"Fowler Athletic Center, 5302 55TH St, San Diego",San Diego State University,Conspiracy:commit Crime
13-2047,2013-11-30,04:10,2013-11-30,05:07,"Adams Humanities, 5305 Campanile Dr, San Diego",San Diego State University,Obstruct/Resist Exec Off
13-2048,2013-12-02,08:43,2013-11-26,09:00,"Parking Lot U, 5410 55TH St, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-205,2013-02-06,09:21,2012-11-08,00:30,"Fraternity Row, 5255 55TH St, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-2082,2013-12-06,02:52,2013-12-06,02:00,"Parking Structure 5, 5100 55TH St, San Diego",San Diego State University,Vehicle Theft
13-2084,2013-12-06,04:20,2013-12-06,04:00,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Burglary:second Degree Vandalism:damage Property Petty Theft Theft:Use Acc Card Info-$950
13-2092,2013-12-08,01:31,2013-12-08,01:45,"5555 Dorothy Dr, San Diego",San Diego State University,Rec Knwn Stoln Prop $950+
13-2097,2013-12-09,01:36,2013-12-02,01:15,"North Art, 5730 Avenue Of Arts, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-2113,2013-12-11,05:10,2013-12-11,02:20,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-214,2013-02-07,01:14,2013-02-07,01:50,"Parking Structure 6, 5205 East Campus Dr, San Diego",San Diego State University,Outside Agency Warrant Rec Knwn Stoln Prop -$950
13-2142,2013-12-15,08:08,2013-12-15,08:30,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Robbery
13-2152,2013-12-17,03:51,2013-12-17,03:51,"Calpulli Center, 5700 Hardy Av, San Diego",San Diego State University,Possess Unlawful Paraphernalia
13-2165,2013-12-18,06:42,2013-12-17,06:30,"Parking Structure 6, 5205 East Campus Dr, San Diego",San Diego State University,Vehicle Theft
13-2177,2013-12-20,06:05,2013-12-20,00:19,"Physics, 5955 Aztec Circle Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-218,2013-02-07,05:06,2013-02-05,01:00,"Montezuma Classrooms North, 5140 College Av, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-2186,2013-12-25,05:05,2013-12-22,08:00,"Alpha Epsilon Pi Fraternity, 5064 College Pl, San Diego",San Diego State University,Vandalism Less than $400
13-2189,2013-12-26,00:35,2013-12-18,00:00,"Physics, 5955 Aztec Circle Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-2192,2013-12-27,03:05,2013-12-20,03:00,"Physics, 5955 Aztec Circle Dr, San Diego",San Diego State University,Vandalism:damage Property
13-2201,2013-12-30,04:15,2013-12-22,03:30,"Physics Astronomy, 5415 Campanile Dr, San Diego",San Diego State University,Burglary:second Degree
13-225,2013-02-08,01:38,2013-02-07,07:30,"Physical Sciences, 5425 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-237,2013-02-09,01:37,2013-02-09,01:38,"Alvarado Transit Center, 6658 Alvarado Rd, San Diego",San Diego State University,Possess Narcotic Cntl Sub
13-238,2013-02-09,02:08,2013-02-09,02:08,"Tenochca Residence Hall, 6126 Montezuma Rd, San Diego",San Diego State University,Conspiracy:commit Crime
13-249,2013-02-12,02:44,2013-02-12,02:44,"Lake Murray Bl/Parkway Dr, La Mesa",San Diego State University,Possess Stolen Vehicle
13-265,2013-02-14,00:22,2013-02-14,00:32,"College Av/Canyon Crest Dr, San Diego",San Diego State University,Under Influence Cntl Sub
13-275,2013-02-15,01:08,2013-02-15,00:40,"Parking Structure 6, 5205 East Campus Dr, San Diego",San Diego State University,Vehicle Theft
13-276,2013-02-15,03:09,2013-02-15,03:09,"7-ELEVEN, 5141 College Av, San Diego",San Diego State University,Arson:property
13-280,2013-02-16,07:01,2013-02-16,07:00,"K B Books, 5187 College Av, San Diego",San Diego State University,Arson:property
13-291,2013-02-17,01:54,2013-02-17,01:54,"Chapultepec Residence Hall, 5400 Remington Rd, San Diego",San Diego State University,Poss Marijuana For Sale
13-3,2013-01-01,05:16,2013-01-01,05:32,"5000 Rockford Drive, San Diego",San Diego State University,Poss Marij Und 28.5 Grams
13-301,2013-02-19,02:10,2013-02-19,02:27,"5000 Thorne Drive, La Mesa",San Diego State University,Possess Stolen Vehicle Evading Po:disregard Sfty Obstruct Public Officer
13-303,2013-02-19,03:55,2013-02-19,04:30,"4800 College Av, San Diego",San Diego State University,Rec Knwn Stoln Prop $950+
13-317,2013-02-21,05:43,2013-02-20,01:00,"Exercise And Nutritional Science, 5320 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-39,2013-01-12,01:03,NA,NA,"5100 College Av, San Diego",San Diego State University,Under Influence Cntl Sub Poss of Cntl Sub w/o Prescript Possess Unlawful Paraphernalia
13-392,2013-03-03,01:45,2013-03-03,01:30,"MC Donalds, 5824 Montezuma Rd, San Diego",San Diego State University,Aslt W/Caustic Chem/Etc Battery on a Person
13-4,2013-01-01,02:33,2013-01-01,03:01,"5100 College Av, San Diego",San Diego State University,Poss Marij Und 28.5 Grams
13-412,2013-03-07,02:15,2013-03-07,02:45,"MC Donalds, 5824 Montezuma Rd, San Diego",San Diego State University,Dui Alcohol/0.08 Percent
13-437,2013-03-12,03:53,2013-03-12,04:22,"Interstate 8/70TH St/lake Murray, San Diego",San Diego State University,Dui Alcohol/0.08 Percent Drive W/License Suspended
13-440,2013-03-12,06:53,2013-03-12,06:53,"Tacuba Residence Hall, 5150 East Campus Dr, San Diego",San Diego State University,Possess Narcotic Cntl Sub Poss Marij Und 28.5 Grams
13-445,2013-03-13,08:11,2013-03-13,08:11,"Student Services West, 6045 Aztec Circle Dr, San Diego",San Diego State University,Threaten Crime w/Intent to Terrorize
13-446,2013-03-13,08:53,NA,NA,"Hepner Hall, 5405 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-453,2013-03-14,02:10,NA,NA,"Life Sciences North, 5855 Avenue Of Arts, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-507,2013-03-21,07:45,2013-03-16,09:24,"Open Air Theater, 5315 Campanile Dr, San Diego",San Diego State University,Disord Conduct:alcohol Outside Agency Warrant
13-511,2013-03-22,02:27,2013-03-22,02:27,"Parking Structure 5, 5100 55TH St, San Diego",San Diego State University,"Battery: Spouse/Ex Spouse/Date,etc."
13-513,2013-03-22,08:09,2013-03-22,08:39,"Parking Lot C Upper, 6115 Alvarado Rd, San Diego",San Diego State University,Possess Narcotic Cntl Sub Possess Unlawful Paraphernalia
13-515,2013-03-22,00:37,2013-03-20,00:35,"Parking Lot U, 5410 55TH St, San Diego",San Diego State University,Vehicle Theft
13-520,2013-03-22,06:47,2013-03-20,04:00,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Vehicle Theft
13-523,2013-03-23,02:10,2013-03-23,02:10,"Cuicacalli Residence Hall, 5150 East Campus Dr, San Diego",San Diego State University,Battery Agnst Emerg Personl Obstruct Public Officer Disord Conduct:alcohol
13-530,2013-03-24,02:30,2013-03-24,02:30,"5800 Montezuma Rd, San Diego",San Diego State University,Dui Alcohol/0.08 Percent
13-535,2013-03-24,03:14,2013-03-24,03:30,"Fairmount Av/Montezuma Rd, San Diego",San Diego State University,Dui Alcohol/0.08 Percent Evading Peace Officer
13-536,2013-03-25,04:10,2013-03-25,04:38,"Phi Kappa Theta Fraternity, 5540 Hardy Av, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-540,2013-03-26,03:54,2013-03-26,04:10,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Poss Less Lethl Weap College:stungun
13-555,2013-03-28,03:11,2013-03-28,03:11,"Alvarado Transit Center, 6658 Alvarado Rd, San Diego",San Diego State University,Possess Narcotic Cntl Sub Possess Unlawful Paraphernalia Robbery
13-557,2013-03-29,00:52,2013-03-29,01:00,"6675 Mission Gorge Rd, San Diego",San Diego State University,Evading Po:disregard Sfty DUI-0.08% w/ Prior Convcition Disord Conduct:alcohol
13-56,2013-01-16,07:19,2013-01-14,07:19,"Life Sciences North, 5855 Avenue Of Arts, San Diego",San Diego State University,Get Credit/Etc. Other's ID(Fel)
13-564,2013-03-30,04:27,2013-03-30,04:50,"Montezuma Rd/Collwood Bl, San Diego",San Diego State University,Dui Alcohol/0.08 Percent Minor Driver w/BAC>0.05% PAS -Driver Under 21w/BAC>0.01% Disord Conduct:Detox
13-601,2013-04-06,02:03,2013-04-06,02:03,"Cuicacalli Convenience Store, 5150 East Campus Dr, San Diego",San Diego State University,Robbery:first Degree
13-619,2013-04-10,00:04,2013-04-10,07:45,"West Commons, 5400 Scripps Terrace, San Diego",San Diego State University,Robbery
13-620,2013-04-10,01:06,2012-10-01,01:06,"Administration, 5375 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+ Embez By Employee $400+
13-627,2013-04-11,02:08,2013-04-11,02:36,"Campanile Dr/Hardy Av, San Diego",San Diego State University,Dui Alcohol/0.08 Percent
13-635,2013-04-13,01:30,2013-04-13,01:52,"6600 El Cajon Blvd, San Diego",San Diego State University,Dui Alcohol/0.08 Percent
13-639,2013-04-13,08:33,2013-04-13,06:10,"Parking Lot U, 5410 55TH St, San Diego",San Diego State University,Vehicle Theft
13-643,2013-04-14,00:27,2013-04-14,01:01,"Aztec Corner Apartments 5700, 5700 Montezuma Rd, San Diego",San Diego State University,Dui Alcohol/0.08 Percent
13-646,2013-04-14,07:46,2013-04-14,07:46,"Parking Structure 5, 5100 55TH St, San Diego",San Diego State University,Vehicle Theft Hit&run Prop Damag:notify
13-655,2013-04-15,00:15,NA,NA,"Exercise And Nutritional Science, 5320 Campanile Dr, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-657,2013-04-15,07:19,2013-04-15,07:00,"Parking Lot Q, 5575 Hardy Av, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-665,2013-04-16,02:29,2013-04-16,02:29,"Parking Structure 6, 5205 East Campus Dr, San Diego",San Diego State University,Vandalism:damage Property
13-672,2013-04-17,00:49,2013-04-17,01:13,"Aztec Corner Apartments 5700, 5700 Montezuma Rd, San Diego",San Diego State University,Dui Alcohol/0.08 Percent
13-682,2013-04-19,02:49,2013-04-18,02:30,"University Towers Residence Hall, 5505 Montezuma Rd, San Diego",San Diego State University,Vehicle Theft
13-691,2013-04-21,00:35,2013-04-20,00:00,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Tamper With Vehicle
13-697,2013-04-22,03:00,2013-04-22,03:06,"Chevron, 2290 Camino Del Rio N, San Diego",San Diego State University,Possess Stolen Vehicle
13-707,2013-04-24,01:58,2013-04-24,02:26,"International Student Center, 5520 Aztec Circle Dr, San Diego",San Diego State University,Dui Alcohol/0.08 Percent
13-723,2013-04-26,02:50,2013-04-26,02:50,"5000 College Pl, San Diego",San Diego State University,Dui Alcohol/0.08 Percent
13-724,2013-04-27,01:20,2013-04-27,01:40,"5300 Montezuma Rd, San Diego",San Diego State University,Dui Alcohol/0.08 Percent
13-727,2013-04-28,08:53,2012-04-28,08:53,"Parking Lot C Lower, 6125 Alvarado Rd, San Diego",San Diego State University,Burglary:second Degree
13-735,2013-04-29,00:36,2013-04-01,06:00,"Parking Lot X, 5545 Canyon Crest Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-742,2013-04-29,08:31,2013-04-29,02:38,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,False Bomb Report
13-743,2013-04-29,08:50,NA,NA,"Parking Structure 5, 5100 55TH St, San Diego",San Diego State University,Vehicle Theft
13-75,2013-01-19,04:41,2013-01-19,09:31,"Piedra Del Sol Apartments, 5600 Hardy Av, San Diego",San Diego State University,Rape By Force/Fear/Etc
13-759,2013-05-03,03:04,2013-05-03,03:04,"Montezuma Rd/East Campus Dr, San Diego",San Diego State University,Possess Stolen Vehicle Drive W/O License
13-760,2013-05-03,08:40,NA,NA,"Calpulli Center, 5700 Hardy Av, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-773,2013-05-04,06:59,2013-05-04,07:10,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Pos/Etc Lod F/Arm:unv/Etc Loaded Firearm in Public-Person or Veh
13-800,2013-05-08,04:35,2013-05-08,00:26,"Fraternity Row, 5255 55TH St, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-807,2013-05-09,09:13,2013-05-05,09:13,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Vehicle Theft
13-814,2013-05-11,00:25,2013-05-11,00:25,"Emerald Isle Apartments, 5840 Lindo Paseo Av, San Diego",San Diego State University,Attempted Kidnapping
13-836,2013-05-18,03:03,2013-05-18,00:44,"University Of California San Die, 9500 Gilman Dr, La Jolla",San Diego State University,Dui Alcohol/0.08 Percent
13-839,2013-05-18,08:59,NA,NA,"Midcity Family Resource Center, 4275 El Cajon Bl, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-848,2013-05-20,00:52,NA,NA,"Sigma Chi Fraternity, 5050 College Av, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-857,2013-05-21,08:07,NA,NA,"Fraternity Row, 5255 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-891,2013-06-01,00:05,2013-06-01,00:05,"7-ELEVEN, 5141 College Av, San Diego",San Diego State University,Dui Alcohol/0.08 Percent Drive W/Lic Susp For Dui Display False Reg/Etc
13-899,2013-06-03,03:00,2012-08-01,06:00,"Aztec Mesa Trailers, 5312 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
