Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Intrusion Alarm,2017-4269,6/1/17,310,6/1/17,310,Fleming,Closed
ATM Alarm,2017-4275,6/1/17,1244,6/1/17,1244,Living & Learning,Closed
Intrusion Alarm,2017-4283,6/1/17,1748,6/1/17,1748,Nolan House,Closed
Harassment,2017-4288,6/1/17,1901,5/19/17,2251,Off Campus Location,Open
Intrusion Alarm,2017-4296,6/1/17,2337,6/1/17,2337,Bailey Howe,Closed
ATM Alarm,2017-4297,6/1/17,2346,6/1/17,2346,Living & Learning,Closed
Suspicious Activity,2017-4300,6/2/17,247,6/2/17,247,Centennial Field,Closed
Intrusion Alarm,2017-4301,6/2/17,428,6/2/17,428,Fleming,Closed
Trespassing,2017-4304,6/2/17,1003,6/2/17,1003,Centennial Woods,Closed; Vacate Notices Issued
Medical Assist,2017-4306,6/2/17,1203,6/2/17,1203,University Hgts South 1,Closed; affiliate transported to UVM MC via UVM Rescue
Fire Alarm,2017-4308,6/2/17,1735,6/2/17,1735,Coolidge Hall,Closed
Motor Vehicle Complaint,2017-4310,6/2/17,1824,6/2/17,1824,"Spear St, So. Burlington",Closed
Intrusion Alarm,2017-4312,6/2/17,1852,6/2/17,1852,Continuing Education,Closed
Traffic / Driving While Suspended,2017-4315,6/2/17,2219,6/2/17,2219,S Winooski Ave / King St,Closed; non affiliate cited into court for Driving while Suspended
Agency Assist,2017-4317,6/2/17,2318,6/2/17,2318,College St / S Williams St,Closed; assist to Burlington Police
Agency Assist / Excessive Speed,2017-4321,6/3/17,46,6/3/17,46,"Interstate 89 / Exit 13, So. Burlington",Closed; assist to So. Burlington Police
Agency Assist,2017-4323,6/3/17,131,6/3/17,131,"Spear St, So. Burlington",Closed; assist to So. Burlington Police
Traffic / Driving While Suspended,2017-4328,6/3/17,407,6/3/17,407,Riverside Ave / Hillside Ter,Closed; non affiliate cited into court for Driving while Suspended
Medical Assist,2017-4331,6/3/17,1036,6/3/17,1036,1 S Prospect St,Closed; UVM Rescue transported to UVM MC
Medical Assist,2017-4333,6/3/17,1353,6/3/17,1353,PFG,Closed; UVM Rescue transported to UVM MC
Unsecure Premise,2017-4336,6/3/17,1728,6/3/17,1728,1 S Prospect St,Closed
Suspicious Event,2017-4339,6/3/17,2008,6/3/17,2008,PFG,Closed
Traffic / False Info to Police,2017-4348,6/4/17,43,6/4/17,43,Riverside Ave / Salmon Run,Closed; Subjected into court for False Info to Police Officer
Intrusion Alarm,2017-4349,6/4/17,324,6/4/17,324,Fleming,Closed
Arrest on Warrant,2017-4350,6/4/17,43,6/4/17,654,Riverside Ave / Salmon Run,Closed; Subject lodged at Corrections
Suspicious Event,2017-4351,6/4/17,823,6/4/17,823,Centennial Field,Closed
Agency Assist,2017-4364,6/4/17,2121,6/4/17,2121,280 E Allen St,Closed; Assist to WPD
Intrusion Alarm,2017-4367,6/4/17,2340,6/4/17,2340,Fleming,Closed
Motorist Assist,2017-4375,6/5/17,159,6/5/17,159,Main St / University Heights,Closed
Larceny,2017-4380,6/5/17,750,06/02-05/2017,Unk,Given,Open
Agency Assist,2017-4383,6/5/17,1320,6/5/17,1320,"546 Governor Hunt Rd, Vernon",Closed; Assist to GMCISM
Fire Alarm,2017-4384,6/5/17,1342,6/5/17,1342,Given Rowell,Closed
Disorderly  Conduct by Electronic Means,2017-4387,6/5/17,1516,6/4/17,Unk,284 East Ave,Open
Welfare Check,2017-4393,6/6/17,227,6/6/17,227,Park St / Pearl St,Closed
Traffic / DLS,2017-4394,6/6/17,316,6/6/17,316,Riverside Ave / N Prospect St,Closed; Cited into court for Driving with a criminally suspended license
Welfare Check,2017-4398,6/6/17,1059,6/6/17,1059,284 East Ave,Closed
Welfare Check,2017-4399,6/6/17,1101,6/6/17,1101,284 East Ave,Closed
Accident - Property,2017-4400,6/6/17,1414,6/6/17,1414,Davis Center Outside,Closed
Citizen Assist,2017-4401,6/6/17,1433,6/6/17,1433,Centennial Woods,Closed
Motorist Assist,2017-4402,6/6/17,1747,6/6/17,1747,109 S Prospect St,Closed
Agency Assist,2017-4403,6/6/17,1750,6/6/17,1750,"62 W Allen St, Winooski",Closed; Assist to WPD
Motorist Assist,2017-4421,6/7/17,9,6/7/17,9,Williston Rd / East Ave,Closed
Traffic / DUI,2017-4424,6/7/17,228,6/7/17,228,1117 Williston Rd,Closed; Subject cited into court for DUI
Welfare Check,2017-4398,6/6/17,1059,6/6/17,1059,284 East Ave,Closed; Referred to CARES
Welfare Check,2017-4399,6/6/17,1101,6/6/17,1101,284 East Ave,Closed
Accident - Property Damage,2017-4400,6/6/17,1414,6/6/17,1414,Davis Center Outside,Closed
Citizen Assist,2017-4401,6/6/17,1433,6/6/17,1433,Centennial Woods,Closed
Motorist Assist,2017-4402,6/6/17,1747,6/6/17,1747,109 S Prospect St,Closed
Agency Assist,2017-4403,6/6/17,1750,6/6/17,1750,"62 W Allen St, Winooski",Closed; Assist to WPD
Motorist Assist,2017-4421,6/7/17,9,6/7/17,9,Williston Rd / East Ave,Closed
Traffic / DUI,2017-4424,6/7/17,228,6/7/17,228,1117 Williston Rd,Closed; Subject cited into court for DUI
Accident - Property Damage,2017-4431,6/7/17,1721,6/7/17,1721,East Ave / Bilodeau Ct,Closed
Drugs,2017-4434,6/7/17,1936,6/7/17,1936,Mercy Hall,Closed; non affiliate issued marijuana ticket
Motorist Assist,2017-4436,6/7/17,2045,6/7/17,2045,Jeffords Hall Parking Lot,Closed
Suspicious Behavior,2017-4438,6/8/17,6,6/8/17,6,Harris Millis,Closed; non affiliate trespassed from UVM Campus
Intrusion Alarm,2017-4441,6/8/17,154,6/8/17,154,Fleming,Closed
Citizen Assist,2017-4443,6/8/17,654,6/8/17,654,University Hgts South 1,Closed
Property Damage,2017-4444,6/8/17,835,Unk,Unk,284 East Ave,Closed
