year,university,sector_desc,sector_cd,noncampus_weapon,noncampus_drug,noncampus_liquor,oncampus_weapon,oncampus_drug,oncampus_liquor,publicproperty_weapon,publicproperty_drug,publicproperty_liquor,reported_weapon,reported_drug,reported_liquor,residencehall_weapon,residencehall_drug,residencehall_liquor
2014,University of Michigan-Ann Arbor,"Public, 4-year or above",1,0,0,1,0,147,1429,0,0,0,0,0,0,0,144,1413
2014,University of Mississippi,"Public, 4-year or above",1,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0
2014,University of Missouri-Columbia,"Public, 4-year or above",1,0,0,1,0,0,1058,0,1,0,0,0,0,0,0,1058
2014,University of Nebraska-Lincoln,"Public, 4-year or above",1,0,0,0,1,123,331,0,1,2,0,0,0,1,120,324
2014,University of Nevada-Reno,"Public, 4-year or above",1,0,0,2,3,34,318,0,0,0,0,0,0,2,33,291
2014,University of New Mexico-Main Campus,"Public, 4-year or above",1,0,0,0,1,138,281,0,0,0,0,0,0,1,135,281
2014,University of Pittsburgh-Pittsburgh Campus,"Public, 4-year or above",1,0,0,0,0,29,284,0,9,5,0,0,0,0,28,281
2014,University of South Carolina-Columbia,"Public, 4-year or above",1,0,0,0,0,129,801,0,0,9,0,0,0,0,124,718
2014,University of Southern California,"Private nonprofit, 4-year or above",2,4,5,71,4,36,484,0,0,0,0,0,0,2,35,473
2014,University of Vermont,"Public, 4-year or above",1,0,0,5,0,344,667,0,2,41,0,0,0,0,315,613
2014,University of Virginia-Main Campus,"Public, 4-year or above",1,0,0,3,0,29,609,0,0,5,0,0,0,0,0,584
2014,University of Wisconsin-Madison,"Public, 4-year or above",1,1,1,7,0,488,2639,0,6,98,0,0,0,0,434,2108
2014,Washington State University,"Public, 4-year or above",1,0,0,0,2,318,299,0,0,0,0,0,0,2,292,240
2014,West Virginia University,"Public, 4-year or above",1,0,0,0,1,324,1495,0,0,0,0,0,0,1,262,1384
2015,Albany State University,"Public, 4-year or above",1,0,0,0,0,26,44,0,0,0,0,0,0,0,26,44
