university,year,sexual_assault_total_cl,rape_total,statr_total_cl,fondl_total,rape_reshall,rape_oncampus,rape_noncampus,fondl_noncampus,fondl_oncampus,fondl_reshall,statr_noncampus,statr_oncampus,statr_reshall,fondl_total_cl,liquor_violations_offcampus,liquor_violations_campus,liquor_violations_reshall,liquor_violations_publicprop,drug_violations_offcampus,drug_violations_campus,drug_violations_reshall,drug_violations_publicprop,liquor_violation_total_cl,drug_violation_total_cl
Florida International University,2018,23,17,0,6,1,17,0,0,6,2,0,0,0,6,0,65,53,0,0,30,19,0,118,49
Florida State University,2014,19,19,0,0,13,17,2,0,0,0,0,0,0,0,0,270,270,4,0,6,6,1,544,13
Florida State University,2015,28,28,0,0,22,24,4,0,0,0,0,0,0,0,0,331,331,0,0,1,1,0,662,2
Florida State University,2016,20,18,0,2,9,16,2,1,1,0,0,0,0,2,0,376,376,0,0,0,0,0,752,0
Florida State University,2017,15,13,0,2,11,12,1,0,2,0,0,0,0,2,0,388,388,0,0,1,1,0,776,2
Florida State University,2018,9,6,0,3,3,5,1,1,2,0,0,0,0,3,0,279,279,0,0,1,0,0,558,1
Indiana University-Bloomington,2014,29,22,0,7,11,13,9,1,6,5,0,0,0,7,2,1215,1073,0,3,239,220,0,2290,462
Indiana University-Bloomington,2015,57,39,2,16,27,29,10,2,14,12,0,2,2,16,0,1123,1109,0,3,218,211,0,2232,432
Indiana University-Bloomington,2016,30,21,0,9,14,15,6,0,9,5,0,0,0,9,0,1022,1019,0,0,30,30,0,2041,60
Indiana University-Bloomington,2017,33,26,0,7,17,20,5,1,6,5,0,0,0,7,8,831,809,8,6,240,144,13,1656,403
Indiana University-Bloomington,2018,33,22,0,11,12,13,9,1,10,9,0,0,0,11,14,1179,1164,16,16,446,162,14,2373,638
Louisiana State University and Agricultural & Mechanical College,2014,12,10,1,1,1,10,0,0,1,0,0,1,1,1,0,15,0,0,0,32,23,0,15,55
Louisiana State University and Agricultural & Mechanical College,2015,11,9,0,2,1,8,1,0,2,2,0,0,0,2,0,20,16,0,0,20,19,0,36,39
Louisiana State University and Agricultural & Mechanical College,2016,11,8,0,3,4,8,0,0,3,0,0,0,0,3,0,0,0,0,0,6,6,0,0,12
Louisiana State University and Agricultural & Mechanical College,2017,13,11,0,2,1,10,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Louisiana State University and Agricultural & Mechanical College,2018,14,12,0,2,11,12,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Marshall University,2014,2,2,0,0,1,1,1,0,0,0,0,0,0,0,1,31,30,0,0,10,10,0,62,20
Marshall University,2015,2,0,0,2,0,0,0,1,1,0,0,0,0,2,0,40,40,0,0,12,12,0,80,24
Marshall University,2016,4,4,0,0,3,4,0,0,0,0,0,0,0,0,0,3,3,0,0,11,11,0,6,22
Marshall University,2017,7,3,0,4,2,2,0,0,4,4,0,0,0,4,0,45,43,0,0,12,7,0,88,19
Marshall University,2018,8,7,0,1,3,5,0,0,1,0,0,0,0,1,0,17,17,0,0,17,17,0,34,34
Miami University-Oxford,2014,18,17,0,1,10,14,3,1,0,0,0,0,0,1,0,398,396,0,0,28,25,0,794,53
Miami University-Oxford,2015,17,16,0,1,3,9,7,0,1,1,0,0,0,1,16,421,419,0,0,73,62,0,856,135
Miami University-Oxford,2016,32,26,0,6,9,20,6,0,6,3,0,0,0,6,1,400,397,0,7,75,62,0,798,144
Miami University-Oxford,2017,30,27,0,3,15,20,7,0,3,2,0,0,0,3,1,243,233,1,0,73,58,0,478,131
Miami University-Oxford,2018,37,28,0,9,9,19,9,0,9,6,0,0,0,9,1,336,336,0,4,118,109,0,673,231
Monmouth University,2014,3,2,0,1,2,2,0,0,1,1,0,0,0,1,0,142,139,0,4,31,24,0,281,59
Monmouth University,2015,6,3,0,3,2,3,0,0,3,3,0,0,0,3,0,132,129,0,2,16,16,0,261,34
Monmouth University,2016,5,5,0,0,2,4,1,0,0,0,0,0,0,0,0,111,111,0,5,17,12,0,222,34
Monmouth University,2017,10,9,0,1,6,9,0,0,1,0,0,0,0,1,0,72,72,0,0,17,17,0,144,34
Monmouth University,2018,12,6,5,1,2,4,2,0,1,0,0,5,5,1,0,82,82,0,1,11,10,0,164,22
Murray State University,2014,10,8,0,2,7,7,1,0,2,2,0,0,0,2,0,67,67,0,0,9,5,0,134,14
Murray State University,2015,13,9,0,4,7,9,0,0,3,2,0,0,0,4,0,51,49,0,0,4,3,0,100,7
Murray State University,2016,15,12,0,3,10,12,0,1,2,2,0,0,0,3,0,42,41,0,0,2,1,1,83,4
Murray State University,2017,18,10,0,8,8,9,1,1,7,4,0,0,0,8,0,29,29,0,0,6,5,0,58,11
Murray State University,2018,14,5,0,9,4,4,1,3,6,2,0,0,0,9,0,14,14,0,0,8,6,0,28,14
North Carolina State University at Raleigh,2014,10,5,0,5,2,3,1,0,5,1,0,0,0,5,11,440,357,3,0,57,33,0,811,90
North Carolina State University at Raleigh,2015,15,9,0,6,7,9,0,1,5,1,0,0,0,6,48,435,359,8,11,76,54,1,850,142
North Carolina State University at Raleigh,2016,37,32,0,5,28,30,2,1,4,2,0,0,0,5,31,340,315,0,4,62,41,1,686,108
North Carolina State University at Raleigh,2017,40,18,0,22,12,15,3,3,17,8,0,0,0,22,21,274,225,0,2,73,50,0,520,125
North Carolina State University at Raleigh,2018,32,11,0,21,8,9,2,3,16,6,0,0,0,21,14,292,273,2,1,114,77,3,581,195
Northwestern University,2014,10,4,0,6,3,4,0,1,4,1,0,0,0,6,5,415,395,3,0,81,79,1,818,161
Northwestern University,2015,13,9,0,4,7,9,0,0,4,1,0,0,0,4,4,426,419,9,0,77,77,0,858,154
Northwestern University,2016,18,15,0,3,11,15,0,0,3,1,0,0,0,3,1,267,246,4,0,48,41,0,518,89
Northwestern University,2017,19,13,0,6,8,12,0,0,6,2,0,0,0,6,0,289,277,2,0,2,1,0,568,3
Northwestern University,2018,16,11,0,5,8,8,0,0,4,1,0,0,0,5,1,211,202,4,0,4,3,1,418,8
Ohio State University-Main Campus,2014,37,22,1,14,17,20,2,2,12,6,0,1,1,14,1,1879,1825,0,0,307,247,0,3705,554
Ohio State University-Main Campus,2015,45,30,0,15,21,25,5,1,14,9,0,0,0,15,7,1614,1587,0,0,235,191,2,3208,428
Ohio State University-Main Campus,2016,86,62,0,24,47,57,5,2,22,8,0,0,0,24,1,1931,1890,2,1,259,214,0,3824,474
Ohio State University-Main Campus,2017,132,87,0,45,57,72,15,14,30,16,0,0,0,45,20,1844,1821,1,7,313,225,0,3686,545
Ohio State University-Main Campus,2018,1188,141,0,1047,80,123,18,2,1040,22,0,0,0,1047,9,1346,1294,1,8,344,286,0,2650,638
Ohio University-Main Campus,2014,22,21,0,1,19,19,2,0,1,0,0,0,0,1,0,684,684,0,3,115,115,0,1368,233
Ohio University-Main Campus,2015,30,20,0,10,19,20,0,0,9,6,0,0,0,10,0,531,521,10,2,96,95,1,1062,194
Ohio University-Main Campus,2016,47,32,0,15,26,32,0,2,10,6,0,0,0,15,1,574,571,0,0,250,246,0,1146,496
Ohio University-Main Campus,2017,44,34,0,10,28,33,0,0,9,3,0,0,0,10,3,253,252,0,0,43,37,0,508,80
Ohio University-Main Campus,2018,47,38,1,8,29,34,4,1,7,4,0,1,0,8,0,224,224,0,0,20,20,0,448,40
Pennsylvania State University-Main Campus,2014,40,27,0,13,9,15,12,2,11,7,0,0,0,13,1,740,719,1,0,304,219,0,1461,523
Pennsylvania State University-Main Campus,2015,62,51,0,11,22,31,20,1,9,3,0,0,0,11,1,946,919,1,0,283,201,3,1867,487
Pennsylvania State University-Main Campus,2016,83,63,0,20,30,35,28,2,16,6,0,0,0,20,0,760,739,1,0,341,244,0,1500,585
Pennsylvania State University-Main Campus,2017,75,54,0,21,30,37,16,1,20,11,0,0,0,21,16,1017,986,1,2,316,228,1,2020,547
Pennsylvania State University-Main Campus,2018,103,69,1,33,38,49,20,6,27,14,0,1,0,33,31,781,757,0,0,228,179,6,1569,413
Rollins College,2014,6,2,0,4,2,2,0,0,4,2,0,0,0,4,0,97,96,0,0,10,10,0,193,20
Rollins College,2015,10,7,0,3,5,6,1,0,3,3,0,0,0,3,0,190,190,0,0,26,23,0,380,49
Rollins College,2016,21,16,0,5,13,16,0,0,5,3,0,0,0,5,0,90,89,0,0,13,13,0,179,26
Rollins College,2017,9,9,0,0,5,9,0,0,0,0,0,0,0,0,0,62,61,2,0,5,5,2,125,12
Rollins College,2018,12,8,0,4,6,7,0,0,4,3,0,0,0,4,0,44,43,0,0,47,47,5,87,99
Rutgers University-New Brunswick,2014,50,39,0,11,29,32,7,0,9,2,0,0,0,11,0,689,689,0,1,104,96,0,1378,201
Rutgers University-New Brunswick,2015,47,31,1,15,24,26,5,0,14,8,0,1,1,15,0,878,876,5,0,138,129,0,1759,267
Rutgers University-New Brunswick,2016,31,23,0,8,22,23,0,0,8,5,0,0,0,8,0,38,38,0,1,129,126,0,76,256
