year,university,sector_desc,sector_cd,noncampus_murd,noncampus_neg_m,noncampus_rape,noncampus_fondl,noncampus_inces,noncampus_statr,noncampus_robbe,noncampus_agg_a,noncampus_burgla,noncampus_vehic,noncampus_arson,oncampus_murd,oncampus_neg_m,oncampus_rape,oncampus_fondl,oncampus_inces,oncampus_statr,oncampus_robbe,oncampus_agg_a,oncampus_burgla,oncampus_vehic,oncampus_arson,publicproperty_murd,publicproperty_neg_m,publicproperty_rape,publicproperty_fondl,publicproperty_inces,publicproperty_statr,publicproperty_robbe,publicproperty_agg_a,publicproperty_burgla,publicproperty_vehic,publicproperty_arson,reported_murd,reported_neg_m,reported_rape,reported_fondl,reported_inces,reported_statr,reported_robbe,reported_agg_a,reported_burgla,reported_vehic,reported_arson,residencehall_murd,residencehall_neg_m,residencehall_rape,residencehall_fondl,residencehall_inces,residencehall_statr,residencehall_robbe,residencehall_agg_a,residencehall_burgla,residencehall_vehic,residencehall_arson
2014,Marshall University,"Public, 4-year or above",1,0,0,1,0,0,0,0,1,4,1,0,0,0,1,0,0,0,1,0,13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1
2014,Michigan State University,"Public, 4-year or above",1,0,0,2,0,0,0,0,6,9,1,1,0,0,13,8,0,0,12,10,124,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,1,2,105,0,4
2014,Monmouth University,"Private nonprofit, 4-year or above",2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,3,0,0
2014,Murray State University,"Public, 4-year or above",1,0,0,1,0,0,0,0,0,5,0,0,0,0,7,2,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,7,0,5
2014,North Carolina Central University,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,5,21,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,15,0,0
2014,North Carolina State University at Raleigh,"Public, 4-year or above",1,0,0,1,0,0,0,1,0,1,0,0,0,0,3,5,0,0,2,6,34,11,1,0,0,1,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,12,0,1
2014,Ohio State University-Main Campus,"Public, 4-year or above",1,0,0,2,2,0,0,0,5,5,0,0,0,0,20,12,0,1,8,6,4,11,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,1,0,1,3,0,0
2014,Ohio University-Main Campus,"Public, 4-year or above",1,0,0,2,0,0,0,0,0,0,0,0,0,0,19,1,0,0,1,0,6,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,6,0,2
2014,Prairie View A & M University,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,3,42,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,37,0,0
2014,Rollins College,"Private nonprofit, 4-year or above",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0
2014,Rutgers University-New Brunswick,"Public, 4-year or above",1,0,0,7,0,0,0,0,0,2,0,0,0,0,32,9,0,0,3,12,34,7,6,0,0,0,2,0,0,7,8,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,0,6,8,0,3
2014,San Diego State University,"Public, 4-year or above",1,0,0,6,0,0,0,0,1,1,0,0,0,0,12,3,0,0,7,5,59,18,0,0,0,2,1,0,0,8,6,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,3,31,0,0
2014,Southern Methodist University,"Private nonprofit, 4-year or above",2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0
2014,SUNY at Albany,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,5,0,1
2014,Syracuse University,"Private nonprofit, 4-year or above",2,0,0,0,0,0,0,1,0,8,0,0,0,0,5,4,0,0,1,0,41,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,18,0,0
2014,Texas A & M University-College Station,"Public, 4-year or above",1,0,0,3,0,0,0,1,0,1,0,0,0,0,9,8,0,0,0,8,36,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,2,3,0,0
