university,year,sexual_assault_total_cl,rape_total,statr_total_cl,fondl_total,rape_reshall,rape_oncampus,rape_noncampus,fondl_noncampus,fondl_oncampus,fondl_reshall,statr_noncampus,statr_oncampus,statr_reshall,fondl_total_cl
University of Missouri-Columbia,2014,26,18,0,8,6,6,12,2,6,2,0,0,0,8
University of Missouri-Columbia,2015,25,13,0,12,9,9,4,3,9,5,0,0,0,12
University of Missouri-Columbia,2016,29,22,0,7,13,19,3,0,7,2,0,0,0,7
University of Missouri-Columbia,2017,30,17,0,13,7,11,6,2,11,5,0,0,0,13
University of Missouri-Columbia,2018,23,10,0,13,6,6,4,1,12,3,0,0,0,13
University of New Mexico-Main Campus,2014,19,12,0,7,8,12,0,0,7,0,0,0,0,7
University of New Mexico-Main Campus,2015,31,13,0,18,9,12,1,1,17,2,0,0,0,18
University of New Mexico-Main Campus,2016,26,15,0,11,10,15,0,1,10,3,0,0,0,11
University of New Mexico-Main Campus,2017,31,19,0,12,13,18,1,0,12,4,0,0,0,12
University of New Mexico-Main Campus,2018,37,24,0,13,14,24,0,2,11,1,0,0,0,13
University of North Florida,2014,6,4,0,2,4,4,0,0,2,2,0,0,0,2
University of North Florida,2015,2,2,0,0,2,2,0,0,0,0,0,0,0,0
University of North Florida,2016,7,5,0,2,3,5,0,0,2,0,0,0,0,2
University of North Florida,2017,9,9,0,0,6,9,0,0,0,0,0,0,0,0
University of North Florida,2018,5,4,0,1,4,4,0,0,1,1,0,0,0,1
University of Pittsburgh-Pittsburgh Campus,2014,30,21,0,9,17,20,0,0,7,6,0,0,0,9
University of Pittsburgh-Pittsburgh Campus,2015,27,17,0,10,13,13,2,0,8,3,0,0,0,10
University of Pittsburgh-Pittsburgh Campus,2016,24,13,0,11,12,13,0,0,9,6,0,0,0,11
University of Pittsburgh-Pittsburgh Campus,2017,14,9,0,5,8,9,0,0,5,4,0,0,0,5
University of Pittsburgh-Pittsburgh Campus,2018,13,6,0,7,4,6,0,1,5,4,0,0,0,7
University of Vermont,2014,29,27,0,2,16,27,0,0,1,0,0,0,0,2
University of Vermont,2015,30,19,0,11,12,16,3,1,9,2,0,0,0,11
University of Vermont,2016,38,24,0,14,12,19,5,1,13,4,0,0,0,14
University of Vermont,2017,20,14,0,6,8,13,1,1,5,4,0,0,0,6
University of Vermont,2018,37,27,0,10,19,22,5,1,9,8,0,0,0,10
University of Virginia-Main Campus,2014,49,44,0,5,24,35,9,1,4,3,0,0,0,5
University of Virginia-Main Campus,2015,17,7,0,10,7,7,0,0,8,3,0,0,0,10
University of Virginia-Main Campus,2016,24,15,0,9,10,10,4,2,7,3,0,0,0,9
University of Virginia-Main Campus,2017,25,16,0,9,9,12,3,2,6,3,0,0,0,9
University of Virginia-Main Campus,2018,44,28,0,16,20,28,0,0,16,6,0,0,0,16
Washington State University,2014,14,12,0,2,7,7,5,0,2,2,0,0,0,2
Washington State University,2015,28,28,0,0,13,15,13,0,0,0,0,0,0,0
Washington State University,2016,44,34,0,10,8,8,21,3,7,6,0,0,0,10
Washington State University,2017,23,17,0,6,10,10,7,1,5,2,0,0,0,6
Washington State University,2018,48,38,0,10,26,27,10,1,8,5,0,0,0,10
West Virginia University,2014,13,11,0,2,4,4,4,0,2,2,0,0,0,2
West Virginia University,2015,12,12,0,0,11,11,0,0,0,0,0,0,0,0
West Virginia University,2016,13,12,0,1,9,9,3,0,1,1,0,0,0,1
West Virginia University,2017,20,18,0,2,11,12,5,1,1,0,0,0,0,2
West Virginia University,2018,9,9,0,0,8,8,1,0,0,0,0,0,0,0
