incident,case_number,date_reported,time_reported,university,time_occurred,date_occurred,location
Theft                   ,2015-00006497,04-24-2015,3:42,Ball State University,NA,NA,NA
Theft                   ,2015-00006561,04-25-2015,1:28,Ball State University,NA,NA,NA
Narcotics               ,2015-00006587,04-25-2015,3:59,Ball State University,NA,NA,NA
Intoxicated Person      ,2015-00006599,04-26-2015,2:22,Ball State University,NA,NA,NA
Theft                   ,2015-00006675,04-27-2015,5:42,Ball State University,NA,NA,NA
Harrassment             ,2015-00006722,04-28-2015,4:37,Ball State University,NA,NA,NA
Harrassment             ,2015-00006841,04-30-2015,2:54,Ball State University,NA,NA,NA
Harrassment             ,2015-00006853,04-30-2015,6:15,Ball State University,NA,NA,NA
Narcotics               ,2015-00006860,04-30-2015,8:39,Ball State University,NA,NA,NA
Suspicious Person       ,2015-00006881,05-01-2015,3:19,Ball State University,NA,NA,NA
Theft                   ,2015-00006909,05-01-2015,4:10,Ball State University,NA,NA,NA
Intoxicated Person      ,2015-00006917,05-01-2015,6:00,Ball State University,NA,NA,NA
Burglary                ,2015-00006918,05-01-2015,6:21,Ball State University,NA,NA,NA
Intoxicated Person      ,2015-00006942,05-02-2015,1:10,Ball State University,NA,NA,NA
Intoxicated Person      ,2015-00006943,05-02-2015,1:31,Ball State University,NA,NA,NA
Traffic Stop            ,2015-00006945,05-02-2015,2:22,Ball State University,NA,NA,NA
Theft                   ,2015-00006964,05-02-2015,3:19,Ball State University,NA,NA,NA
Theft                   ,2015-00006983,05-02-2015,1:11,Ball State University,NA,NA,NA
Criminal Mischief       ,2015-00007003,05-03-2015,8:48,Ball State University,NA,NA,NA
Criminal Mischief       ,2015-00007006,05-03-2015,3:49,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Vehicle Burglary           ,2015-00007037,05-04-2015,8:54,Ball State University,NA,NA,NA
Theft                      ,2015-00007044,05-04-2015,2:02,Ball State University,NA,NA,NA
Intoxicated Person         ,2015-00007068,05-05-2015,1:53,Ball State University,NA,NA,NA
Theft                      ,2015-00007086,05-05-2015,5:22,Ball State University,NA,NA,NA
Theft                      ,2015-00007094,05-05-2015,8:09,Ball State University,NA,NA,NA
Theft                      ,2015-00007109,05-05-2015,3:33,Ball State University,NA,NA,NA
Criminal Mischief          ,2015-00007124,05-06-2015,8:04,Ball State University,NA,NA,NA
Traffic Accident-Hit & Run ,2015-00007125,05-06-2015,8:19,Ball State University,NA,NA,NA
Property Damage            ,2015-00007130,05-06-2015,2:48,Ball State University,NA,NA,NA
Theft                      ,2015-00007143,05-06-2015,6:31,Ball State University,NA,NA,NA
Theft                      ,2015-00007158,05-06-2015,9:54,Ball State University,NA,NA,NA
Traffic Stop               ,2015-00007173,05-07-2015,0:50,Ball State University,NA,NA,NA
Property Damage            ,2015-00007195,05-07-2015,5:37,Ball State University,NA,NA,NA
Suspicious Activity        ,2015-00007207,05-07-2015,2:28,Ball State University,NA,NA,NA
Criminal Mischief          ,2015-00007218,05-08-2015,8:35,Ball State University,NA,NA,NA
Theft                      ,2015-00007220,05-08-2015,9:32,Ball State University,NA,NA,NA
Battery                    ,2015-00007246,05-08-2015,3:47,Ball State University,NA,NA,NA
Suspicious Person          ,2015-00007247,05-09-2015,0:59,Ball State University,NA,NA,NA
Assist                     ,2015-00007264,05-09-2015,7:24,Ball State University,NA,NA,NA
Traffic Stop               ,2015-00007277,05-10-2015,2:15,Ball State University,NA,NA,NA
Check Subject              ,2015-00007302,05-10-2015,0:37,Ball State University,NA,NA,NA
Ambulance Only             ,2015-00007313,05-11-2015,1:50,Ball State University,NA,NA,NA
Accident With Injury       ,2015-00007332,05-11-2015,7:52,Ball State University,NA,NA,NA
Suspicious Person          ,2015-00007345,05-12-2015,2:00,Ball State University,NA,NA,NA
Property Damage            ,2015-00007356,05-12-2015,1:46,Ball State University,NA,NA,NA
Forgery                    ,2015-00007365,05-12-2015,6:43,Ball State University,NA,NA,NA
Property Damage            ,2015-00007384,05-13-2015,7:48,Ball State University,NA,NA,NA
Theft                      ,2015-00007398,05-13-2015,6:39,Ball State University,NA,NA,NA
Suspicious Activity        ,2015-00007417,05-14-2015,2:17,Ball State University,NA,NA,NA
Vehicle Burglary           ,2015-00007424,05-14-2015,8:29,Ball State University,NA,NA,NA
Vehicle Burglary           ,2015-00007426,05-14-2015,9:19,Ball State University,NA,NA,NA
Theft                      ,2015-00007428,05-14-2015,0:32,Ball State University,NA,NA,NA
Accident Hit and Run       ,2015-00007429,05-14-2015,0:34,Ball State University,NA,NA,NA
Vehicle Burglary           ,2015-00007432,05-14-2015,1:57,Ball State University,NA,NA,NA
Suspicious Person          ,2015-00007455,05-15-2015,2:20,Ball State University,NA,NA,NA
Accident Property Damage   ,2015-00007461,05-15-2015,4:27,Ball State University,NA,NA,NA
Harrassment                ,2015-00007495,05-16-2015,1:18,Ball State University,NA,NA,NA
Criminal Mischief          ,2015-00007560,05-18-2015,3:53,Ball State University,NA,NA,NA
Theft                      ,2015-00007571,05-18-2015,1:32,Ball State University,NA,NA,NA
Theft                      ,2015-00007580,05-18-2015,3:31,Ball State University,NA,NA,NA
Theft                      ,2015-00007586,05-18-2015,3:59,Ball State University,NA,NA,NA
Burglary                   ,2015-00007785,05-23-2015,9:56,Ball State University,NA,NA,NA
