incident,case_number,date_reported,time_reported,university,time_occurred,date_occurred,location
Accident Hit and Run               ,2016-00017776,09-08-2016,2:37,Ball State University,NA,NA,NA
Theft                              ,2016-00017786,09-08-2016,5:10,Ball State University,NA,NA,NA
Threats                            ,2016-00017797,09-08-2016,9:22,Ball State University,NA,NA,NA
Theft                              ,2016-00017799,09-08-2016,9:28,Ball State University,NA,NA,NA
Narcotics                          ,2016-00017807,09-08-2016,1:12,Ball State University,NA,NA,NA
Public Intoxication                ,2016-00017813,09-08-2016,3:21,Ball State University,NA,NA,NA
Theft                              ,2016-00017847,09-09-2016,1:19,Ball State University,NA,NA,NA
Unlawful Entry to Vehicle          ,2016-00017858,09-09-2016,4:00,Ball State University,NA,NA,NA
Unlawful Entry to Vehicle          ,2016-00017856,09-09-2016,4:26,Ball State University,NA,NA,NA
Theft                              ,2016-00017865,09-09-2016,4:51,Ball State University,NA,NA,NA
Theft                              ,2016-00017862,09-09-2016,5:25,Ball State University,NA,NA,NA
Sexual Assault                     ,2016-00017870,09-09-2016,6:39,Ball State University,NA,NA,NA
Theft                              ,2016-00017873,09-09-2016,8:23,Ball State University,NA,NA,NA
Unlawful Entry to Vehicle          ,2016-00017875,09-09-2016,9:41,Ball State University,NA,NA,NA
Theft                              ,2016-00017934,09-09-2016,7:41,Ball State University,NA,NA,NA
Suspicious Person                  ,2016-00017957,09-11-2016,2:12,Ball State University,NA,NA,NA
Intoxicated Driver                 ,2016-00017960,09-11-2016,3:02,Ball State University,NA,NA,NA
Criminal Mischief                  ,2016-00017965,09-11-2016,4:09,Ball State University,NA,NA,NA
Illegal Possession of alcohol      ,2016-00017964,09-11-2016,4:17,Ball State University,NA,NA,NA
Criminal Mischief                  ,2016-00017994,09-11-2016,7:39,Ball State University,NA,NA,NA
Criminal Mischief                  ,2016-00017995,09-11-2016,7:39,Ball State University,NA,NA,NA
Trespassing                        ,2016-00018005,09-11-2016,0:43,Ball State University,NA,NA,NA
Criminal Mischief                  ,2016-00018028,09-12-2016,7:00,Ball State University,NA,NA,NA
Theft                              ,2016-00018079,09-12-2016,2:22,Ball State University,NA,NA,NA
Intoxicated Person                 ,2016-00018094,09-13-2016,1:57,Ball State University,NA,NA,NA
Intimidation                       ,2016-00018117,09-13-2016,1:49,Ball State University,NA,NA,NA
Theft                              ,2016-00018144,09-13-2016,8:50,Ball State University,NA,NA,NA
Intoxicated Person                 ,2016-00018170,09-14-2016,1:07,Ball State University,NA,NA,NA
Harassment                         ,2016-00018234,09-14-2016,1:00,Ball State University,NA,NA,NA
Narcotics                          ,2016-00018310,09-15-2016,3:42,Ball State University,NA,NA,NA
Narcotics                          ,2016-00018326,09-16-2016,2:41,Ball State University,NA,NA,NA
Theft                              ,2016-00018382,09-16-2016,0:00,Ball State University,NA,NA,NA
Illegal Possession of alcohol      ,2016-00018394,09-16-2016,1:04,Ball State University,NA,NA,NA
Criminal Mischief                  ,2016-00018401,09-17-2016,1:00,Ball State University,NA,NA,NA
Sexual Battery                     ,2016-00018403,09-17-2016,4:30,Ball State University,NA,NA,NA
Narcotics                          ,2016-00018450,09-17-2016,3:25,Ball State University,NA,NA,NA
Illegal Possession of alcohol      ,2016-00018452,09-18-2016,0:09,Ball State University,NA,NA,NA
Battery                            ,2016-00018455,09-18-2016,0:52,Ball State University,NA,NA,NA
Illegal Possession of alcohol      ,2016-00018464,09-18-2016,2:31,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Theft                            ,2016-00018468,09-18-2016,2:59,Ball State University,NA,NA,NA
Battery                          ,2016-00018469,09-18-2016,3:43,Ball State University,NA,NA,NA
Unlawful Entry to Vehicle        ,2016-00018481,09-18-2016,0:58,Ball State University,NA,NA,NA
Leaving Scene of Accident        ,2016-00018492,09-18-2016,3:12,Ball State University,NA,NA,NA
Habitual Traffic Violator        ,2016-00018505,09-18-2016,8:01,Ball State University,NA,NA,NA
Battery                          ,2016-00018524,09-19-2016,2:00,Ball State University,NA,NA,NA
Assist Other Agency - (Robbery)  ,2016-00018533,09-19-2016,2:33,Ball State University,NA,NA,NA
Battery                          ,2016-00018534,09-19-2016,3:10,Ball State University,NA,NA,NA
Theft                            ,2016-00018557,09-19-2016,9:45,Ball State University,NA,NA,NA
Unlawful Entry to Vehicle        ,2016-00018560,09-19-2016,6:00,Ball State University,NA,NA,NA
Theft                            ,2016-00018561,09-19-2016,0:00,Ball State University,NA,NA,NA
Intoxicated Driver               ,2016-00018585,09-19-2016,1:24,Ball State University,NA,NA,NA
Rape                             ,2016-00018617,09-20-2016,7:30,Ball State University,NA,NA,NA
Theft                            ,2016-00018633,09-20-2016,8:00,Ball State University,NA,NA,NA
Theft                            ,2016-00018649,09-20-2016,7:00,Ball State University,NA,NA,NA
Theft                            ,2016-00018654,09-20-2016,0:00,Ball State University,NA,NA,NA
Theft                            ,2016-00018655,09-20-2016,0:00,Ball State University,NA,NA,NA
Assist Other Agency - (Robbery)  ,2016-00018671,09-21-2016,0:51,Ball State University,NA,NA,NA
Theft                            ,2016-00018690,09-21-2016,8:00,Ball State University,NA,NA,NA
Theft                            ,2016-00018698,09-21-2016,2:41,Ball State University,NA,NA,NA
Theft                            ,2016-00018730,09-21-2016,1:00,Ball State University,NA,NA,NA
Assist Other Agency - (Robbery)  ,2016-00018734,09-22-2016,0:12,Ball State University,NA,NA,NA
Assist Other Agency - (Burglary) ,2016-00018745,09-22-2016,4:48,Ball State University,NA,NA,NA
Accident Property Damage         ,2016-00018764,09-22-2016,2:02,Ball State University,NA,NA,NA
Accident Property Damage         ,2016-00018781,09-22-2016,4:41,Ball State University,NA,NA,NA
Theft                            ,2016-00018786,09-22-2016,6:26,Ball State University,NA,NA,NA
Accident Hit and Run             ,2016-00018797,09-22-2016,1:35,Ball State University,NA,NA,NA
Assist Other Agency              ,2016-00018803,09-23-2016,0:24,Ball State University,NA,NA,NA
Suspicious Subject               ,2016-00018809,09-23-2016,2:58,Ball State University,NA,NA,NA
Criminal Mischief                ,2016-00018838,09-23-2016,8:00,Ball State University,NA,NA,NA
Criminal Mischief                ,2016-00018842,09-23-2016,0:33,Ball State University,NA,NA,NA
Theft                            ,2016-00018876,09-23-2016,8:00,Ball State University,NA,NA,NA
Robbery                          ,2016-00018898,09-24-2016,3:08,Ball State University,NA,NA,NA
Theft                            ,2016-00018935,09-24-2016,4:00,Ball State University,NA,NA,NA
Intoxicated Driver               ,2016-00018958,09-25-2016,1:35,Ball State University,NA,NA,NA
Illegal Possession of alcohol    ,2016-00018964,09-25-2016,4:01,Ball State University,NA,NA,NA
Narcotics                        ,2016-00018999,09-25-2016,6:37,Ball State University,NA,NA,NA
Criminal Mischief                ,2016-00019007,09-25-2016,8:47,Ball State University,NA,NA,NA
Criminal Mischief                ,2016-00019020,09-25-2016,2:00,Ball State University,NA,NA,NA
Theft                            ,2016-00019024,09-26-2016,1:00,Ball State University,NA,NA,NA
Theft                            ,2016-00019051,09-26-2016,4:30,Ball State University,NA,NA,NA
Battery                          ,2016-00019097,09-26-2016,9:16,Ball State University,NA,NA,NA
Narcotics                        ,2016-00019111,09-27-2016,0:29,Ball State University,NA,NA,NA
Theft                            ,2016-00019142,09-27-2016,0:41,Ball State University,NA,NA,NA
Theft                            ,2016-00019184,09-27-2016,1:00,Ball State University,NA,NA,NA
Criminal Confinement             ,2016-00019233,09-28-2016,9:43,Ball State University,NA,NA,NA
Theft                            ,2016-00019286,09-28-2016,2:00,Ball State University,NA,NA,NA
Narcotics                        ,2016-00019311,09-28-2016,2:29,Ball State University,NA,NA,NA
Narcotics                        ,2016-00019314,09-29-2016,0:19,Ball State University,NA,NA,NA
Harassment                       ,2016-00019336,09-29-2016,9:00,Ball State University,NA,NA,NA
Criminal Mischief                ,2016-00019372,09-29-2016,5:30,Ball State University,NA,NA,NA
Intoxicated Person               ,2016-00019406,09-30-2016,0:00,Ball State University,NA,NA,NA
Intoxicated Person               ,2016-00019410,09-30-2016,0:22,Ball State University,NA,NA,NA
Accident Property Damage         ,2016-00019444,09-30-2016,0:22,Ball State University,NA,NA,NA
Theft                            ,2016-00019455,09-30-2016,2:32,Ball State University,NA,NA,NA
Accident with Injuries           ,2016-00019463,09-30-2016,4:03,Ball State University,NA,NA,NA
Narcotics                        ,2016-00019466,09-30-2016,5:18,Ball State University,NA,NA,NA
Accident Property Damage         ,2016-00019468,09-30-2016,5:34,Ball State University,NA,NA,NA
Traffic Stop                     ,2016-00019501,09-30-2016,3:43,Ball State University,NA,NA,NA
Narcotics                        ,2016-00019502,09-30-2016,3:51,Ball State University,NA,NA,NA
Intoxicated Person               ,2016-00019514,10-01-2016,1:38,Ball State University,NA,NA,NA
Assist other Agency              ,2016-00019515,10-01-2016,1:43,Ball State University,NA,NA,NA
Intoxicated Person               ,2016-00019517,10-01-2016,2:12,Ball State University,NA,NA,NA
Property Damage                  ,2016-00019535,10-01-2016,9:22,Ball State University,NA,NA,NA
Intoxicated Person               ,2016-00019547,10-01-2016,3:10,Ball State University,NA,NA,NA
Noise Complaint                  ,2016-00019551,10-01-2016,3:45,Ball State University,NA,NA,NA
Accident Property Damage         ,2016-00019552,10-01-2016,3:46,Ball State University,NA,NA,NA
Intoxicated Person               ,2016-00019555,10-01-2016,4:34,Ball State University,NA,NA,NA
Assist Other Agency              ,2016-00019560,10-01-2016,6:07,Ball State University,NA,NA,NA
Intoxicated Person               ,2016-00019565,10-01-2016,7:14,Ball State University,NA,NA,NA
Indecent Exposure                ,2016-00019566,10-01-2016,7:27,Ball State University,NA,NA,NA
Accident Hit and Run             ,2016-00019568,10-01-2016,8:09,Ball State University,NA,NA,NA
Intoxicated Person               ,2016-00019570,10-01-2016,8:18,Ball State University,NA,NA,NA
Narcotics                        ,2016-00019573,10-01-2016,9:53,Ball State University,NA,NA,NA
Theft                            ,2016-00019583,10-01-2016,3:10,Ball State University,NA,NA,NA
Intoxicated Person               ,2016-00019592,10-02-2016,1:19,Ball State University,NA,NA,NA
Assist Other Agency              ,2016-00019595,10-02-2016,2:39,Ball State University,NA,NA,NA
Intoxicated Person               ,2016-00019597,10-02-2016,3:16,Ball State University,NA,NA,NA
Domestic Disturbance             ,2016-00019605,10-02-2016,7:50,Ball State University,NA,NA,NA
Welfare Check                    ,2016-00019630,10-02-2016,8:15,Ball State University,NA,NA,NA
Sexual Assault                   ,2016-00019646,10-02-2016,1:35,Ball State University,NA,NA,NA
Theft                            ,2016-00019662,10-03-2016,3:42,Ball State University,NA,NA,NA
Theft                            ,2016-00019695,10-03-2016,5:01,Ball State University,NA,NA,NA
Accident Property Damage         ,2016-00019701,10-03-2016,7:02,Ball State University,NA,NA,NA
Accident Property Damage         ,2016-00019716,10-03-2016,1:05,Ball State University,NA,NA,NA
Forgery                          ,2016-00019737,10-04-2016,2:44,Ball State University,NA,NA,NA
Theft                            ,2016-00019752,10-04-2016,6:00,Ball State University,NA,NA,NA
Resisting Law Enforcement        ,2016-00019798,10-05-2016,1:04,Ball State University,NA,NA,NA
Theft                            ,2016-00019799,10-05-2016,2:45,Ball State University,NA,NA,NA
Theft                            ,2016-00019850,10-05-2016,4:30,Ball State University,NA,NA,NA
Leaving Scene of Accident        ,2016-00019944,10-06-2016,7:46,Ball State University,NA,NA,NA
Assist other agency- disorderly  ,2016-00019965,10-06-2016,3:52,Ball State University,NA,NA,NA
Illegal Possession of alcohol    ,2016-00019969,10-07-2016,0:23,Ball State University,NA,NA,NA
Assist Other Agency - Burglary   ,2016-00020028,10-08-2016,2:04,Ball State University,NA,NA,NA
Narcotics                        ,2016-00020029,10-08-2016,2:20,Ball State University,NA,NA,NA
Illegal Possession of alcohol    ,2016-00020030,10-08-2016,2:51,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Assist Other Agency - Shooting          ,2016-00020042,10-08-2016,6:29,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020049,10-08-2016,8:46,Ball State University,NA,NA,NA
Public Intoxication                     ,2016-00020075,10-08-2016,0:56,Ball State University,NA,NA,NA
Unlawful Entry to Vehicle               ,2016-00020130,10-10-2016,2:00,Ball State University,NA,NA,NA
Assist Other Agency-Pointing a Firearm  ,2016-00020141,10-10-2016,6:29,Ball State University,NA,NA,NA
Assist Other Agency-Battery             ,2016-00020207,10-11-2016,2:00,Ball State University,NA,NA,NA
Theft                                   ,2016-00020253,10-12-2016,7:00,Ball State University,NA,NA,NA
Criminal Trespass                       ,2016-00020263,10-12-2016,9:03,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020276,10-13-2016,0:11,Ball State University,NA,NA,NA
Theft                                   ,2016-00020286,10-13-2016,7:45,Ball State University,NA,NA,NA
Theft                                   ,2016-00020292,10-13-2016,9:00,Ball State University,NA,NA,NA
Theft                                   ,2016-00020319,10-13-2016,3:45,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020322,10-13-2016,5:54,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020341,10-13-2016,9:58,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020426,10-14-2016,1:37,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020430,10-14-2016,3:28,Ball State University,NA,NA,NA
Disorderly Conduct                      ,2016-00020431,10-14-2016,3:58,Ball State University,NA,NA,NA
Residential Entry                       ,2016-00020435,10-15-2016,1:38,Ball State University,NA,NA,NA
Public Intoxication                     ,2016-00020481,10-16-2016,2:39,Ball State University,NA,NA,NA
Intoxicated Driver                      ,2016-00020493,10-16-2016,6:06,Ball State University,NA,NA,NA
Criminal Mischief                       ,2016-00020506,10-16-2016,1:45,Ball State University,NA,NA,NA
Leaving Scene of Accident               ,2016-00020512,10-16-2016,3:15,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020527,10-16-2016,9:06,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020528,10-16-2016,9:10,Ball State University,NA,NA,NA
Theft                                   ,2016-00020571,10-17-2016,1:00,Ball State University,NA,NA,NA
Check Fraud                             ,2016-00020587,10-17-2016,6:42,Ball State University,NA,NA,NA
Leaving Scene of Accident               ,2016-00020651,10-18-2016,3:45,Ball State University,NA,NA,NA
Harassment                              ,2016-00020720,10-19-2016,2:38,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020762,10-19-2016,2:44,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020821,10-20-2016,7:42,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020848,10-21-2016,0:14,Ball State University,NA,NA,NA
Theft                                   ,2016-00020912,10-21-2016,9:35,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020915,10-21-2016,9:58,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020921,10-21-2016,2:00,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020924,10-21-2016,2:43,Ball State University,NA,NA,NA
Assist Other Agency-Battery             ,2016-00020933,10-22-2016,1:13,Ball State University,NA,NA,NA
Assist Other Agency-Battery             ,2016-00020936,10-22-2016,1:55,Ball State University,NA,NA,NA
Narcotics                               ,2016-00020940,10-22-2016,2:11,Ball State University,NA,NA,NA
Sexual Assault                          ,2016-00020941,10-22-2016,1:00,Ball State University,NA,NA,NA
Public Intoxication                     ,2016-00020942,10-22-2016,3:07,Ball State University,NA,NA,NA
Leaving Scene of Accident               ,2016-00020953,10-22-2016,7:50,Ball State University,NA,NA,NA
Leaving Scene of Accident               ,2016-00020970,10-22-2016,3:04,Ball State University,NA,NA,NA
Battery                                 ,2016-00020980,10-22-2016,5:00,Ball State University,NA,NA,NA
Illegal Possession of alcohol           ,2016-00020981,10-22-2016,5:04,Ball State University,NA,NA,NA
Assist Other Agency-Public Intoxication ,2016-00020991,10-22-2016,7:11,Ball State University,NA,NA,NA
Criminal Mischief                       ,2016-00021000,10-22-2016,5:03,Ball State University,NA,NA,NA
Leaving Scene of Accident               ,2016-00021002,10-22-2016,0:12,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021004,10-22-2016,0:56,Ball State University,NA,NA,NA
Criminal Mischief                       ,2016-00021006,10-22-2016,0:00,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021010,10-22-2016,2:10,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021012,10-22-2016,3:04,Ball State University,NA,NA,NA
Sexual Battery                          ,2016-00021018,10-23-2016,0:00,Ball State University,NA,NA,NA
Intoxicated Person                      ,2016-00021021,10-23-2016,1:25,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021024,10-23-2016,2:03,Ball State University,NA,NA,NA
Rape                                    ,2016-00021043,10-23-2016,3:15,Ball State University,NA,NA,NA
Theft                                   ,2016-00021049,10-23-2016,1:15,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021072,10-23-2016,1:40,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021073,10-23-2016,1:58,Ball State University,NA,NA,NA
Assist Other Agency-Robbery             ,2016-00021087,10-24-2016,2:59,Ball State University,NA,NA,NA
Intoxicated Driver                      ,2016-00021088,10-24-2016,3:41,Ball State University,NA,NA,NA
Criminal Mischief                       ,2016-00021134,10-24-2016,9:04,Ball State University,NA,NA,NA
Sexual Assault                          ,2016-00021145,10-24-2016,2:30,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021147,10-25-2016,0:32,Ball State University,NA,NA,NA
Theft                                   ,2016-00021194,10-25-2016,8:00,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021215,10-25-2016,1:34,Ball State University,NA,NA,NA
Criminal Mischief                       ,2016-00021257,10-26-2016,8:30,Ball State University,NA,NA,NA
Battery                                 ,2016-00021269,10-26-2016,6:27,Ball State University,NA,NA,NA
Theft                                   ,2016-00021270,10-26-2016,8:19,Ball State University,NA,NA,NA
Criminal Mischief                       ,2016-00021281,10-26-2016,1:35,Ball State University,NA,NA,NA
Leaving Scene of Accident               ,2016-00021333,10-27-2016,4:15,Ball State University,NA,NA,NA
Theft                                   ,2016-00021345,10-27-2016,6:45,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021358,10-27-2016,9:30,Ball State University,NA,NA,NA
Battery                                 ,2016-00021403,10-28-2016,2:03,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021432,10-28-2016,1:36,Ball State University,NA,NA,NA
Intoxicated Person                      ,2016-00021440,10-29-2016,0:02,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021444,10-29-2016,0:46,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021445,10-29-2016,0:51,Ball State University,NA,NA,NA
Theft                                   ,2016-00021446,10-29-2016,4:00,Ball State University,NA,NA,NA
Theft                                   ,2016-00021496,10-29-2016,8:20,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021510,10-29-2016,2:40,Ball State University,NA,NA,NA
Intoxicated Person                      ,2016-00021519,10-30-2016,1:14,Ball State University,NA,NA,NA
Assist Other Agency- Theft              ,2016-00021520,10-30-2016,1:16,Ball State University,NA,NA,NA
Intoxicated Person                      ,2016-00021532,10-30-2016,3:28,Ball State University,NA,NA,NA
Intoxicated Person                      ,2016-00021533,10-30-2016,3:36,Ball State University,NA,NA,NA
Criminal Mischief                       ,2016-00021541,10-30-2016,7:01,Ball State University,NA,NA,NA
Theft                                   ,2016-00021551,10-30-2016,7:30,Ball State University,NA,NA,NA
Theft                                   ,2016-00021554,10-30-2016,3:00,Ball State University,NA,NA,NA
Battery                                 ,2016-00021572,10-30-2016,7:39,Ball State University,NA,NA,NA
Theft                                   ,2016-00021576,10-30-2016,7:30,Ball State University,NA,NA,NA
Theft                                   ,2016-00021611,10-31-2016,7:50,Ball State University,NA,NA,NA
Theft                                   ,2016-00021621,10-31-2016,1:00,Ball State University,NA,NA,NA
Shoplifting                             ,2016-00021628,10-31-2016,3:33,Ball State University,NA,NA,NA
Theft                                   ,2016-00021684,11-01-2016,0:06,Ball State University,NA,NA,NA
Assist Other Agency-Burglary            ,2016-00021730,11-02-2016,2:51,Ball State University,NA,NA,NA
Narcotics                               ,2016-00021878,11-03-2016,1:23,Ball State University,NA,NA,NA
Identity Deception                      ,2016-00021938,11-04-2016,4:37,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Theft                             ,2016-00021940,11-04-2016,4:57,Ball State University,NA,NA,NA
Public Intoxication               ,2016-00021963,11-05-2016,1:35,Ball State University,NA,NA,NA
Narcotics                         ,2016-00022004,11-05-2016,9:36,Ball State University,NA,NA,NA
Illegal Possession of alcohol     ,2016-00022017,11-06-2016,1:23,Ball State University,NA,NA,NA
Battery                           ,2016-00022024,11-06-2016,3:19,Ball State University,NA,NA,NA
Narcotics                         ,2016-00022067,11-06-2016,1:16,Ball State University,NA,NA,NA
Theft                             ,2016-00022071,11-06-2016,2:00,Ball State University,NA,NA,NA
Criminal Mischief                 ,2016-00022116,11-07-2016,6:47,Ball State University,NA,NA,NA
Leaving Scene of Accident         ,2016-00022121,11-07-2016,7:30,Ball State University,NA,NA,NA
Harassment                        ,2016-00022186,11-08-2016,8:24,Ball State University,NA,NA,NA
Assist Other Agency-Theft         ,2016-00022207,11-09-2016,1:19,Ball State University,NA,NA,NA
Theft                             ,2016-00022232,11-09-2016,5:00,Ball State University,NA,NA,NA
Theft                             ,2016-00022233,11-09-2016,3:29,Ball State University,NA,NA,NA
Narcotics                         ,2016-00022251,11-09-2016,8:24,Ball State University,NA,NA,NA
Criminal Mischief                 ,2016-00022355,11-11-2016,8:01,Ball State University,NA,NA,NA
Narcotics                         ,2016-00022411,11-11-2016,3:50,Ball State University,NA,NA,NA
Narcotics                         ,2016-00022476,11-12-2016,1:20,Ball State University,NA,NA,NA
Criminal Mischief                 ,2016-00022526,11-13-2016,2:00,Ball State University,NA,NA,NA
Battery                           ,2016-00022529,11-13-2016,5:48,Ball State University,NA,NA,NA
Criminal Mischief                 ,2016-00022536,11-13-2016,7:00,Ball State University,NA,NA,NA
Theft                             ,2016-00022587,11-14-2016,6:30,Ball State University,NA,NA,NA
Theft                             ,2016-00022595,11-14-2016,3:00,Ball State University,NA,NA,NA
Intimidation                      ,2016-00022625,11-15-2016,9:03,Ball State University,NA,NA,NA
Harassment                        ,2016-00022634,11-15-2016,1:26,Ball State University,NA,NA,NA
Criminal Mischief                 ,2016-00022649,11-15-2016,5:49,Ball State University,NA,NA,NA
Leaving Scene of Accident         ,2016-00022650,11-15-2016,5:50,Ball State University,NA,NA,NA
Leaving Scene of Accident         ,2016-00022655,11-15-2016,7:00,Ball State University,NA,NA,NA
Assist Other Agency (Burglary)    ,2016-00022665,11-15-2016,1:50,Ball State University,NA,NA,NA
Narcotics                         ,2016-00022668,11-16-2016,0:05,Ball State University,NA,NA,NA
Intimidation                      ,2016-00022709,11-16-2016,5:03,Ball State University,NA,NA,NA
Trespassing                       ,2016-00022712,11-16-2016,5:58,Ball State University,NA,NA,NA
Intimidation                      ,2016-00022726,11-16-2016,1:22,Ball State University,NA,NA,NA
Narcotics                         ,2016-00022730,11-17-2016,0:00,Ball State University,NA,NA,NA
Narcotics                         ,2016-00022783,11-17-2016,8:16,Ball State University,NA,NA,NA
Theft                             ,2016-00022798,11-17-2016,0:30,Ball State University,NA,NA,NA
Theft                             ,2016-00022874,11-18-2016,3:00,Ball State University,NA,NA,NA
Theft                             ,2016-00022884,11-18-2016,7:50,Ball State University,NA,NA,NA
Narcotics                         ,2016-00022885,11-18-2016,1:06,Ball State University,NA,NA,NA
Narcotics                         ,2016-00022887,11-18-2016,1:19,Ball State University,NA,NA,NA
Narcotics                         ,2016-00022889,11-18-2016,2:10,Ball State University,NA,NA,NA
Narcotics                         ,2016-00022893,11-19-2016,0:13,Ball State University,NA,NA,NA
Assist Other Agency-Battery       ,2016-00022896,11-19-2016,0:57,Ball State University,NA,NA,NA
Illegal Possession of alcohol     ,2016-00022897,11-19-2016,1:22,Ball State University,NA,NA,NA
Illegal Possession of alcohol     ,2016-00022900,11-19-2016,1:41,Ball State University,NA,NA,NA
Intimidation                      ,2016-00022939,11-19-2016,9:53,Ball State University,NA,NA,NA
Narcotics                         ,2016-00022948,11-19-2016,3:35,Ball State University,NA,NA,NA
Illegal Possession of alcohol     ,2016-00022955,11-20-2016,1:50,Ball State University,NA,NA,NA
Illegal Possession of alcohol     ,2016-00022957,11-20-2016,2:32,Ball State University,NA,NA,NA
Illegal Possession of alcohol     ,2016-00022963,11-20-2016,6:24,Ball State University,NA,NA,NA
Theft                             ,2016-00022983,11-20-2016,2:30,Ball State University,NA,NA,NA
Theft                             ,2016-00023072,11-21-2016,2:30,Ball State University,NA,NA,NA
Unlawful Entry to Vehicle         ,2016-00023118,11-22-2016,0:28,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023128,11-22-2016,3:14,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023146,11-22-2016,9:00,Ball State University,NA,NA,NA
Criminal Mischief                 ,2016-00023185,11-23-2016,2:00,Ball State University,NA,NA,NA
Burglary                          ,2016-00023239,11-25-2016,7:20,Ball State University,NA,NA,NA
Assist other agency-Vehicle Theft ,2016-00023256,11-26-2016,7:01,Ball State University,NA,NA,NA
Burglary                          ,2016-00023310,11-27-2016,8:23,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023318,11-27-2016,1:07,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023322,11-27-2016,2:05,Ball State University,NA,NA,NA
Counterfeiting                    ,2016-00023380,11-28-2016,0:45,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023430,11-29-2016,3:40,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023444,11-29-2016,8:06,Ball State University,NA,NA,NA
Intoxicated Driver                ,2016-00023464,11-30-2016,1:44,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023464,11-30-2016,1:44,Ball State University,NA,NA,NA
Theft by borrower                 ,2016-00023469,11-30-2016,8:41,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023487,11-30-2016,2:29,Ball State University,NA,NA,NA
Leaving Scene of Accident         ,2016-00023492,11-30-2016,3:20,Ball State University,NA,NA,NA
Harassment                        ,2016-00023494,11-30-2016,3:52,Ball State University,NA,NA,NA
Leaving Scene of Accident         ,2016-00023524,12-01-2016,0:50,Ball State University,NA,NA,NA
Criminal Mischief                 ,2016-00023532,12-01-2016,5:35,Ball State University,NA,NA,NA
Theft                             ,2016-00023542,12-01-2016,9:30,Ball State University,NA,NA,NA
Leaving Scene of Accident         ,2016-00023556,12-01-2016,2:30,Ball State University,NA,NA,NA
Leaving Scene of Accident         ,2016-00023577,12-01-2016,8:25,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023599,12-02-2016,1:26,Ball State University,NA,NA,NA
Stalking                          ,2016-00023630,12-02-2016,8:00,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023658,12-02-2016,5:52,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023669,12-02-2016,9:38,Ball State University,NA,NA,NA
Assist Other Agency - Burglary    ,2016-00023683,12-02-2016,3:53,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023691,12-03-2016,1:26,Ball State University,NA,NA,NA
Theft                             ,2016-00023721,12-03-2016,1:00,Ball State University,NA,NA,NA
Assist Other Agency - Battery     ,2016-00023727,12-03-2016,3:00,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023730,12-03-2016,9:07,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023744,12-03-2016,2:02,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023746,12-03-2016,3:26,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023747,12-03-2016,3:27,Ball State University,NA,NA,NA
Harassment                        ,2016-00023761,12-04-2016,2:22,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023807,12-04-2016,0:18,Ball State University,NA,NA,NA
Narcotics                         ,2016-00023808,12-04-2016,0:22,Ball State University,NA,NA,NA
