year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,treatment,rape,unit_id,control_of_institution,level_of_institution,total_price_oncampus_oos,total_price_oncampus_is,total_price_oncampus_id,total_price_offcampus_id,total_price_offcampus_is,total_price_offcampus_oos,total_price_offcampus_id_wfam,total_price_offcampus_is_wfam,total_price_offcampus_oos_wfam,frac_admitted_total,fulltime_retention_rate,undergraduate_enrollment,fulltime_undergraduate_enrollment,frac_total_black,frac_total_hispanic_latino,frac_total_asian,frac_total_white,frac_undergrad_asian,frac_undergrad_white,frac_undergrad_hispanic_latino,frac_undergrad_black,frac_ftime_undergrad_instate,frac_ftime_undergrad_outofstate,frac_ftime_undergrad_foreign_countries,total_enrollment,fulltime_enrollment,graduation_rate_total_cohort,frac_ftime_undergrad_award_any_financial_aid,frac_ftime_undergrad_award_student_loans,frac_core_revenues_tuition_fees,frac_core_revenues_state_apro,frac_core_revenues_local_apro,frac_core_revenues_gov_contracts,frac_core_revenues_priv_gifts_grants,frac_core_revenues_invest_return,frac_core_revenues_other,endowment_assests,state_abbreviation,degreegranting_status,longitude,latitude,calendar_system,sat_math_25,sat_math_75,sat_reading_75,sat_reading_25,student_to_faculty_ratio,sector_desc,sector_cd,noncampus_weapon,noncampus_drug,noncampus_liquor,oncampus_weapon,oncampus_drug,oncampus_liquor,publicproperty_weapon,publicproperty_drug,publicproperty_liquor,reported_weapon,reported_drug,reported_liquor,residencehall_weapon,residencehall_drug,residencehall_liquor,noncampus_murd,noncampus_neg_m,noncampus_rape,noncampus_fondl,noncampus_inces,noncampus_statr,noncampus_robbe,noncampus_agg_a,noncampus_burgla,noncampus_vehic,noncampus_arson,oncampus_murd,oncampus_neg_m,oncampus_rape,oncampus_fondl,oncampus_inces,oncampus_statr,oncampus_robbe,oncampus_agg_a,oncampus_burgla,oncampus_vehic,oncampus_arson,publicproperty_murd,publicproperty_neg_m,publicproperty_rape,publicproperty_fondl,publicproperty_inces,publicproperty_statr,publicproperty_robbe,publicproperty_agg_a,publicproperty_burgla,publicproperty_vehic,publicproperty_arson,reported_murd,reported_neg_m,reported_rape,reported_fondl,reported_inces,reported_statr,reported_robbe,reported_agg_a,reported_burgla,reported_vehic,reported_arson,residencehall_murd,residencehall_neg_m,residencehall_rape,residencehall_fondl,residencehall_inces,residencehall_statr,residencehall_robbe,residencehall_agg_a,residencehall_burgla,residencehall_vehic,residencehall_arson,reason1,reason2,reason3,university_enacted_1,university_enacted_2,clery_sexual_assault,clery_alcohol,clery_drug,clery_robbery,clery_offcampus_sexual_assault,clery_oncampus_sexual_assault,clery_oncampus_drug,clery_oncampus_liquor,residencehall_sexual_assault,clery_sexual_assault_per_25k,clery_alcohol_per_25k,clery_drug_per_25k,clery_robbery_per_25k,clery_offcampus_sexual_assault_per_25k,clery_oncampus_sexual_assault_per_25k,clery_oncampus_drug_per_25k,clery_oncampus_liquor_per_25k,residencehall_sexual_assault_per_25k,residencehall_drug_per_25k,residencehall_liquor_per_25k,sexual_assault_per_25k,alcohol_offense_per_25k,robbery_burglary_per_25k,drug_offense_per_25k,noncampus_liquor_per_25k,noncampus_drug_per_25k,noncampus_rape_per_25k
2018,Arkansas State University-Main Campus,17,112,80,57,12,112,5,0,2,106458,Public,4-year,29791,23101,23101,24192,24192,30882,15147,15147,21837,0.77,76,9350,6789,0.13,0.03,0.01,0.75,0.01,0.76,0.03,0.12,0.8,0.17,0.03,13709,7456,48,0.97,0.55,0.28,0.35,0,0.28,0.02,0.01,0.05,5931,AR,1,-90.679988,35.842388,Semester,520,608,588,510,18,"Public, 4-year or above",1,0,0,0,1,55,50,0,12,1,0,0,0,0,40,21,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,3,0,0,sexual assault,NA,NA,1,NA,13,51,67,0,0,13,55,50,9,23.70705376030345,93.00459552119045,122.18250784156393,0,0,23.70705376030345,100.29907360128382,91.18097600116712,16.41257568021008,72.94478080093369,38.29600992049019,31.00153184039682,204.24538624261436,21.883434240280106,145.88956160186737,0,0,0
2019,Arkansas State University-Main Campus,9,103,90,54,10,103,7,0,4,106458,Public,4-year,31348,24388,24388,23824,23824,30784,15913,15913,22873,0.8,75,8928,6439,0.13,0.03,0.01,0.75,0.01,0.74,0.04,0.13,NA,NA,NA,13356,7089,53,NA,NA,0.28,0.35,0,0.28,0.02,0.02,0.05,6332,NA,NA,-90.679988,35.842388,Semester,503,610,610,510,18,"Public, 4-year or above",1,0,0,0,2,53,52,0,5,0,0,0,0,0,33,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,5,0,0,sexual assault,NA,NA,1,NA,6,52,58,0,0,6,53,52,5,11.230907457322552,97.33453129679545,108.565438754118,0,0,11.230907457322552,99.2063492063492,97.33453129679545,9.359089547768793,61.76999101527404,67.38544474393531,16.846361185983827,192.79724468403714,18.718179095537586,168.4636118598383,0,0,0
2014,Ball State University,13,103,26,198,40,103,7,0,0,150136,Public,4-year,38046,22780,22780,22780,22780,38046,15142,15142,30408,0.6,81,16415,15018,0.07,0.03,0.01,0.79,0.01,0.8,0.04,0.07,0.84,0.15,0,20655,16455,59,0.89,0.67,0.37,0.32,0,0.13,0.03,0.01,0.14,9804,IN,1,-85.408863,40.198942,Semester,500,590,600,500,15,"Public, 4-year or above",1,0,0,0,4,64,531,0,0,1,0,0,0,3,54,526,0,0,0,0,0,0,0,0,1,0,0,0,0,14,5,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,2,5,0,0,behavior,NA,NA,1,NA,19,532,64,0,0,19,64,531,13,22.996853062212537,643.9118857419511,77.46308399903171,0,0,22.996853062212537,77.46308399903171,642.7015250544663,15.734688937303316,65.359477124183,636.6497216170419,15.734688937303316,124.66715081094165,48.41442749939482,31.469377874606632,0,0,0
2015,Ball State University,15,88,105,205,39,88,2,0,3,150136,Public,4-year,39198,23680,23680,23680,23680,39198,15564,15564,31082,0.61,82,16602,14716,0.07,0.04,0.01,0.79,0.01,0.79,0.04,0.07,NA,NA,NA,21196,16111,60,0.88,0.66,0.38,0.3,0,0.13,0.03,0.01,0.16,9953,IN,1,-85.408863,40.198942,Semester,500,590,600,510,14,"Public, 4-year or above",1,0,0,2,0,82,414,0,1,0,0,0,0,0,78,412,0,0,8,2,0,0,0,0,3,0,0,0,0,18,6,0,0,2,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,4,0,1,behavior,NA,NA,1,NA,34,416,83,2,10,24,82,414,19,40.101906020003774,490.6586148329874,97.89582940177392,2.358935648235516,11.79467824117758,28.307227778826196,96.71636157765616,488.2996791847519,22.409888658237403,91.99849028118513,485.94074353651627,17.69201736176637,103.79316852236272,45.99924514059256,123.8441215323646,2.358935648235516,0,9.435742592942065
2016,Ball State University,22,156,189,226,43,156,4,0,5,150136,Public,4-year,39714,23940,23940,23940,23940,39714,15434,15434,31208,0.62,81,17011,15110,0.07,0.04,0.01,0.78,0.01,0.79,0.04,0.08,0.83,0.17,0,21998,16389,58,0.9,0.69,0.38,0.3,0,0.13,0.03,0.01,0.15,9408,IN,1,-85.409043,40.203431,Semester,490,580,590,500,14,"Public, 4-year or above",1,0,3,12,1,68,396,0,6,1,0,0,0,1,53,395,0,0,2,6,0,0,0,2,3,0,0,0,0,13,10,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,1,0,0,behavior,NA,NA,1,NA,31,409,77,0,8,23,68,396,22,35.230475497772524,464.8149831802891,87.5079552686608,0,9.091735612328394,26.13873988544413,77.27975270479135,450.0409128102555,25.002272933903082,60.2327484316756,448.90444585871444,25.002272933903082,177.2888444404037,48.86807891626511,214.7922538412583,13.63760341849259,3.4094008546231476,2.2729339030820985
2017,Ball State University,43,174,283,205,53,174,0,0.18904109589041096,9,150136,Public,4-year,40448,24280,24280,24342,24342,40510,15670,15670,31838,0.62,78,17004,15203,0.08,0.05,0.02,0.78,0.01,0.78,0.05,0.08,0.81,0.19,0,22513,16440,62,0.9,0.66,0.39,0.31,0,0.14,0.03,0,0.13,10171,IN,1,-85.409043,40.203431,Semester,530,610,630,550,17,"Public, 4-year or above",1,0,3,7,0,104,396,0,3,1,0,0,0,0,84,383,0,0,6,0,0,0,0,2,3,0,0,0,0,21,16,0,0,0,0,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,0,5,0,0,behavior,NA,NA,1,NA,43,404,110,0,6,37,104,396,29,47.750188779816106,448.6296806289699,122.15164571580866,0,6.662817039044108,41.087371740772,115.48882867676454,439.7459245769111,32.203615688713185,93.27943854661751,425.30982099231557,47.750188779816106,193.2216941322791,58.85488384488962,314.2628703415804,7.77328654555146,3.331408519522054,6.662817039044108
2018,Ball State University,29,228,281,161,47,228,0,0.0821917808219178,11,150136,Public,4-year,41122,24550,24550,24550,24550,41122,15736,15736,32308,0.65,78,16069,14828,0.08,0.06,0.02,0.78,0.01,0.79,0.05,0.08,0.84,0.15,0,21795,16039,63,0.91,0.64,0.38,0.3,0,0.15,0.03,0.01,0.14,10910,IN,1,-85.409043,40.203431,Semester,NA,NA,NA,NA,16,"Public, 4-year or above",1,0,0,0,5,124,300,0,0,0,0,0,0,5,115,298,0,0,2,3,0,0,0,0,2,0,0,0,0,10,11,0,0,0,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,1,6,0,0,behavior,NA,NA,1,NA,26,300,124,0,5,21,124,300,15,29.823353980270706,344.1156228492774,142.234457444368,0,5.735260380821289,24.088093599449415,142.234457444368,344.1156228492774,17.205781142463866,131.91098875888963,341.82151869694883,33.26451020876348,261.5278733654508,53.91144757972012,322.32163340215646,0,0,2.2941041523285155
2019,Ball State University,22,182,236,236,52,182,0,0,11,150136,Public,4-year,41742,24962,24962,24626,24626,41406,16026,16026,32806,0.77,75,16702,14693,0.08,0.06,0.02,0.76,0.01,0.77,0.06,0.08,0.89,0.1,0,22443,15851,67,NA,NA,0.35,0.29,0,0.14,0.05,0.04,0.13,11137,NA,NA,-85.409043,40.203431,Semester,NA,NA,NA,NA,14,"Public, 4-year or above",1,0,2,1,0,113,229,0,4,0,0,0,0,0,90,226,0,0,3,0,0,0,0,1,1,0,0,0,0,9,10,0,0,1,1,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,1,1,11,0,0,behavior,NA,NA,1,NA,23,230,119,2,4,19,113,229,16,25.620460722719777,256.2046072271978,132.55803591320233,2.22786614980172,4.45573229960344,21.16472842311634,125.87443746379716,255.0906741522969,17.82292919841376,100.25397674107741,251.74887492759433,24.506527647818917,202.7358196319565,57.924519894844714,262.8882056766029,1.11393307490086,2.22786614980172,3.3417992247025796
2014,California Polytechnic State University-San Luis Obispo,18,79,18,20,18,79,0,0,10,110422,Public,4-year,35843,24683,24683,24683,24683,35843,13235,13235,24395,0.31,93,19246,18578,0.01,0.15,0.12,0.59,0.12,0.59,0.15,0.01,0.83,0.16,0.01,20186,19306,75,0.52,0.27,0.45,0.3,0,0.1,0.05,0,0.11,11377,CA,1,-120.65856,35.29889,Quarter,580,680,640,550,22,"Public, 4-year or above",1,0,1,4,0,39,133,0,0,0,0,0,0,0,30,120,0,0,1,0,0,0,1,0,4,0,0,0,0,11,3,0,0,0,1,11,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,3,0,2,behavior,sexual assault,NA,1,1,15,137,40,1,1,14,39,133,8,18.577231744773606,169.67204993559895,49.53928465272962,1.2384821163182402,1.2384821163182402,17.338749628455364,48.300802536411375,164.71812147032597,9.907856930545922,37.15446348954721,148.61785395818885,22.292678093728327,97.84008718914099,22.292678093728327,22.292678093728327,4.953928465272961,1.2384821163182402,1.2384821163182402
2015,California Polytechnic State University-San Luis Obispo,9,86,65,168,10,86,0,0.2273972602739726,4,110422,Public,4-year,36574,25414,25414,25414,25414,36574,13405,13405,24565,0.31,93,20049,19318,0.01,0.16,0.12,0.57,0.12,0.57,0.16,0.01,0.81,0.18,0.01,20944,19982,76,0.46,0.25,0.46,0.32,0,0.1,0.05,0,0.07,10555,CA,1,-120.65856,35.29889,Quarter,580,690,650,550,22,"Public, 4-year or above",1,0,0,0,3,22,327,0,0,0,0,0,0,2,4,325,0,0,2,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,4,0,2,behavior,sexual assault,NA,1,1,9,327,22,0,2,7,22,327,5,10.742933537051185,390.3265851795264,26.26050420168067,0,2.387318563789152,8.355614973262032,26.26050420168067,390.3265851795264,5.96829640947288,4.774637127578304,387.9392666157372,10.742933537051185,102.65469824293353,11.93659281894576,77.58785332314744,0,0,2.387318563789152
