year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,treatment,rape,unit_id,control_of_institution,level_of_institution,total_price_oncampus_oos,total_price_oncampus_is,total_price_oncampus_id,total_price_offcampus_id,total_price_offcampus_is,total_price_offcampus_oos,total_price_offcampus_id_wfam,total_price_offcampus_is_wfam,total_price_offcampus_oos_wfam,frac_admitted_total,fulltime_retention_rate,undergraduate_enrollment,fulltime_undergraduate_enrollment,frac_total_black,frac_total_hispanic_latino,frac_total_asian,frac_total_white,frac_undergrad_asian,frac_undergrad_white,frac_undergrad_hispanic_latino,frac_undergrad_black,frac_ftime_undergrad_instate,frac_ftime_undergrad_outofstate,frac_ftime_undergrad_foreign_countries,total_enrollment,fulltime_enrollment,graduation_rate_total_cohort,frac_ftime_undergrad_award_any_financial_aid,frac_ftime_undergrad_award_student_loans,frac_core_revenues_tuition_fees,frac_core_revenues_state_apro,frac_core_revenues_local_apro,frac_core_revenues_gov_contracts,frac_core_revenues_priv_gifts_grants,frac_core_revenues_invest_return,frac_core_revenues_other,endowment_assests,state_abbreviation,degreegranting_status,longitude,latitude,calendar_system,sat_math_25,sat_math_75,sat_reading_75,sat_reading_25,student_to_faculty_ratio,sector_desc,sector_cd,noncampus_weapon,noncampus_drug,noncampus_liquor,oncampus_weapon,oncampus_drug,oncampus_liquor,publicproperty_weapon,publicproperty_drug,publicproperty_liquor,reported_weapon,reported_drug,reported_liquor,residencehall_weapon,residencehall_drug,residencehall_liquor,noncampus_murd,noncampus_neg_m,noncampus_rape,noncampus_fondl,noncampus_inces,noncampus_statr,noncampus_robbe,noncampus_agg_a,noncampus_burgla,noncampus_vehic,noncampus_arson,oncampus_murd,oncampus_neg_m,oncampus_rape,oncampus_fondl,oncampus_inces,oncampus_statr,oncampus_robbe,oncampus_agg_a,oncampus_burgla,oncampus_vehic,oncampus_arson,publicproperty_murd,publicproperty_neg_m,publicproperty_rape,publicproperty_fondl,publicproperty_inces,publicproperty_statr,publicproperty_robbe,publicproperty_agg_a,publicproperty_burgla,publicproperty_vehic,publicproperty_arson,reported_murd,reported_neg_m,reported_rape,reported_fondl,reported_inces,reported_statr,reported_robbe,reported_agg_a,reported_burgla,reported_vehic,reported_arson,residencehall_murd,residencehall_neg_m,residencehall_rape,residencehall_fondl,residencehall_inces,residencehall_statr,residencehall_robbe,residencehall_agg_a,residencehall_burgla,residencehall_vehic,residencehall_arson,reason1,reason2,reason3,university_enacted_1,university_enacted_2,clery_sexual_assault,clery_alcohol,clery_drug,clery_robbery,clery_offcampus_sexual_assault,clery_oncampus_sexual_assault,clery_oncampus_drug,clery_oncampus_liquor,residencehall_sexual_assault,clery_sexual_assault_per_25k,clery_alcohol_per_25k,clery_drug_per_25k,clery_robbery_per_25k,clery_offcampus_sexual_assault_per_25k,clery_oncampus_sexual_assault_per_25k,clery_oncampus_drug_per_25k,clery_oncampus_liquor_per_25k,residencehall_sexual_assault_per_25k,residencehall_drug_per_25k,residencehall_liquor_per_25k,sexual_assault_per_25k,alcohol_offense_per_25k,robbery_burglary_per_25k,drug_offense_per_25k,noncampus_liquor_per_25k,noncampus_drug_per_25k,noncampus_rape_per_25k
2018,Florida International University,5,2,11,134,16,2,1,0.0958904109589041,1,133951,Public,4-year,35904,23496,23506,25844,25834,38242,15624,15614,28022,0.59,90,48818,27906,0.12,0.64,0.03,0.1,0.02,0.08,0.67,0.12,0.84,0.03,0.12,57942,34686,58,0.9,0.19,0.29,0.31,0,0.22,0.05,0.02,0.11,5301,FL,1,-80.373928,25.75732,Semester,530,620,640,560,26,"Public, 4-year or above",1,0,0,0,1,30,65,0,1,0,0,0,0,1,19,53,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,1,5,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,10,0,0,unknown,NA,NA,1,NA,23,65,31,1,0,23,30,65,3,9.923716820268545,28.04528666597632,13.37544440992717,0.43146594870732796,0,9.923716820268545,12.943978461219839,28.04528666597632,1.294397846121984,8.197853025439231,22.867695281488384,2.15732974353664,0.8629318974146559,6.903455179317247,4.746125435780608,0,0,0
2019,Florida International University,11,1,19,142,18,1,0,0,0,133951,Public,4-year,36263,23865,23865,26201,26201,38599,15785,15785,28183,0.58,89,49326,28335,0.12,0.64,0.03,0.1,0.02,0.09,0.67,0.12,NA,NA,NA,58711,35451,63,NA,NA,0.29,0.33,0,0.22,0.04,0.02,0.1,4444,NA,NA,-80.373928,25.75732,Semester,540,630,650,570,27,"Public, 4-year or above",1,0,0,0,3,56,39,0,0,0,0,0,0,2,50,39,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,4,4,16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,3,4,7,0,1,unknown,NA,NA,1,NA,30,39,56,4,0,30,56,39,26,12.774437498935464,16.606768748616105,23.845616664679532,1.703258333191395,0,12.774437498935464,23.845616664679532,16.606768748616105,11.071179165744068,21.29072916489244,16.606768748616105,4.683960416276337,0.42581458329784877,7.664662499361278,8.090477082659127,0,0,0
2014,Florida State University,8,404,191,328,102,404,0,0,8,134097,Public,4-year,36765,21599,21599,21599,21599,36765,11391,11391,26557,0.55,92,32948,29211,0.08,0.16,0.02,0.64,0.02,0.65,0.18,0.08,0.86,0.12,0.02,41226,35181,79,0.88,0.39,0.26,0.35,0,0.28,0.04,0.01,0.07,15957,FL,1,-84.294801,30.4421,Semester,560,640,640,570,26,"Public, 4-year or above",1,0,0,0,1,6,270,0,1,4,0,0,0,1,6,270,0,0,2,0,0,0,0,0,12,3,0,0,0,17,0,0,0,2,9,45,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,23,0,0,death,NA,NA,1,NA,19,274,7,2,2,17,6,270,13,11.521855139960218,166.15727938679473,4.244893998932712,1.212826856837918,1.212826856837918,10.309028283122302,3.638480570513753,163.7316256731189,7.883374569446466,3.638480570513753,163.7316256731189,4.851307427351672,244.99102508125938,61.854169698733806,115.82496482802115,0,0,1.212826856837918
2015,Florida State University,11,363,212,310,99,363,0,0,11,134097,Public,4-year,37237,22071,22071,22071,22071,37237,11807,11807,26973,0.56,93,32706,29185,0.08,0.17,0.02,0.63,0.02,0.64,0.19,0.08,0.87,0.11,0.02,40830,35129,79,0.89,0.36,0.26,0.38,0,0.26,0.04,0.01,0.06,15458,FL,1,-84.294801,30.4421,Semester,560,640,640,560,25,"Public, 4-year or above",1,0,0,0,0,1,331,0,0,0,0,0,0,0,1,331,0,0,4,0,0,0,0,0,8,11,1,0,0,24,0,0,0,3,6,25,41,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,15,0,1,death,NA,NA,1,NA,28,331,1,4,4,24,1,331,22,17.144256674014205,202.66960568209652,0.612294881214793,2.449179524859172,2.449179524859172,14.695077149155033,0.612294881214793,202.66960568209652,13.470487386725447,0.612294881214793,202.66960568209652,6.735243693362723,222.2630418809699,60.617193240264506,129.8065148175361,0,0,2.449179524859172
2016,Florida State University,10,317,240,379,133,317,0,0,10,134097,Public,4-year,37741,22575,22575,22575,22575,37741,12271,12271,27437,0.58,93,32933,29281,0.08,0.18,0.02,0.61,0.02,0.62,0.2,0.08,0.85,0.12,0.02,41173,35201,80,0.93,0.36,0.25,0.39,0,0.24,0.05,0.02,0.06,14905,FL,1,-84.291921,30.440756,Semester,550,640,640,560,24,"Public, 4-year or above",1,0,0,0,0,0,376,0,0,0,0,0,0,0,0,376,0,0,2,1,0,0,0,0,11,6,0,0,0,16,1,0,0,5,4,34,22,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,27,0,1,death,NA,NA,1,NA,20,376,0,6,3,17,0,376,9,12.143880698516018,228.30495713210115,0,3.6431642095548056,1.8215821047774028,10.322298593738614,0,228.30495713210115,5.464746314332208,0,228.30495713210115,6.071940349258009,192.48050907147888,80.75680664513152,145.72656838219223,0,0,1.2143880698516019
2017,Florida State University,16,239,208,334,104,239,0,0.15342465753424658,16,134097,Public,4-year,34904,21774,21774,21774,21774,34904,11316,11316,24446,0.49,94,33008,29286,0.08,0.18,0.03,0.61,0.02,0.62,0.2,0.08,0.88,0.12,0.01,41362,35050,80,0.96,0.32,0.25,0.42,0,0.24,0.06,0,0.03,16036,FL,1,-84.291921,30.440756,Semester,590,660,670,600,22,"Public, 4-year or above",1,0,0,0,0,1,388,0,0,0,0,0,0,0,1,388,0,0,1,0,0,0,0,0,6,3,0,0,0,12,2,0,0,7,4,24,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,20,0,1,death,NA,NA,1,NA,15,388,1,8,1,14,1,388,11,9.066292732459747,234.51477201295876,0.6044195154973163,4.8353561239785305,0.6044195154973163,8.4618732169624291,0.6044195154973163,234.51477201295876,6.648614670470481,0.6044195154973163,234.51477201295876,9.670712247957061,144.4562642038586,62.859629611720905,125.71925922344181,0,0,0.6044195154973163
2018,Florida State University,9,162,214,315,114,162,0,0.23013698630136983,9,134097,Public,4-year,35298,22168,22168,22168,22168,35298,11502,11502,24632,0.37,93,32736,29301,0.09,0.19,0.03,0.59,0.03,0.6,0.21,0.09,0.86,0.13,0.01,41269,34996,83,0.97,0.29,0.2,0.41,0,0.27,0.06,0.01,0.05,17073,FL,1,-84.291921,30.440756,Semester,590,670,680,610,21,"Public, 4-year or above",1,1,0,0,0,1,279,0,0,0,0,0,0,0,0,279,0,0,1,1,0,0,0,0,2,6,0,0,0,5,2,0,0,2,3,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,0,0,death,NA,NA,1,NA,9,279,1,2,2,7,1,279,3,5.452034214543604,169.0130606508517,0.6057815793937338,1.2115631587874676,1.2115631587874676,4.240471055756137,0.6057815793937338,169.0130606508517,1.8173447381812013,0,169.0130606508517,5.452034214543604,98.13661586178486,69.05910005088566,129.63725799025903,0,0,0.6057815793937338
2019,Florida State University,6,114,132,271,58,114,0,0,6,134097,Public,4-year,35576,22446,22446,22446,22446,35576,11666,11666,24796,0.36,93,33270,29879,0.09,0.2,0.03,0.59,0.03,0.59,0.21,0.09,0.89,0.11,0,42450,35818,83,NA,NA,0.17,0.4,0,0.28,0.08,0.03,0.05,17618,NA,NA,-84.291921,30.440756,Semester,590,670,670,610,21,"Public, 4-year or above",1,0,0,0,0,0,218,0,0,0,0,0,0,0,0,218,0,0,2,0,0,0,1,0,6,0,0,0,0,1,0,0,0,9,0,28,22,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,death,NA,NA,1,NA,3,218,0,12,2,1,0,218,0,1.76678445229682,128.38633686690224,0,7.06713780918728,1.1778563015312131,0.5889281507656066,0,128.38633686690224,0,0,128.38633686690224,3.53356890459364,67.13780918727915,34.157832744405184,77.73851590106007,0,0,1.1778563015312131
2014,Hampden-Sydney College,2,36,18,43,3,36,0,0,0,232256,Private not-for-profit,4-year,54266,54266,54266,55104,55104,55104,44604,44604,44604,0.47,83,1105,1104,0.08,0.02,0.02,0.82,0.02,0.82,0.02,0.08,0.66,0.32,0.02,1105,1104,67,1,0.63,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-78.461371,37.242482,Semester,500,610,600,495,11,"Private nonprofit, 4-year or above",2,0,3,0,0,15,42,0,0,0,0,0,0,0,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,2,42,18,1,0,2,15,42,2,45.248868778280546,950.2262443438913,407.2398190045249,22.624434389140273,0,45.248868778280546,339.3665158371041,950.2262443438913,45.248868778280546,248.86877828054298,701.3574660633484,45.248868778280546,814.4796380090498,67.87330316742081,407.2398190045249,0,67.87330316742081,0
2015,Hampden-Sydney College,4,23,13,32,17,23,0,0,0,232256,Private not-for-profit,4-year,57790,57790,57790,56138,56138,56138,44730,44730,44730,0.55,83,1087,1086,0.06,0.02,0.01,0.81,0.01,0.81,0.02,0.06,NA,NA,NA,1087,1086,63,1,0.57,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-78.461371,37.242482,Semester,500,610,620,500,11,"Private nonprofit, 4-year or above",2,0,0,0,1,23,39,0,0,5,0,0,0,0,23,19,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,3,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,14,0,0,NA,NA,NA,NA,NA,4,44,23,1,0,4,23,39,4,91.99632014719411,1011.9595216191352,528.9788408463661,22.999080036798528,0,91.99632014719411,528.9788408463661,896.9641214351426,91.99632014719411,528.9788408463661,436.9825206991721,91.99632014719411,528.9788408463661,390.984360625575,298.98804047838087,0,0,0
2016,Hampden-Sydney College,0,9,29,34,16,9,0,0,0,232256,Private not-for-profit,4-year,59248,59248,59248,57370,57370,57370,45962,45962,45962,0.56,80,1027,1026,0.05,0.04,0.01,0.84,0.01,0.84,0.04,0.05,0.68,0.32,0,1027,1026,66,0.99,0.61,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-78.464216,37.240615,Semester,510,615,615,500,10,"Private nonprofit, 4-year or above",2,0,1,0,0,47,44,0,0,0,0,0,0,0,44,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,2,NA,NA,NA,NA,NA,0,44,48,0,0,0,47,44,0,0,1071.080817916261,1168.4518013631937,0,0,0,1144.1090555014607,1071.080817916261,0,1071.080817916261,900.6815968841285,0,219.08471275559884,389.48393378773125,705.9396299902629,0,24.342745861733203,0
2017,Hampden-Sydney College,2,26,25,13,11,26,0,0,0,232256,Private not-for-profit,4-year,60360,60360,60360,58348,58348,58348,46940,46940,46940,0.55,84,1046,1039,0.04,0.04,0,0.86,0,0.86,0.04,0.04,NA,NA,NA,1046,1039,64,1,0.63,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-78.464216,37.240615,Semester,520,630,635,530,10,"Private nonprofit, 4-year or above",2,0,7,0,0,37,69,0,0,1,0,0,0,0,25,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,NA,NA,NA,NA,NA,1,70,44,0,0,1,37,69,1,23.90057361376673,1673.0401529636713,1051.6252390057361,0,0,23.90057361376673,884.321223709369,1649.1395793499044,23.90057361376673,597.5143403441682,1290.6309751434035,47.80114722753346,621.414913957935,262.90630975143404,597.5143403441682,0,167.3040152963671,0
2018,Hampden-Sydney College,0,63,28,26,9,63,0,0,0,232256,Private not-for-profit,4-year,62304,62304,62304,60154,60154,60154,48746,48746,48746,0.59,81,1072,1070,0.05,0.04,0.01,0.86,0.01,0.86,0.04,0.05,0.73,0.25,0,1072,1070,66,1,0.59,NA,NA,NA,NA,NA,NA,NA,NA,VA,1,-78.464216,37.240615,Semester,520,620,630,530,11,"Private nonprofit, 4-year or above",2,0,0,1,0,42,64,0,0,5,0,0,0,0,26,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,NA,NA,NA,NA,NA,0,70,42,0,0,0,42,64,0,0,1632.462686567164,979.4776119402985,0,0,0,979.4776119402985,1492.5373134328358,0,606.3432835820896,979.4776119402985,0,1469.216417910448,209.88805970149252,652.9850746268656,23.32089552238806,0,0
2019,Hampden-Sydney College,3,18,27,13,3,18,0,0,0,232256,Private not-for-profit,4-year,63602,63602,63602,61298,61298,61298,49890,49890,49890,0.57,79,993,986,0.05,0.05,0.01,0.85,0.01,0.85,0.05,0.05,NA,NA,NA,993,986,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.464216,37.240615,Semester,520,650,670,540,10,"Private nonprofit, 4-year or above",2,0,2,2,1,21,31,0,0,0,0,0,0,1,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,4,33,23,1,0,4,21,31,3,100.70493454179255,830.8157099697885,579.0533736153071,25.17623363544814,0,100.70493454179255,528.7009063444109,780.4632426988923,75.52870090634441,453.1722054380665,503.5246727089627,75.52870090634441,453.1722054380665,75.52870090634441,679.7583081570997,50.35246727089628,50.35246727089628,0
2014,Indiana University-Bloomington,26,517,613,462,33,517,1,0,8,151351,Public,4-year,47270,24417,24417,24417,24417,47270,15958,15958,38811,0.76,89,36419,31370,0.04,0.04,0.04,0.69,0.04,0.73,0.05,0.04,0.57,0.34,0.08,46416,37670,78,0.71,0.39,0.54,0.16,0,0.12,0.08,0.05,0.05,23237,IN,1,-86.526904,39.166383,Semester,540,660,630,520,17,"Public, 4-year or above",1,0,3,2,0,239,1215,0,0,0,0,0,0,0,220,1073,0,0,9,1,0,0,1,3,7,1,0,0,0,13,6,0,0,6,9,16,9,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,2,11,0,0,unknown,NA,NA,0,NA,29,1217,242,7,10,19,239,1215,16,15.619613926232335,655.4851775249914,130.342985177525,3.770251637366425,5.386073767666322,10.233540158566012,128.7271630472251,654.4079627714581,8.617718028266115,118.49362288865908,577.9257152705964,14.003791795932436,278.4600137883488,17.77404343329886,330.16632195794557,1.0772147535332643,1.6158221302998967,4.847466390899689
2015,Indiana University-Bloomington,28,458,611,388,34,458,3,0,15,151351,Public,4-year,47892,24539,24539,24539,24539,47892,15822,15822,39175,0.78,89,38364,31728,0.04,0.05,0.04,0.65,0.04,0.67,0.05,0.04,0.57,0.34,0.09,48514,38003,77,0.76,0.38,0.56,0.17,0,0.12,0.08,0.01,0.07,23038,IN,1,-86.526904,39.166383,Semester,540,660,630,520,17,"Public, 4-year or above",1,0,3,0,0,218,1123,0,0,0,0,0,0,0,211,1109,0,0,10,2,0,0,2,0,6,3,0,0,0,29,14,0,2,1,8,41,7,2,0,0,0,0,0,0,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,0,2,0,5,21,0,0,unknown,NA,NA,0,NA,55,1123,221,4,12,43,218,1123,39,28.34233417157934,578.6989322669745,113.88465185307334,2.061260667023952,6.183782001071856,22.15855217050748,112.33870635280537,578.6989322669745,20.097291503483532,108.73150018551347,571.4845199323906,14.428824669167662,236.0143463742425,17.52071566970359,314.85756688790866,0,1.545945500267964,5.15315166755988
2016,Indiana University-Bloomington,22,425,531,418,49,425,3,0,12,151351,Public,4-year,48667,24809,24809,24809,24809,48667,15948,15948,39806,0.79,91,39184,32005,0.04,0.05,0.05,0.67,0.05,0.71,0.05,0.04,0.57,0.34,0.09,49695,38398,76,0.77,0.38,0.57,0.17,0,0.11,0.07,0.02,0.06,23402,IN,1,-86.526904,39.166383,Semester,540,660,630,520,17,"Public, 4-year or above",1,0,0,0,0,30,1022,0,0,0,0,0,0,0,30,1019,0,0,6,0,0,0,0,2,13,3,0,0,0,15,9,0,0,2,1,44,10,3,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,1,27,0,2,unknown,NA,NA,0,NA,30,1022,30,5,6,24,30,1022,19,15.092061575611227,514.1362310091558,15.092061575611227,2.515343595935205,3.0184123151222457,12.073649260488983,15.092061575611227,514.1362310091558,9.558305664553778,15.092061575611227,512.6270248515947,11.0675118221149,213.8042056544924,24.650367240165007,267.12948988831874,0,0,3.0184123151222457
2017,Indiana University-Bloomington,21,390,434,398,43,390,2,0.0958904109589041,10,151351,Public,4-year,48739,24427,24427,24427,24427,48739,15663,15663,39975,0.76,91,33429,32212,0.04,0.06,0.05,0.66,0.05,0.69,0.06,0.04,0.55,0.36,0.09,43710,38505,77,0.77,0.35,0.55,0.16,0,0.11,0.08,0.04,0.06,25341,IN,1,-86.526559,39.16609,Semester,570,680,670,570,17,"Public, 4-year or above",1,0,6,8,0,240,831,0,13,8,0,0,0,0,144,809,0,0,5,1,0,0,0,2,17,1,0,0,0,20,6,0,0,4,3,35,5,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,2,2,18,0,2,unknown,NA,NA,0,NA,33,847,259,4,7,26,240,831,22,18.87439945092656,484.44291924044836,148.13543811484786,2.2878059940517046,4.003660489590483,14.870738961336079,137.26835964310226,475.2916952642416,12.582932967284373,82.36101578586135,462.7087622969572,12.010981468771448,223.0610844200412,24.593914436055822,248.22695035460995,4.575611988103409,3.4317089910775564,2.8597574925646305
2018,Indiana University-Bloomington,31,406,434,362,74,406,2,0.1589041095890411,19,151351,Public,4-year,49554,24779,24779,24779,24779,49554,15929,15929,40704,0.77,91,33301,32109,0.04,0.06,0.06,0.66,0.06,0.69,0.06,0.05,0.57,0.35,0.07,43503,38311,78,0.84,0.35,0.56,0.17,0,0.11,0.08,0.02,0.06,27729,IN,1,-86.526559,39.16609,Semester,570,690,670,580,16,"Public, 4-year or above",1,0,16,14,0,446,1179,0,14,16,0,0,0,0,162,1164,0,0,9,1,0,0,1,1,36,0,0,0,0,13,10,0,0,3,6,39,2,3,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,2,3,16,0,1,unknown,NA,NA,0,NA,33,1209,476,4,10,23,446,1179,21,18.964209364871387,694.7796703675608,273.54435326299335,2.298692044226835,5.746730110567087,13.217479254304301,256.3041629312921,677.5394800358596,12.068133232190883,93.09702779118682,668.919384870009,17.81486334275797,233.31724248902373,42.525802818196446,249.40808679861158,8.045422154793922,9.19476817690734,5.172057099510378
2019,Indiana University-Bloomington,29,318,402,266,26,318,0,0,17,151351,Public,4-year,51222,25657,25657,25657,25657,51222,16307,16307,41872,0.78,90,33084,31981,0.04,0.07,0.06,0.66,0.06,0.69,0.07,0.04,0.56,0.37,0.06,43260,38129,79,NA,NA,0.53,0.16,0,0.11,0.08,0.05,0.06,28373,NA,NA,-86.526559,39.16609,Semester,570,690,670,580,16,"Public, 4-year or above",1,0,2,3,0,247,913,0,5,7,0,0,0,0,188,872,0,0,2,0,0,0,1,2,6,2,0,0,0,19,5,0,0,0,6,17,12,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,3,9,0,3,unknown,NA,NA,0,NA,26,923,254,3,2,24,247,913,17,15.02542764678687,533.4026814609339,146.78687008784095,1.7337031900138695,1.155802126675913,13.869625520110956,142.74156264447527,527.6236708275543,9.824318076745262,108.64539990753583,503.92972723069806,16.75913083680074,183.7725381414702,15.02542764678687,232.31622746185855,1.7337031900138695,1.155802126675913,1.155802126675913
2014,James Madison University,NA,NA,NA,NA,NA,NA,NA,0,NA,232423,Public,4-year,38872,24012,24012,24012,24012,38872,15792,15792,30652,0.66,92,19144,18057,0.04,0.05,0.04,0.77,0.04,0.77,0.05,0.04,0.71,0.27,0.01,20855,19123,82,0.63,0.45,0.51,0.24,0,0.09,0.02,0,0.13,3904,VA,1,-78.871663,38.435332,Semester,530,620,610,520,16,"Public, 4-year or above",1,0,0,0,2,47,1012,0,0,0,0,0,0,1,47,1003,0,0,2,3,0,0,0,0,1,0,0,0,0,4,1,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,15,0,0,NA,NA,NA,NA,NA,10,1012,47,0,5,5,47,1012,5,11.987532965715655,1213.1383361304245,56.34140493886358,0,5.993766482857827,5.993766482857827,56.34140493886358,1213.1383361304245,5.993766482857827,56.34140493886358,1202.3495564612804,NA,NA,NA,NA,0,0,2.397506593143131
2015,James Madison University,NA,NA,NA,NA,NA,NA,NA,0,NA,232423,Public,4-year,39746,24612,24612,24612,24612,39746,16192,16192,31326,0.73,91,19396,18433,0.04,0.06,0.04,0.76,0.04,0.75,0.06,0.04,NA,NA,NA,21227,19546,83,0.62,0.43,0.53,0.23,0,0.09,0.01,0,0.14,4009,VA,1,-78.871663,38.435332,Semester,520,610,610,520,16,"Public, 4-year or above",1,0,0,2,0,91,962,0,0,9,0,0,0,0,79,894,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,1,1,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,1,12,0,0,NA,NA,NA,NA,NA,16,973,91,1,0,16,91,962,16,18.843925189617,1145.9462005935836,107.17482451594667,1.1777453243510625,0,18.843925189617,107.17482451594667,1132.991002025722,18.843925189617,93.04188062373393,1052.9043199698497,NA,NA,NA,NA,2.355490648702125,0,0
2016,James Madison University,NA,NA,NA,NA,NA,NA,NA,0,NA,232423,Public,4-year,40638,24864,24864,24864,24864,40638,16520,16520,32294,0.72,91,19548,18554,0.05,0.06,0.04,0.75,0.05,0.75,0.06,0.05,0.72,0.26,0.02,21270,19597,82,0.63,0.43,0.51,0.22,0,0.08,0.01,0,0.18,3829,VA,1,-78.870484,38.436311,Semester,520,610,610,510,16,"Public, 4-year or above",1,0,0,0,0,63,872,0,1,0,0,0,0,0,54,840,0,0,2,1,0,0,0,0,2,0,0,0,0,4,4,0,0,1,0,20,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,8,0,1,NA,NA,NA,NA,NA,11,872,64,1,3,8,63,872,7,12.929007992477668,1024.9177244945934,75.22331922896097,1.1753643629525152,3.5260930888575457,9.402914903620122,74.04795486600847,1024.9177244945934,8.227550540667607,63.46967559943583,987.3060648801129,NA,NA,NA,NA,0,0,2.3507287259050305
2017,James Madison University,16,505,280,81,6,504,23,0,0,232423,Public,4-year,42522,26122,26122,26122,26122,42522,17026,17026,33426,0.75,90,19975,18905,0.05,0.06,0.04,0.75,0.05,0.74,0.07,0.05,NA,NA,NA,21836,19925,83,0.63,0.43,0.57,0.25,0,0.09,0.01,0,0.07,4471,VA,1,-78.870484,38.436311,Semester,540,620,640,560,16,"Public, 4-year or above",1,0,0,1,0,85,684,0,0,1,0,0,0,0,53,646,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,12,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,2,NA,NA,NA,NA,NA,8,686,85,0,0,8,85,684,7,9.159186664224217,785.4002564572266,97.3163583073823,0,0,9.159186664224217,97.3163583073823,783.1104597911705,8.01428833119619,60.679611650485434,739.6043231361054,18.318373328448434,578.1736581791537,6.869389998168163,320.5715332478476,1.1448983330280271,0,0
