month,year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,treatment,closure_1,closure_1_end,closure_2,closure_2_end,university_enacted_1,university_enacted_2,reason1,reason2,unit_id,graduation_rate_total_cohort_,total_number_of_undergraduates_financial_aid_cohort_,state_abbreviation,fips_state_code,sector_of_institution,level_of_institution,control_of_institution,degree_granting_status,postsecondary_and_title_iv_institution_indicator,institutional_category,institution_size_category,longitude,latitude,x91,total_students_all,total_black_all,total_asian_all,total_women_all,total_men_all,total_undergrad_men,total_undergrad_women,total_undergrad_black,total_undergrad_asian,total_undergrad_hispanic,total_undergrad_white_men,total_undergrad_white_women,total_white_all,ftime_total_undergrad,ftime_total_undergrad_men,ftime_total_undergrad_women,total_students_undergrad
11,2018,Florida International University,0,0,0,4,0,0,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,58,48818,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,57942,7235,1539,33090,24852,21219,27599,6052,1152,32877,1818,2305,5708,27906,12013,15893,48818
12,2018,Florida International University,0,0,0,0,0,0,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,58,48818,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,57942,7235,1539,33090,24852,21219,27599,6052,1152,32877,1818,2305,5708,27906,12013,15893,48818
1,2019,Florida International University,0,1,5,2,0,1,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,63,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,58711,7316,1551,33527,25184,21421,27905,6120,1157,33033,1931,2437,5973,28335,12129,16206,49326
2,2019,Florida International University,1,0,0,5,0,0,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,63,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,58711,7316,1551,33527,25184,21421,27905,6120,1157,33033,1931,2437,5973,28335,12129,16206,49326
3,2019,Florida International University,1,0,1,4,1,0,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,63,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,58711,7316,1551,33527,25184,21421,27905,6120,1157,33033,1931,2437,5973,28335,12129,16206,49326
4,2019,Florida International University,2,0,1,3,0,0,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,63,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,58711,7316,1551,33527,25184,21421,27905,6120,1157,33033,1931,2437,5973,28335,12129,16206,49326
5,2019,Florida International University,0,0,0,1,0,0,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,63,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,58711,7316,1551,33527,25184,21421,27905,6120,1157,33033,1931,2437,5973,28335,12129,16206,49326
6,2019,Florida International University,1,0,0,9,0,0,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,63,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,58711,7316,1551,33527,25184,21421,27905,6120,1157,33033,1931,2437,5973,28335,12129,16206,49326
7,2019,Florida International University,0,0,0,7,0,0,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,63,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,58711,7316,1551,33527,25184,21421,27905,6120,1157,33033,1931,2437,5973,28335,12129,16206,49326
8,2019,Florida International University,0,0,0,1,0,0,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,63,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,58711,7316,1551,33527,25184,21421,27905,6120,1157,33033,1931,2437,5973,28335,12129,16206,49326
9,2019,Florida International University,0,0,1,2,1,0,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,63,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,58711,7316,1551,33527,25184,21421,27905,6120,1157,33033,1931,2437,5973,28335,12129,16206,49326
10,2019,Florida International University,0,0,0,2,1,0,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,63,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,58711,7316,1551,33527,25184,21421,27905,6120,1157,33033,1931,2437,5973,28335,12129,16206,49326
11,2019,Florida International University,0,0,0,1,0,0,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,63,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,58711,7316,1551,33527,25184,21421,27905,6120,1157,33033,1931,2437,5973,28335,12129,16206,49326
12,2019,Florida International University,0,1,2,1,0,1,0,0,2018-01-01T00:00:00Z,2018-02-05T00:00:00Z,NA,NA,1,NA,national trends,NA,133951,63,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,58711,7316,1551,33527,25184,21421,27905,6120,1157,33033,1931,2437,5973,28335,12129,16206,49326
1,2014,Florida State University,0,33,6,3,4,33,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32948,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,41226,3377,1029,22645,18581,14861,18087,2669,808,5872,9936,11586,26466,29211,12820,16391,32948
2,2014,Florida State University,1,37,12,7,10,37,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32948,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,41226,3377,1029,22645,18581,14861,18087,2669,808,5872,9936,11586,26466,29211,12820,16391,32948
3,2014,Florida State University,1,15,9,8,3,15,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32948,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,41226,3377,1029,22645,18581,14861,18087,2669,808,5872,9936,11586,26466,29211,12820,16391,32948
4,2014,Florida State University,0,15,11,14,1,15,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32948,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,41226,3377,1029,22645,18581,14861,18087,2669,808,5872,9936,11586,26466,29211,12820,16391,32948
5,2014,Florida State University,0,7,6,3,1,7,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32948,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,41226,3377,1029,22645,18581,14861,18087,2669,808,5872,9936,11586,26466,29211,12820,16391,32948
6,2014,Florida State University,0,17,5,5,2,17,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32948,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,41226,3377,1029,22645,18581,14861,18087,2669,808,5872,9936,11586,26466,29211,12820,16391,32948
7,2014,Florida State University,0,25,7,3,1,25,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32948,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,41226,3377,1029,22645,18581,14861,18087,2669,808,5872,9936,11586,26466,29211,12820,16391,32948
8,2014,Florida State University,2,11,9,6,1,11,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32948,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,41226,3377,1029,22645,18581,14861,18087,2669,808,5872,9936,11586,26466,29211,12820,16391,32948
9,2014,Florida State University,0,45,5,17,11,45,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32948,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,41226,3377,1029,22645,18581,14861,18087,2669,808,5872,9936,11586,26466,29211,12820,16391,32948
10,2014,Florida State University,1,27,11,18,4,27,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32948,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,41226,3377,1029,22645,18581,14861,18087,2669,808,5872,9936,11586,26466,29211,12820,16391,32948
11,2014,Florida State University,0,22,19,13,1,22,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32948,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,41226,3377,1029,22645,18581,14861,18087,2669,808,5872,9936,11586,26466,29211,12820,16391,32948
12,2014,Florida State University,0,3,7,6,2,3,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32948,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,41226,3377,1029,22645,18581,14861,18087,2669,808,5872,9936,11586,26466,29211,12820,16391,32948
1,2015,Florida State University,0,16,13,8,4,16,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32706,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40830,3302,1017,22460,18370,14710,17996,2611,783,6205,9593,11323,25711,29185,12778,16407,32706
2,2015,Florida State University,1,15,10,6,3,15,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32706,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40830,3302,1017,22460,18370,14710,17996,2611,783,6205,9593,11323,25711,29185,12778,16407,32706
3,2015,Florida State University,0,8,7,19,7,8,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32706,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40830,3302,1017,22460,18370,14710,17996,2611,783,6205,9593,11323,25711,29185,12778,16407,32706
4,2015,Florida State University,0,11,9,19,2,11,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32706,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40830,3302,1017,22460,18370,14710,17996,2611,783,6205,9593,11323,25711,29185,12778,16407,32706
5,2015,Florida State University,0,4,2,13,6,4,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32706,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40830,3302,1017,22460,18370,14710,17996,2611,783,6205,9593,11323,25711,29185,12778,16407,32706
6,2015,Florida State University,1,10,6,4,0,10,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32706,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40830,3302,1017,22460,18370,14710,17996,2611,783,6205,9593,11323,25711,29185,12778,16407,32706
7,2015,Florida State University,1,18,5,7,1,18,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32706,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40830,3302,1017,22460,18370,14710,17996,2611,783,6205,9593,11323,25711,29185,12778,16407,32706
8,2015,Florida State University,1,35,6,11,2,35,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32706,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40830,3302,1017,22460,18370,14710,17996,2611,783,6205,9593,11323,25711,29185,12778,16407,32706
9,2015,Florida State University,0,36,13,15,4,36,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32706,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40830,3302,1017,22460,18370,14710,17996,2611,783,6205,9593,11323,25711,29185,12778,16407,32706
10,2015,Florida State University,1,28,11,20,7,28,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32706,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40830,3302,1017,22460,18370,14710,17996,2611,783,6205,9593,11323,25711,29185,12778,16407,32706
11,2015,Florida State University,0,12,16,8,7,12,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32706,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40830,3302,1017,22460,18370,14710,17996,2611,783,6205,9593,11323,25711,29185,12778,16407,32706
12,2015,Florida State University,0,2,4,6,5,2,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,79,32706,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40830,3302,1017,22460,18370,14710,17996,2611,783,6205,9593,11323,25711,29185,12778,16407,32706
1,2016,Florida State University,0,11,11,9,3,11,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,32933,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41173,3486,1017,22868,18305,14688,18245,2741,783,6526,9364,11173,25262,29281,12755,16526,32933
2,2016,Florida State University,0,15,9,5,6,15,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,32933,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41173,3486,1017,22868,18305,14688,18245,2741,783,6526,9364,11173,25262,29281,12755,16526,32933
3,2016,Florida State University,0,8,4,11,2,8,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,32933,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41173,3486,1017,22868,18305,14688,18245,2741,783,6526,9364,11173,25262,29281,12755,16526,32933
4,2016,Florida State University,2,20,8,15,4,20,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,32933,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41173,3486,1017,22868,18305,14688,18245,2741,783,6526,9364,11173,25262,29281,12755,16526,32933
5,2016,Florida State University,0,5,7,8,3,5,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,32933,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41173,3486,1017,22868,18305,14688,18245,2741,783,6526,9364,11173,25262,29281,12755,16526,32933
6,2016,Florida State University,0,5,9,5,14,5,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,32933,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41173,3486,1017,22868,18305,14688,18245,2741,783,6526,9364,11173,25262,29281,12755,16526,32933
7,2016,Florida State University,0,14,14,10,4,14,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,32933,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41173,3486,1017,22868,18305,14688,18245,2741,783,6526,9364,11173,25262,29281,12755,16526,32933
8,2016,Florida State University,0,16,5,15,4,16,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,32933,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41173,3486,1017,22868,18305,14688,18245,2741,783,6526,9364,11173,25262,29281,12755,16526,32933
9,2016,Florida State University,0,20,3,19,2,20,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,32933,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41173,3486,1017,22868,18305,14688,18245,2741,783,6526,9364,11173,25262,29281,12755,16526,32933
10,2016,Florida State University,1,31,23,20,6,31,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,32933,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41173,3486,1017,22868,18305,14688,18245,2741,783,6526,9364,11173,25262,29281,12755,16526,32933
11,2016,Florida State University,0,6,12,12,8,6,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,32933,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41173,3486,1017,22868,18305,14688,18245,2741,783,6526,9364,11173,25262,29281,12755,16526,32933
12,2016,Florida State University,1,4,5,11,1,4,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,32933,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41173,3486,1017,22868,18305,14688,18245,2741,783,6526,9364,11173,25262,29281,12755,16526,32933
1,2017,Florida State University,0,13,9,9,2,13,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,33008,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41362,3462,1045,23073,18289,14625,18383,2719,786,6662,9207,11114,25054,29286,12700,16586,33008
2,2017,Florida State University,0,9,10,14,6,9,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,33008,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41362,3462,1045,23073,18289,14625,18383,2719,786,6662,9207,11114,25054,29286,12700,16586,33008
3,2017,Florida State University,0,7,2,16,0,7,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,33008,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41362,3462,1045,23073,18289,14625,18383,2719,786,6662,9207,11114,25054,29286,12700,16586,33008
4,2017,Florida State University,3,9,12,11,2,9,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,33008,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41362,3462,1045,23073,18289,14625,18383,2719,786,6662,9207,11114,25054,29286,12700,16586,33008
5,2017,Florida State University,0,5,5,4,3,5,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,33008,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41362,3462,1045,23073,18289,14625,18383,2719,786,6662,9207,11114,25054,29286,12700,16586,33008
6,2017,Florida State University,0,8,5,9,4,8,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,33008,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41362,3462,1045,23073,18289,14625,18383,2719,786,6662,9207,11114,25054,29286,12700,16586,33008
7,2017,Florida State University,2,7,4,3,6,7,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,33008,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41362,3462,1045,23073,18289,14625,18383,2719,786,6662,9207,11114,25054,29286,12700,16586,33008
8,2017,Florida State University,0,6,1,1,3,6,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,33008,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41362,3462,1045,23073,18289,14625,18383,2719,786,6662,9207,11114,25054,29286,12700,16586,33008
9,2017,Florida State University,0,18,12,10,2,18,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,33008,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41362,3462,1045,23073,18289,14625,18383,2719,786,6662,9207,11114,25054,29286,12700,16586,33008
10,2017,Florida State University,3,21,12,22,7,21,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,33008,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41362,3462,1045,23073,18289,14625,18383,2719,786,6662,9207,11114,25054,29286,12700,16586,33008
11,2017,Florida State University,0,4,5,7,5,4,0,0.75,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,33008,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41362,3462,1045,23073,18289,14625,18383,2719,786,6662,9207,11114,25054,29286,12700,16586,33008
12,2017,Florida State University,2,4,6,6,4,4,0,1,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,80,33008,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41362,3462,1045,23073,18289,14625,18383,2719,786,6662,9207,11114,25054,29286,12700,16586,33008
1,2018,Florida State University,1,11,5,14,5,11,0,1,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,83,32472,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41269,3653,1108,23410,17859,14191,18545,2817,829,6881,8662,10990,24500,29301,12395,16906,32736
2,2018,Florida State University,0,9,6,9,3,9,0,1,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,83,32472,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41269,3653,1108,23410,17859,14191,18545,2817,829,6881,8662,10990,24500,29301,12395,16906,32736
3,2018,Florida State University,1,11,9,11,5,11,0,0.8571428571428571,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,83,32472,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41269,3653,1108,23410,17859,14191,18545,2817,829,6881,8662,10990,24500,29301,12395,16906,32736
4,2018,Florida State University,0,15,14,7,9,15,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,83,32472,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41269,3653,1108,23410,17859,14191,18545,2817,829,6881,8662,10990,24500,29301,12395,16906,32736
5,2018,Florida State University,0,4,8,2,0,4,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,83,32472,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41269,3653,1108,23410,17859,14191,18545,2817,829,6881,8662,10990,24500,29301,12395,16906,32736
6,2018,Florida State University,0,6,5,8,2,6,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,83,32472,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41269,3653,1108,23410,17859,14191,18545,2817,829,6881,8662,10990,24500,29301,12395,16906,32736
7,2018,Florida State University,0,10,3,9,3,10,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,83,32472,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41269,3653,1108,23410,17859,14191,18545,2817,829,6881,8662,10990,24500,29301,12395,16906,32736
8,2018,Florida State University,1,12,9,6,2,12,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,83,32472,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41269,3653,1108,23410,17859,14191,18545,2817,829,6881,8662,10990,24500,29301,12395,16906,32736
9,2018,Florida State University,1,21,11,13,4,21,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,83,32472,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41269,3653,1108,23410,17859,14191,18545,2817,829,6881,8662,10990,24500,29301,12395,16906,32736
10,2018,Florida State University,0,8,11,9,7,8,0,0,2017-11-06T00:00:00Z,2018-03-26T00:00:00Z,NA,NA,1,NA,hazing,NA,134097,83,32472,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41269,3653,1108,23410,17859,14191,18545,2817,829,6881,8662,10990,24500,29301,12395,16906,32736
